SpeciesBROAD	BodyMass_kg	zvalues
Aotus_azarae	1.21	-0.359707707499152
Aotus_trivirgatus	0.77	-0.403560105542987
Macaca_siberu	6.165	0.134130093199042
Macaca_nemestrina	8.89	0.405715967447797
Macaca_leonina	6.7	0.187450622638706
Macaca_silenus	7.5	0.26718225544568
Macaca_tonkeana	11.95	0.710689462934471
Macaca_maura	7.88	0.305054781028992
Macaca_nigra	7.68	0.285121872827249
Macaca_fascicularis	4.03	-0.0786537018545692
Macaca_fuscata	9.5	0.466511337463114
Macaca_cyclopis	5.47	0.0648632371979835
Macaca_mulatta	5.96	0.113698862292255
Macaca_assamensis	9	0.416679066958755
Macaca_arctoides	10.3	0.546242970270088
Macaca_radiata	5.14	0.0319739386651068
Macaca_thibetana	15.55	1.06948181056585
Papio_hamadryas	13.4	0.855203047397111
Papio_anubis	16.65	1.17911280567544
Papio_papio	17.5	1.26382766553285
Papio_cynocephalus	17.05	1.21897862207893
Papio_ursinus	22.3	1.74221746237469
Papio_kindae	13	0.815337230993624
Lophocebus_aterrimus	6.8	0.197417076739577
Theropithecus_gelada	15.35	1.04954890236411
Mandrillus_leucophaeus	20.375	1.55036322093291
Mandrillus_sphinx	23.6	1.87178136568603
Cercocebus_chrysogaster	9.75	0.491427472715293
Cercocebus_lunulatus	7.28	0.245256056423762
Cercocebus_torquatus	7.5	0.26718225544568
Miopithecus_ogouensis	1.25	-0.355721125858803
Cercopithecus_hamlyni	4.43	-0.0387878854510824
Cercopithecus_petaurista	3.65	-0.116526227437882
Cercopithecus_ascanius	3.24	-0.157388689251456
Cercopithecus_cephus	3.48	-0.133469199409364
Cercopithecus_nictitans	5.46	0.0638665917878964
Cercopithecus_mitis	4.89	0.00705780341292753
Cercopithecus_neglectus	5.74	0.0917726632703372
Cercopithecus_pogonias	3.58	-0.123502745308492
Cercopithecus_lowei	3.9	-0.0916100921857025
Cercopithecus_mona	4.05	-0.0766604110343949
Cercopithecus_diana	4.5	-0.0318113675804722
Cercopithecus_roloway	4.55	-0.0268281405300363
Allenopithecus_nigroviridis	5.3	0.0479202652265016
Erythrocebus_patas	9.45	0.461528110412678
Chlorocebus_pygerythrus	4.665	-0.0153667183140338
Allochrocebus_solatus	6.35	0.152568033285655
Allochrocebus_preussi	4.525	-0.0293197540552542
Allochrocebus_lhoesti	5.5	0.0678531734282451
Trachypithecus_germaini	8.83	0.399736094987274
Trachypithecus_cristatus	6.25	0.142601579184783
Trachypithecus_phayrei	7.44	0.261202382985157
Trachypithecus_obscurus	6.99	0.216353339531234
Trachypithecus_crepusculus	6.65	0.18246739558827
Trachypithecus_hatinhensis	7.275	0.244757733718718
Trachypithecus_laotum	7	0.217349984941321
Trachypithecus_francoisi	7.52	0.269175546265854
Trachypithecus_leucocephalus	8.285	0.345418920137523
Trachypithecus_geei	10.15	0.53129328911878
Trachypithecus_pileatus	10.93	0.60903163110558
Semnopithecus_vetulus	7.03	0.220339921171582
Semnopithecus_johnii	11.6	0.67580687358142
Semnopithecus_entellus	11.44	0.659860547020026
Semnopithecus_schistaceus	17	1.21399539502849
Semnopithecus_hypoleucos	13.1	0.825303685094496
Nasalis_larvatus	15.75	1.0894147187676
Pygathrix_nigripes	9.88	0.504383863046427
Pygathrix_nemaeus	9.72	0.488437536485032
Pygathrix_cinerea	9.98	0.514350317147298
Rhinopithecus_bieti	12.48	0.763511669669091
Rhinopithecus_roxellana	14.75	0.98975017775888
Presbytis_mitrata	5.8	0.0977525357308602
Presbytis_comata	6.7	0.187450622638706
Piliocolobus_badius	8.25	0.341930661202217
Piliocolobus_tephrosceles	8.75	0.391762931706576
Piliocolobus_gordonorum	7.05	0.222333211991757
Piliocolobus_kirkii	6.9	0.207383530840449
Colobus_angolensis	8.6	0.376813250555268
Colobus_polykomos	9.1	0.426645521059627
Colobus_guereza	8.89	0.405715967447797
Pan_troglodytes	53.7	4.87168405004842
Pan_paniscus	39.1	3.41658175132114
Gorilla_beringei	130	12.4760885290135
Gorilla_gorilla	122.5	11.7286044714482
Pongo_pygmaeus	57.15	5.21552671652849
Pongo_abelii	56.75	5.175660900125
Hoolock_hoolock	6.88	0.205390240020275
