nome_famiglia	specie_con_valore_alto	specie_con_valore_basso	valore_specie_con_valore_alto	valore_specie_con_valore_basso	nu
Cercopithecidae	Mandrillus_sphinx	Miopithecus_ogouensis	23.6	1.25	0.99896730720421
Cercopithecidae	Mandrillus_sphinx	Macaca_radiata	23.6	5.14	0.994264647580301
Cercopithecidae	Mandrillus_sphinx	Macaca_fascicularis	23.6	4.03	0.993052424679542
Cercopithecidae	Papio_ursinus	Lophocebus_aterrimus	22.3	6.8	0.992928270026908
Cercopithecidae	Papio_ursinus	Miopithecus_ogouensis	22.3	1.25	0.9911823644343
Cercopithecidae	Mandrillus_sphinx	Lophocebus_aterrimus	23.6	6.8	0.99087637997459
Cercopithecidae	Mandrillus_sphinx	Cercocebus_torquatus	23.6	7.5	0.99060630233936
Cercopithecidae	Mandrillus_leucophaeus	Miopithecus_ogouensis	20.375	1.25	0.989799928878489
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_hamlyni	23.6	4.43	0.989025659056076
Cercopithecidae	Mandrillus_sphinx	Cercocebus_lunulatus	23.6	7.28	0.988742394087288
Cercopithecidae	Mandrillus_sphinx	Allenopithecus_nigroviridis	23.6	5.3	0.988716743388695
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_cephus	23.6	3.48	0.98774735112582
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_petaurista	23.6	3.65	0.986867364617891
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_pogonias	23.6	3.58	0.986394430651869
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_ascanius	23.6	3.24	0.985904577389265
Cercopithecidae	Mandrillus_sphinx	Macaca_cyclopis	23.6	5.47	0.985406353640469
Cercopithecidae	Mandrillus_sphinx	Macaca_siberu	23.6	6.165	0.982541112240976
Cercopithecidae	Mandrillus_sphinx	Macaca_mulatta	23.6	5.96	0.982216108177484
Cercopithecidae	Mandrillus_sphinx	Chlorocebus_pygerythrus	23.6	4.665	0.982161707603333
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_mona	23.6	4.05	0.980796881140267
Cercopithecidae	Papio_ursinus	Macaca_fascicularis	22.3	4.03	0.979784399995351
Cercopithecidae	Macaca_thibetana	Macaca_radiata	15.55	5.14	0.978455931731902
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_lowei	23.6	3.9	0.978370610380142
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_neglectus	23.6	5.74	0.977646442442999
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_diana	23.6	4.5	0.977387627469259
Cercopithecidae	Macaca_thibetana	Macaca_fascicularis	15.55	4.03	0.976023597000198
Cercopithecidae	Papio_ursinus	Macaca_radiata	22.3	5.14	0.975623310182233
Cercopithecidae	Papio_ursinus	Allenopithecus_nigroviridis	22.3	5.3	0.974985059624313
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_roloway	23.6	4.55	0.974878153179044
Cercopithecidae	Papio_ursinus	Cercopithecus_ascanius	22.3	3.24	0.97473612866596
Cercopithecidae	Mandrillus_leucophaeus	Macaca_fascicularis	20.375	4.03	0.974144307392069
Cercopithecidae	Papio_ursinus	Cercopithecus_hamlyni	22.3	4.43	0.973051416156446
Cercopithecidae	Mandrillus_sphinx	Allochrocebus_preussi	23.6	4.525	0.972945873278308
Cercopithecidae	Mandrillus_sphinx	Macaca_leonina	23.6	6.7	0.972822324828336
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_mitis	23.6	4.89	0.972815943939275
Cercopithecidae	Papio_ursinus	Cercopithecus_cephus	22.3	3.48	0.972262899320259
Cercopithecidae	Papio_ursinus	Cercopithecus_mona	22.3	4.05	0.970640273446918
Cercopithecidae	Papio_ursinus	Cercopithecus_lowei	22.3	3.9	0.970638434093013
Cercopithecidae	Papio_ursinus	Cercopithecus_pogonias	22.3	3.58	0.970044993108388
Cercopithecidae	Mandrillus_sphinx	Allochrocebus_lhoesti	23.6	5.5	0.969859006730283
Cercopithecidae	Mandrillus_leucophaeus	Macaca_radiata	20.375	5.14	0.969418206187176
Cercopithecidae	Mandrillus_sphinx	Macaca_silenus	23.6	7.5	0.968572568526804
Cercopithecidae	Papio_ursinus	Chlorocebus_pygerythrus	22.3	4.665	0.967684066991827
Cercopithecidae	Mandrillus_leucophaeus	Lophocebus_aterrimus	20.375	6.8	0.967624245668488
Cercopithecidae	Papio_ursinus	Cercopithecus_petaurista	22.3	3.65	0.96749529648812
Cercopithecidae	Papio_ursinus	Macaca_cyclopis	22.3	5.47	0.966929903821775
Cercopithecidae	Mandrillus_sphinx	Cercocebus_chrysogaster	23.6	9.75	0.966902995412706
Cercopithecidae	Mandrillus_sphinx	Macaca_maura	23.6	7.88	0.966228626916814
Cercopithecidae	Mandrillus_leucophaeus	Macaca_cyclopis	20.375	5.47	0.964724540993334
Cercopithecidae	Papio_ursinus	Macaca_mulatta	22.3	5.96	0.964705356736693
Cercopithecidae	Mandrillus_sphinx	Macaca_nigra	23.6	7.68	0.964411918225216
Cercopithecidae	Mandrillus_sphinx	Cercopithecus_nictitans	23.6	5.46	0.964162668498628
Cercopithecidae	Mandrillus_sphinx	Allochrocebus_solatus	23.6	6.35	0.963944375174355
Cercopithecidae	Mandrillus_leucophaeus	Allenopithecus_nigroviridis	20.375	5.3	0.963168077068326
Cercopithecidae	Mandrillus_leucophaeus	Cercopithecus_petaurista	20.375	3.65	0.962916211613069
Cercopithecidae	Papio_ursinus	Cercopithecus_neglectus	22.3	5.74	0.962642441190527
Cercopithecidae	Mandrillus_leucophaeus	Cercopithecus_hamlyni	20.375	4.43	0.962291801861377
Cercopithecidae	Mandrillus_sphinx	Macaca_nemestrina	23.6	8.89	0.962229138231454
Cercopithecidae	Papio_papio	Miopithecus_ogouensis	17.5	1.25	0.961389703666994
Cercopithecidae	Papio_cynocephalus	Miopithecus_ogouensis	17.05	1.25	0.961168384396144
Cercopithecidae	Papio_ursinus	Cercocebus_torquatus	22.3	7.5	0.960466887437487
Cercopithecidae	Papio_ursinus	Papio_kindae	22.3	13	0.959853684222396
Cercopithecidae	Mandrillus_sphinx	Macaca_assamensis	23.6	9	0.959808465646365
Cercopithecidae	Mandrillus_leucophaeus	Cercopithecus_ascanius	20.375	3.24	0.958696465471547
Cercopithecidae	Mandrillus_leucophaeus	Cercopithecus_pogonias	20.375	3.58	0.958220742002379
Cercopithecidae	Papio_ursinus	Allochrocebus_preussi	22.3	4.525	0.957886870333912
Cercopithecidae	Papio_ursinus	Cercopithecus_diana	22.3	4.5	0.957338730652722
Cercopithecidae	Mandrillus_leucophaeus	Cercocebus_torquatus	20.375	7.5	0.957189281816728
Cercopithecidae	Mandrillus_leucophaeus	Cercocebus_lunulatus	20.375	7.28	0.957031794897069
Cercopithecidae	Papio_ursinus	Macaca_siberu	22.3	6.165	0.956942141402459
Cercopithecidae	Papio_ursinus	Cercocebus_lunulatus	22.3	7.28	0.956551074503952
Cercopithecidae	Papio_ursinus	Cercopithecus_roloway	22.3	4.55	0.956159540966947
Cercopithecidae	Mandrillus_leucophaeus	Cercopithecus_cephus	20.375	3.48	0.955480243580929
Cercopithecidae	Mandrillus_leucophaeus	Chlorocebus_pygerythrus	20.375	4.665	0.95399539478239
Cercopithecidae	Mandrillus_leucophaeus	Macaca_mulatta	20.375	5.96	0.953568163081505
Cercopithecidae	Theropithecus_gelada	Miopithecus_ogouensis	15.35	1.25	0.953560604931044
Cercopithecidae	Papio_anubis	Miopithecus_ogouensis	16.65	1.25	0.953518077869688
Cercopithecidae	Papio_ursinus	Cercopithecus_mitis	22.3	4.89	0.952536151315607
Cercopithecidae	Papio_ursinus	Macaca_leonina	22.3	6.7	0.950527225327039
Cercopithecidae	Papio_cynocephalus	Lophocebus_aterrimus	17.05	6.8	0.950263943751383
Hominidae	Gorilla_beringei	Pan_paniscus	130	39.1	1
Hominidae	Gorilla_beringei	Pan_troglodytes	130	53.7	1
Hominidae	Gorilla_beringei	Pongo_abelii	130	56.75	1
Hominidae	Gorilla_beringei	Pongo_pygmaeus	130	57.15	1
Hominidae	Gorilla_gorilla	Pan_paniscus	122.5	39.1	1
Hominidae	Gorilla_gorilla	Pan_troglodytes	122.5	53.7	1
Hominidae	Gorilla_gorilla	Pongo_abelii	122.5	56.75	1
