nome_famiglia	contrast_type	specie_con_valore_alto	specie_con_valore_basso	valore_specie_con_valore_alto	valore_specie_con_valore_basso	nu
Cercopithecidae	CONTROL	Papio_papio	Lophocebus_aterrimus	17.5	6.8	0.949669808255111
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Cercopithecus_mona	20.375	4.05	0.948396598203069
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Cercopithecus_lowei	20.375	3.9	0.948201849358134
Cercopithecidae	CONTROL	Mandrillus_sphinx	Macaca_fuscata	23.6	9.5	0.947357257581744
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Cercopithecus_diana	20.375	4.5	0.9472461045756
Cercopithecidae	CONTROL	Papio_ursinus	Cercopithecus_nictitans	22.3	5.46	0.946212778392649
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Semnopithecus_vetulus	17	7.03	0.945842195684024
Cercopithecidae	CONTROL	Papio_ursinus	Allochrocebus_lhoesti	22.3	5.5	0.945830915365059
Cercopithecidae	CONTROL	Macaca_thibetana	Miopithecus_ogouensis	15.55	1.25	0.943541588849986
Cercopithecidae	CONTROL	Mandrillus_sphinx	Macaca_arctoides	23.6	10.3	0.943374839617484
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Allochrocebus_preussi	20.375	4.525	0.94183040973867
Cercopithecidae	CONTROL	Papio_ursinus	Macaca_nigra	22.3	7.68	0.941723972820759
Cercopithecidae	CONTROL	Papio_ursinus	Papio_hamadryas	22.3	13.4	0.940948412298803
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Cercopithecus_roloway	20.375	4.55	0.939025472958256
Cercopithecidae	CONTROL	Papio_ursinus	Allochrocebus_solatus	22.3	6.35	0.938221057771035
Cercopithecidae	CONTROL	Papio_ursinus	Macaca_silenus	22.3	7.5	0.937406292857163
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Cercopithecus_mitis	20.375	4.89	0.935952520874397
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Cercopithecus_neglectus	20.375	5.74	0.935778579534763
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Macaca_siberu	20.375	6.165	0.935558139792043
Cercopithecidae	CONTROL	Papio_anubis	Lophocebus_aterrimus	16.65	6.8	0.933754222783375
Cercopithecidae	CONTROL	Theropithecus_gelada	Lophocebus_aterrimus	15.35	6.8	0.932245159756731
Cercopithecidae	CONTROL	Macaca_thibetana	Macaca_cyclopis	15.55	5.47	0.931546859106887
Cercopithecidae	CONTROL	Papio_ursinus	Macaca_maura	22.3	7.88	0.929100470429478
Cercopithecidae	CONTROL	Mandrillus_sphinx	Erythrocebus_patas	23.6	9.45	0.927882242761471
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Macaca_leonina	20.375	6.7	0.927600642592657
Cercopithecidae	CONTROL	Macaca_thibetana	Macaca_mulatta	15.55	5.96	0.926945789952831
Cercopithecidae	CONTROL	Papio_ursinus	Cercocebus_chrysogaster	22.3	9.75	0.924557493324827
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Allochrocebus_lhoesti	20.375	5.5	0.924233910252881
Cercopithecidae	CONTROL	Papio_papio	Macaca_fascicularis	17.5	4.03	0.923185498236169
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Cercocebus_chrysogaster	20.375	9.75	0.922970110815416
Cercopithecidae	CONTROL	Papio_ursinus	Macaca_assamensis	22.3	9	0.921721216746052
Cercopithecidae	CONTROL	Papio_ursinus	Macaca_nemestrina	22.3	8.89	0.921708025616559
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Cercopithecus_nictitans	20.375	5.46	0.918462924999038
Cercopithecidae	CONTROL	Papio_cynocephalus	Macaca_fascicularis	17.05	4.03	0.91835466220748
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Macaca_silenus	20.375	7.5	0.914917988293944
Cercopithecidae	CONTROL	Papio_anubis	Macaca_fascicularis	16.65	4.03	0.910395059378154
Cercopithecidae	CONTROL	Papio_hamadryas	Miopithecus_ogouensis	13.4	1.25	0.910278147032421
Cercopithecidae	CONTROL	Mandrillus_sphinx	Presbytis_mitrata	23.6	5.8	0.909840849590883
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Allochrocebus_solatus	20.375	6.35	0.909015233005989
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_ascanius	17.5	3.24	0.908701283154243
Cercopithecidae	CONTROL	Macaca_thibetana	Macaca_siberu	15.55	6.165	0.90833348906743
Cercopithecidae	CONTROL	Nasalis_larvatus	Miopithecus_ogouensis	15.75	1.25	0.90787760115917
Cercopithecidae	CONTROL	Papio_papio	Allenopithecus_nigroviridis	17.5	5.3	0.907775135251828
Cercopithecidae	CONTROL	Mandrillus_sphinx	Semnopithecus_vetulus	23.6	7.03	0.907345879110679
Cercopithecidae	CONTROL	Theropithecus_gelada	Macaca_fascicularis	15.35	4.03	0.906189145783937
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Macaca_nigra	20.375	7.68	0.906092159415562
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_ascanius	17.05	3.24	0.905389429761743
Cercopithecidae	CONTROL	Mandrillus_sphinx	Trachypithecus_cristatus	23.6	6.25	0.905173480582883
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Macaca_maura	20.375	7.88	0.904290953864353
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Miopithecus_ogouensis	17	1.25	0.902985803647892
Cercopithecidae	CONTROL	Papio_papio	Macaca_radiata	17.5	5.14	0.902839014335876
Cercopithecidae	CONTROL	Mandrillus_sphinx	Trachypithecus_obscurus	23.6	6.99	0.902769478503631
Cercopithecidae	CONTROL	Papio_ursinus	Macaca_fuscata	22.3	9.5	0.902715747071616
Cercopithecidae	CONTROL	Papio_cynocephalus	Macaca_radiata	17.05	5.14	0.899755204309701
Cercopithecidae	CONTROL	Papio_kindae	Miopithecus_ogouensis	13	1.25	0.89890869368288
Cercopithecidae	CONTROL	Mandrillus_sphinx	Presbytis_comata	23.6	6.7	0.898805131504255
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_petaurista	17.05	3.65	0.897778863247576
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_hamlyni	17.5	4.43	0.89772358797962
Cercopithecidae	CONTROL	Mandrillus_sphinx	Trachypithecus_crepusculus	23.6	6.65	0.897495570065947
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_cephus	17.5	3.48	0.897160831981256
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_pogonias	17.05	3.58	0.89670340302149
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_hamlyni	17.05	4.43	0.895542471350578
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_pogonias	17.5	3.58	0.895529713660626
Cercopithecidae	CONTROL	Papio_ursinus	Macaca_arctoides	22.3	10.3	0.895031151542436
Cercopithecidae	CONTROL	Papio_cynocephalus	Chlorocebus_pygerythrus	17.05	4.665	0.895004421493356
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Trachypithecus_crepusculus	17	6.65	0.894743617765889
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Macaca_assamensis	20.375	9	0.894551290273389
Cercopithecidae	CONTROL	Papio_cynocephalus	Allenopithecus_nigroviridis	17.05	5.3	0.894493003943434
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_petaurista	17.5	3.65	0.894433322696143
Cercopithecidae	CONTROL	Mandrillus_sphinx	Papio_kindae	23.6	13	0.893233698179555
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Macaca_nemestrina	20.375	8.89	0.892369328889077
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_ascanius	16.65	3.24	0.890030828563801
