Trait	Species1	Species2	PatristicDistance	AbsDiff	AbsDiff_z	Nu	eNu
BodyMass_kg	Allenopithecus_nigroviridis	Allochrocebus_lhoesti	4.411338	0.2	0.0199329082017435	0.0240982303250203	0.023
BodyMass_kg	Allenopithecus_nigroviridis	Allochrocebus_preussi	4.411338	0.775	0.0772400192817558	0.0917451359417074	0.087
BodyMass_kg	Allenopithecus_nigroviridis	Allochrocebus_solatus	4.266577	1.05	0.104647768059153	0.144345493062582	0.154
BodyMass_kg	Allenopithecus_nigroviridis	Alouatta_belzebul	25.500367	1.1	0.109630995109589	0.0554363238490279	0.052
BodyMass_kg	Allenopithecus_nigroviridis	Alouatta_caraya	24.386571	0.0800000000000001	0.00797316328069739	0.00404510497183504	0.002
BodyMass_kg	Allenopithecus_nigroviridis	Alouatta_discolor	25.500367	1.07	0.106641058879327	0.0535333425640698	0.054
BodyMass_kg	Allenopithecus_nigroviridis	Alouatta_macconnelli	25.334945	1.07	0.106641058879327	0.0538791773507048	0.053
BodyMass_kg	Allenopithecus_nigroviridis	Alouatta_nigerrima	25.334945	1.15	0.114614222160025	0.0573855549300651	0.046
BodyMass_kg	Allenopithecus_nigroviridis	Alouatta_palliata	23.669823	0.82	0.0817249236271482	0.0421901037888751	0.039
BodyMass_kg	Allenopithecus_nigroviridis	Alouatta_seniculus	25.589387	0.71	0.0707618241161892	0.0378119246888848	0.043
BodyMass_kg	Allenopithecus_nigroviridis	Aotus_griseimembra	23.529068	4.79	0.477393151431756	0.271402569802219	0.28
BodyMass_kg	Allenopithecus_nigroviridis	Aotus_vociferans	23.529068	4.6	0.458456888640099	0.260310976371333	0.27
BodyMass_kg	Allenopithecus_nigroviridis	Arctocebus_calabarensis	31.655569	4.99	0.497326059633499	0.235809333715647	0.24
BodyMass_kg	Allenopithecus_nigroviridis	Ateles_belzebuth	25.208737	2.77	0.276070778594147	0.152465668707048	0.154
BodyMass_kg	Allenopithecus_nigroviridis	Ateles_chamek	25.490101	4.07	0.405634681905479	0.229213311166415	0.243
BodyMass_kg	Allenopithecus_nigroviridis	Ateles_geoffroyi	24.718298	2.24	0.223248571859527	0.126948236829568	0.131
BodyMass_kg	Allenopithecus_nigroviridis	Ateles_marginatus	25.490101	1.66	0.165443138074471	0.0882950975696138	0.094
BodyMass_kg	Allenopithecus_nigroviridis	Ateles_paniscus	24.822826	2.98	0.297000332205977	0.165301357119983	0.171
BodyMass_kg	Allenopithecus_nigroviridis	Avahi_laniger	33.824896	4.125	0.411116231660959	0.196885066153471	0.202
BodyMass_kg	Allenopithecus_nigroviridis	Avahi_peyrierasi	33.824896	4.245	0.423075976582005	0.21267921560397	0.227
BodyMass_kg	Allenopithecus_nigroviridis	Cacajao_calvus	26.715118	2.13	0.212285472348568	0.121909944633354	0.123
