Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Trachypithecus_auratus	Trachypithecus_cristatus	1370.4	1682.1	0.6600170348	0.266137295081967	0.00543612894173375	0.999856140606032	0.984841028520287	48.2149945715855	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Semnopithecus_vetulus	Semnopithecus_entellus	1544.4	652.8	5.7933545577	0.761270491803279	0.0477160750712765	0.999757669903474	0.996848434246217	15.9038918573745	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saguinus_oedipus	Saguinus_geoffroyi	1367.1	1563.4	1.0824088122	0.16760587431694	0.00891509394537232	0.938439370509094	0.777224410501944	14.6120027069671	1778.52772282972	1720.58691362098	57.9408092087353	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Trachypithecus_obscurus	Trachypithecus_phayrei	1624.5	1055.7	3.9357740903	0.485655737704918	0.032416398838689	0.995499246048908	0.965392235825468	14.4633054645431	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nemestrina	Macaca_silenus	1680.5	953	5.3135039895	0.621157786885246	0.0437638595617331	0.998234137555773	0.986353180596275	13.9997012348091	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Papio_anubis	572.4	1020.2	3.47880109	0.382342896174864	0.0286526109036177	0.982630880694332	0.917087996481409	12.2377008434381	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Trachypithecus_phayrei	1682.1	1055.7	5.1737784209	0.53483606557377	0.0426130313750078	0.993639197431515	0.967619558342621	12.1445910055513	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Semnopithecus_entellus	1682.1	652.8	9.0158535418	0.878842213114754	0.0742576930425186	0.999317376312444	0.998003860576447	11.8114081597427	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_obscurus	Semnopithecus_entellus	1624.5	652.8	9.015853541	0.829661885245902	0.0742576930359295	0.998655917178891	0.996475387655457	11.1333602610487	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_fuscata	1553.1	792.6	7.327012852	0.649334016393443	0.0603478160730835	0.994625926334385	0.982657528918144	10.5732568552099	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Semnopithecus_johnii	Semnopithecus_entellus	1126.2	652.8	4.4833077605	0.404200819672131	0.0369260758230866	0.973255265458301	0.908427169234764	9.94384044966826	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Lophocebus_aterrimus	Papio_hamadryas	1520.1	572.4	10.8417269357	0.809170081967213	0.0892962188337948	0.995651959689724	0.99429344100069	9.00992803123599	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Trachypithecus_geei	1682.1	1040.9	7.1253052128	0.547472677595628	0.0586864820810659	0.9826882304813	0.956468060267116	8.92267028829246	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Lophocebus_aterrimus	Papio_ursinus	1520.1	581.8	10.8417269354	0.80114412568306	0.0892962188313239	0.995249106557939	0.993795347483371	8.91609202704753	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_mulatta	1553.1	902.2	7.3270128521	0.555754781420765	0.0603478160739071	0.982806117539954	0.95829596823889	8.82513404814458	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Trachypithecus_pileatus	1682.1	1063.8	7.1253052128	0.527920081967213	0.0586864820810659	0.978267897304263	0.948402668732151	8.53145046117079	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Macaca_nemestrina	792.6	1680.5	10.9824679331	0.758111338797814	0.0904554104438817	0.992060260146359	0.990266932058052	8.29947690188733	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Papio_ursinus	1020.2	581.8	4.8778566851	0.37431693989071	0.0401757174457425	0.950785568864393	0.872299491085505	8.12720959152286	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Semnopithecus_entellus	1370.4	652.8	9.0158535418	0.612704918032787	0.0742576930425186	0.982111737091812	0.968824551125158	7.99383259651502	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_obscurus	Trachypithecus_geei	1624.5	1040.9	7.125305212	0.498292349726776	0.0586864820744768	0.969705444776181	0.933825324264683	7.92887899587676	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_radiata	Macaca_nemestrina	844.9	1680.5	10.9824679335	0.713456284153006	0.0904554104471762	0.987519411994464	0.98502142671638	7.76923926873961	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nycticebus_pygmaeus	Nycticebus_coucang	1172.5	1664.9	5.9520781674	0.42042349726776	0.0490233777058033	0.954471031837702	0.8945757941637	7.67186394643028	1778.52772282972	1720.58691362098	57.9408092087353	OU	Lorisidae	STR	Lorisidae	STR	family
Trachypithecus_obscurus	Trachypithecus_pileatus	1624.5	1063.8	7.125305212	0.478739754098361	0.0586864820744768	0.962585955406608	0.922460910348047	7.52504995656295	1778.52772282972	1720.58691362098	57.9408092087353	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
