Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_macaco	Eulemur_flavifrons	3.48928571428571	3.91	3.030803714	0.121392689480799	0.024962749320008	0.936675332026412	0.904008575735755	4.55500859570265	57.1007889321589	57.6611821837672	-0.560393251608318	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_albifrons	4.46573	2.87291666666667	15.6477288182	0.45958956217978	0.128880115235398	0.998025237211443	0.996071627720844	3.55898177912553	57.1007889321589	57.6611821837672	-0.560393251608318	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_coronatus	4.46573	3.08017857142857	15.6477288181	0.399786315890572	0.128880115234574	0.99288472847944	0.987878945578584	3.07992995645864	57.1007889321589	57.6611821837672	-0.560393251608318	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Varecia_variegata	3.41624074074074	3.03101851851852	3.814273482	0.111151827240501	0.0314156777389774	0.870381378682974	0.826798231387897	3.0794968499657	57.1007889321589	57.6611821837672	-0.560393251608318	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_fulvus	2.87291666666667	3.7	9.5384061272	0.23864621113974	0.0785616171597847	0.960385903474032	0.940213913559563	2.91735920646776	57.1007889321589	57.6611821837672	-0.560393251608318	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_collaris	4.46573	3.31551587301587	15.6477288174	0.331882208649875	0.128880115228809	0.9745342555352	0.96270427541783	2.50954602700174	57.1007889321589	57.6611821837672	-0.560393251608318	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_flavifrons	2.87291666666667	3.91	14.8274950179	0.299239506058848	0.122124385510603	0.961498873449491	0.945657826997039	2.35594592156358	57.1007889321589	57.6611821837672	-0.560393251608318	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_macaco	4.46573	3.48928571428571	15.6477288181	0.281742745601732	0.128880115234574	0.942135054738824	0.922921421112543	2.05958627959502	57.1007889321589	57.6611821837672	-0.560393251608318	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_flavifrons	3.08017857142857	3.91	13.292473054	0.239436259769639	0.109481412853371	0.919690377868512	0.894427126338415	2.01136629939082	57.1007889321589	57.6611821837672	-0.560393251608318	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_fulvus	4.46573	3.7	15.6477288174	0.22094335104004	0.128880115228809	0.863094027467634	0.834371243861013	1.47963001393033	57.1007889321589	57.6611821837672	-0.560393251608318	BM	Lemuridae	STR	Lemuridae	STR	family
