Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_paniscus	Pan_troglodytes	1369.51	1586.27	4.786270704	0.139856891223135	0.0394213835794833	0.935359404764352	0.918295448134032	3.3184136792892	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_beringei	Gorilla_gorilla	1198.48	1280.17	2.069936054	0.0527076464477666	0.0170487104086155	0.710348907637865	0.680055620712554	2.19610857249434	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Hylobates_lar	1586.27	407	45.7765141047	0.760883170846587	0.377031228080117	0.99884800897105	0.998655387973866	2.01576576064993	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Hylobates_muelleri	1586.27	512	45.7765141044	0.693135553304471	0.377031228077646	0.996934463255692	0.99650868892043	1.83276786997262	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Hylobates_lar	1369.51	407	45.7765141047	0.621026279623452	0.377031228080117	0.992022874015106	0.991127841640739	1.63400861485154	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Nomascus_concolor	1586.27	637	45.776514104	0.612483627659094	0.377031228074352	0.991117457907677	0.990146929078094	1.61006084073185	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Callithrix_jacchus	Pan_troglodytes	113	1586.27	78.0653383503	0.950576499964513	0.642973170071102	0.998126955457086	0.998511697876364	1.47563859893829	327.484584057911	329.359116926259	-1.87453286834818	BM	Callitrichidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Hylobates_lar	1280.17	407	45.7765141047	0.563382735326189	0.377031228080117	0.98390623017415	0.982405228963754	1.47021186038787	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pongo_pygmaeus	Hylobates_lar	1269.4	407	45.7765141087	0.556433765412583	0.377031228113062	0.982550451443389	0.980960418608821	1.45007682822636	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Hylobates_muelleri	1369.51	512	45.7765141044	0.553278662081336	0.377031228077646	0.981902502714964	0.980270872936133	1.44090373035246	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Aotus_trivirgatus	Pan_troglodytes	201	1586.27	78.0653383541	0.893797544310168	0.6429731701024	0.996543400225648	0.997184470785639	1.38529581845279	327.484584057911	329.359116926259	-1.87453286834818	BM	Aotidae	PLA	Hominidae	APE	order
Piliocolobus_badius	Pan_troglodytes	479	1586.27	62.151576032	0.71442766167485	0.511901910767246	0.991189197746956	0.99147116809477	1.38333724865838	327.484584057911	329.359116926259	-1.87453286834818	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Gorilla_beringei	1586.27	1198.48	20.238906202	0.250208081968165	0.166694642647656	0.892064542094726	0.876746532569015	1.33898579176965	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_beringei	Hylobates_lar	1198.48	407	45.7765141047	0.510675088878422	0.377031228080117	0.970861966135731	0.968597344543667	1.31499723078559	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Saimiri_sciureus	Pan_troglodytes	277	1586.27	78.065338345	0.844761173517779	0.642973170027449	0.994281484911716	0.995246878020651	1.30632261679778	327.484584057911	329.359116926259	-1.87453286834818	BM	Cebidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Hylobates_muelleri	1280.17	512	45.7765141044	0.495635117784072	0.377031228077646	0.965770942534207	0.963252272112448	1.26957652101114	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Callithrix_jacchus	Pan_paniscus	113	1369.51	78.0653383503	0.810719608741378	0.642973170071102	0.992001620054749	0.993262225093054	1.2508067252521	327.484584057911	329.359116926259	-1.87453286834818	BM	Callitrichidae	PLA	Hominidae	APE	order
Pongo_pygmaeus	Hylobates_muelleri	1269.4	512	45.7765141084	0.488686147870467	0.377031228110591	0.963173000848341	0.960531958755577	1.24840933170488	327.484584057911	329.359116926259	-1.87453286834818	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_ascanius	Pan_troglodytes	601	1586.27	62.1515760317	0.635711382244962	0.511901910764775	0.980231419841576	0.980745489523256	1.21731186722171	327.484584057911	329.359116926259	-1.87453286834818	BM	Cercopithecidae	OWM	Hominidae	APE	order
