Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_beringei	Gorilla_gorilla	401096.47	424538.4	2.069936054	0.055437923895815	0.0170487104083346	0.877113023336193	0.87711302838471	2.85214094621307	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hominidae	APE	family
Papio_anubis	Papio_cynocephalus	192076.56	144300	4.8778566854	0.112986997968334	0.0401757174488752	0.9594659834731	0.959465986177502	2.6983259543109	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Papio_anubis	159110	192076.56	3.47880109	0.077962763492034	0.0286526109040897	0.905785458789129	0.905785463226759	2.46461091223002	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pongo_pygmaeus	Pongo_abelii	362486.47	333880	3.10266931	0.0676515673746961	0.0255546592643762	0.875887325175023	0.875887330246217	2.31876112213805	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_gorilla	Hylobates_lar	424538.4	93644.16	45.7765141047	0.782533251088264	0.377031228073906	0.999996357005282	0.99999635700638	2.07550553390864	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_muelleri	424538.4	98262.77	45.7765141044	0.771610679879987	0.377031228071435	0.999995032102715	0.999995032104173	2.046532990236	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Nomascus_concolor	424538.4	115800	45.776514104	0.730136807119365	0.377031228068141	0.999984447210444	0.99998444721455	1.93651187779942	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_lar	401096.47	93644.16	45.7765141047	0.727095327192449	0.377031228073906	0.999983127960392	0.999983127964811	1.9284425412867	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_muelleri	401096.47	98262.77	45.7765141044	0.716172755984172	0.377031228071435	0.999977455596004	0.99997745560174	1.89946231764267	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Nomascus_concolor	401096.47	115800	45.776514104	0.67469888322355	0.377031228068141	0.999934660101558	0.999934660116396	1.78938705402172	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Macaca_fascicularis	Papio_anubis	55600	192076.56	22.4016461425	0.322754020118762	0.184507718011597	0.993671552461683	0.993671553168361	1.7382009364752	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Gorilla_gorilla	55600	424538.4	62.1515760326	0.87250405326881	0.511901910763756	0.999990625560279	0.999990625562876	1.70442003767948	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pongo_pygmaeus	Hylobates_lar	362486.47	93644.16	45.7765141087	0.635786367494275	0.377031228106852	0.999831692664632	0.999831692698778	1.68601249073391	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_ascanius	Gorilla_gorilla	62298.99	424538.4	62.1515760317	0.856661582200992	0.511901910756343	0.999986427359544	0.999986427363175	1.67346504680092	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_nictitans	Gorilla_gorilla	64740	424538.4	62.1515760318	0.850888826860074	0.511901910757166	0.999984491939109	0.999984491943205	1.66218490953821	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pongo_pygmaeus	Hylobates_muelleri	362486.47	98262.77	45.7765141084	0.624863796285998	0.377031228104381	0.999782471581103	0.999782471623812	1.65696585344758	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_mitis	Gorilla_gorilla	70744.58	424538.4	62.1515760318	0.836688569071302	0.511901910757166	0.999978549124053	0.999978549129538	1.63443543340376	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Colobus_angolensis	Gorilla_gorilla	71815	424538.4	62.151576032	0.834157128080882	0.511901910758814	0.999977283916658	0.999977283922433	1.62948830970676	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	72530.22	424538.4	62.1515760308	0.832465701140832	0.51190191074893	0.999976399304884	0.999976399310861	1.62618274495934	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	74040.53	424538.4	62.151576032	0.82889396234462	0.511901910758814	0.999974422417547	0.999974422423971	1.61920231946835	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_fascicularis	Gorilla_beringei	55600	401096.47	62.1515760326	0.817066129372995	0.511901910763756	0.999966690353052	0.999966690361192	1.59608490612913	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_maura	Gorilla_gorilla	80405	424538.4	62.151576032	0.813842599103744	0.511901910758814	0.999964225534483	0.99996422554316	1.58978403326019	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_beringei	62298.99	401096.47	62.1515760317	0.801223658305177	0.511901910756343	0.999952807895483	0.999952807906594	1.56511595295823	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_mulatta	Gorilla_gorilla	86070.35	424538.4	62.1515760327	0.800444587841738	0.511901910764579	0.999952000093632	0.999952000104912	1.5635928480536	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Hylobates_lar	342043.79	93644.16	45.7765141047	0.587441383183406	0.377031228073906	0.999491589046925	0.999491589135782	1.55727875526219	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_nictitans	Gorilla_beringei	64740	401096.47	62.1515760318	0.795450902964259	0.511901910757166	0.99994650253267	0.999946502545093	1.55382961391775	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pongo_pygmaeus	Nomascus_concolor	362486.47	115800	45.776514108	0.583389923525376	0.377031228101086	0.999444191609238	0.999444191705124	1.54646519188185	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cebuella_pygmaea	Gorilla_gorilla	4149.86	424538.4	78.0653383507	0.994178716820362	0.642973170063805	0.999993366850524	0.999993366852422	1.54621089739354	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	7264.81	424538.4	78.0653383503	0.986812157793896	0.64297317006051	0.999992241826917	0.999992241829104	1.53475222277394	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Callitrichidae	PLA	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	92796.86	424538.4	62.151576031	0.784537034604251	0.511901910750577	0.999932340510301	0.999932340525605	1.53248881622377	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Hylobates_muelleri	342043.79	98262.77	45.7765141044	0.576518811975129	0.377031228071435	0.999354288459469	0.999354288568416	1.52811359969297	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Saguinus_oedipus	Gorilla_gorilla	9472.91	424538.4	78.0653383502	0.981590212341694	0.642973170059687	0.999991336183836	0.999991336186255	1.52662934276624	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Callitrichidae	PLA	Hominidae	APE	order
Cercopithecus_mitis	Gorilla_beringei	70744.58	401096.47	62.1515760318	0.781250645175487	0.511901910757166	0.999927424089939	0.999927424106224	1.52606178797701	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	9643.83	424538.4	78.0653383511	0.981186002878041	0.642973170067099	0.999991262019256	0.999991262021693	1.52600057820647	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_geoffroyi	Gorilla_gorilla	10135	424538.4	78.0653383502	0.980024432773536	0.642973170059687	0.999991045501797	0.999991045504289	1.52419370322332	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Gorilla_gorilla	10510.15	424538.4	78.0653383533	0.979137238879965	0.642973170085219	0.999990876684956	0.99999087668749	1.52281362809072	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Callitrichidae	PLA	Hominidae	APE	order
Colobus_angolensis	Gorilla_beringei	71815	401096.47	62.151576032	0.778719204185067	0.511901910758814	0.99992340868174	0.999923408698821	1.52111087044083	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_beringei	72530.22	401096.47	62.1515760308	0.777027777245017	0.51190191074893	0.999920609614375	0.999920609632007	1.51780267351105	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Leontopithecus_rosalia	Gorilla_gorilla	12259	424538.4	78.0653383517	0.975001375783147	0.642973170072041	0.999990048764465	0.999990048767207	1.51638002749876	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Callitrichidae	PLA	Hominidae	APE	order
Piliocolobus_badius	Gorilla_beringei	74040.53	401096.47	62.151576032	0.773456038448805	0.511901910758814	0.999914378040085	0.999914378058935	1.51081642278001	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
Trachypithecus_francoisi	Gorilla_gorilla	98552	424538.4	62.1515760322	0.770926678574276	0.511901910760461	0.999909688569714	0.999909688589473	1.50586868085359	1477.63677132734	1479.63677132734	-1.99999999999909	BM	Cercopithecidae	OWM	Hominidae	APE	order
