Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Papio_anubis	Papio_cynocephalus	2940	5784	4.8778566854	0.31749256783836	0.0401757174485443	0.99944023931531	0.996048640822086	7.87137257900969	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Papio_ursinus	2940	5147	4.8778566851	0.246380484254311	0.0401757174460734	0.992584314496691	0.974681190757003	5.97730268525048	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Macaca_mulatta	4191.72	2239	4.6628169341	0.217993701501168	0.0384045755627458	0.984610972439373	0.956738130224049	5.43067807204626	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_cynocephalus	Cercocebus_torquatus	5784	1605	18.5708053179	0.46652652637008	0.152955585898418	0.990634902297987	0.981804411571631	2.99458041375179	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_ursinus	Cercocebus_torquatus	5147	1605	18.5708053176	0.395414442786031	0.152955585895947	0.972359751227445	0.954676082330106	2.46798905005346	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pan_troglodytes	Hylobates_lar	9000	1071	45.7765141047	0.88516124134682	0.377031228070801	0.99831141910562	0.999112272542997	2.34562920406935	707.73639531113	705.000364722361	2.73603058876881	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Papio_cynocephalus	Erythrocebus_patas	5784	1068	29.8369393139	0.526475017554749	0.245747368304715	0.979299356663918	0.975233628174484	2.08928439419342	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Papio_cynocephalus	2239	5784	22.4016461426	0.395749350558012	0.184507718010901	0.95524198023307	0.937939985789401	2.01178110184321	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_ursinus	Erythrocebus_patas	5147	1068	29.8369393136	0.4553629339707	0.245747368302244	0.954599465830478	0.947837092968037	1.75631536794058	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Erythrocebus_patas	Pan_troglodytes	1068	9000	62.151576032	0.885496149118802	0.511901910754598	0.992981038140565	0.99805486322124	1.72645133652446	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Cercopithecus_ascanius	3391.5	1798.6	9.5808815419	0.17782486332972	0.0789114593890089	0.832081385367952	0.764523068374126	1.72283228822128	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_cynocephalus	Cercopithecus_ascanius	5784	1798.6	29.8369393136	0.444913811484881	0.245747368302244	0.949418064939476	0.942202288770165	1.70581200678797	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cercocebus_torquatus	Pan_troglodytes	1605	9000	62.151576032	0.825547657934133	0.511901910754598	0.988043537530539	0.996131804316005	1.6064684674346	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_fascicularis	Macaca_mulatta	3458	2239	7.3270128521	0.136084191348439	0.0603478160744042	0.772446984615938	0.693995997488973	1.56495943450382	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cercopithecus_ascanius	Pan_troglodytes	1798.6	9000	62.1515760317	0.803934943048933	0.511901910752127	0.985619898623372	0.995093190264026	1.56278023277523	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Pan_troglodytes	88.6	9000	78.0653383507	0.994832373078327	0.642973170058509	0.993118655198179	0.999172194669839	1.54595695718816	707.73639531113	705.000364722361	2.73603058876881	OU	Callitrichidae	PLA	Hominidae	APE	order
Macaca_mulatta	Papio_ursinus	2239	5147	22.4016461423	0.324637266973963	0.18450771800843	0.90029765891899	0.874129167364285	1.53801102164411	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callithrix_jacchus	Pan_troglodytes	154	9000	78.0653383503	0.987531383649133	0.642973170055215	0.992696928745968	0.999095915450282	1.53449415579516	707.73639531113	705.000364722361	2.73603058876881	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_geoffroyi	Pan_troglodytes	234	9000	78.0653383502	0.978600509729629	0.642973170054391	0.992149609857896	0.998993758847308	1.52046126830144	707.73639531113	705.000364722361	2.73603058876881	OU	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Pan_troglodytes	278	9000	78.0653383533	0.973688529073902	0.642973170079924	0.99183317237413	0.998933116905885	1.51273764210472	707.73639531113	705.000364722361	2.73603058876881	OU	Callitrichidae	PLA	Hominidae	APE	order
Leontopithecus_rosalia	Pan_troglodytes	381.5	9000	78.0653383517	0.962134210940544	0.642973170066745	0.991043384214967	0.998776899920195	1.49455291332079	707.73639531113	705.000364722361	2.73603058876881	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Pan_troglodytes	449.5	9000	78.0653383502	0.954542968108966	0.642973170054391	0.990488033269651	0.998663040443649	1.48259185167114	707.73639531113	705.000364722361	2.73603058876881	OU	Callitrichidae	PLA	Hominidae	APE	order
Aotus_trivirgatus	Pan_troglodytes	455.5	9000	78.0653383541	0.953873152565003	0.642973170086513	0.990437587450381	0.99865253833607	1.4815359168587	707.73639531113	705.000364722361	2.73603058876881	OU	Aotidae	PLA	Hominidae	APE	order
Macaca_mulatta	Pan_troglodytes	2239	9000	62.1515760327	0.754770482122065	0.511901910760363	0.978434884694741	0.991735169741863	1.46225754674685	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Hominidae	APE	order
Saimiri_sciureus	Pan_troglodytes	592	9000	78.065338345	0.938634848939849	0.642973170011562	0.989223628497014	0.998392065445084	1.4574878536766	707.73639531113	705.000364722361	2.73603058876881	OU	Cebidae	PLA	Hominidae	APE	order
Papio_ursinus	Cercopithecus_ascanius	5147	1798.6	29.8369393133	0.373801727900832	0.245747368299773	0.899520572550205	0.889061392857618	1.35233466449457	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Pan_troglodytes	2940	9000	62.1515760319	0.676513699402413	0.511901910753774	0.960571273231574	0.982077859321665	1.29788366043133	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_fuscata	Cercocebus_torquatus	4191.72	1605	22.4016461426	0.288770877313236	0.184507718010901	0.856918858361741	0.826640460054443	1.29376534188362	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Colobus_guereza	Pan_troglodytes	2978	9000	62.151576032	0.672271534290649	0.511901910754598	0.959319212997092	0.981346233093196	1.28878428451146	707.73639531113	705.000364722361	2.73603058876881	OU	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Pongo_pygmaeus	9000	4941	40.643277586	0.453130215490824	0.334752113846491	0.911991759590103	0.921134125247573	1.24687399243964	707.73639531113	705.000364722361	2.73603058876881	OU	Hominidae	APE	Hominidae	APE	family
