Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	0.357142857142857	0.575	1.4560128688	0.458646616541354	0.0119922263796461	0.999862581979746	0.938481691581885	35.8925389584533	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_nemestrina	Macaca_nigra	0.466666666666667	0.2	7.6582823365	0.561403508771931	0.0630762663067973	0.958144428438373	0.861759454505675	7.66999712893177	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_nemestrina	0.134313725490196	0.466666666666667	10.9824679331	0.699690402476781	0.0904554104452973	0.965814606285819	0.927908293435048	7.17755327292162	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_collaris	Eulemur_macaco	0.170566893424036	0.528125	14.8274950171	0.752753908580977	0.122124385504014	0.950113889384221	0.94481008321539	5.82364840626956	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_macaco	0.204761904761905	0.528125	13.292473054	0.680764411027568	0.109481412853371	0.938932320336077	0.917793243853609	5.70691371999268	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_nemestrina	0.191477272727273	0.466666666666667	10.9824679326	0.579346092503987	0.0904554104411791	0.920502719261492	0.863564284381015	5.53093055840455	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_mongoz	Eulemur_macaco	0.198266666666667	0.528125	15.6477288181	0.694438596491227	0.128880115234574	0.921757377272223	0.922836671381518	4.97247695424856	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_macaco	0.224305555555556	0.528125	14.8274950179	0.639619883040935	0.122124385510603	0.904330954931104	0.896731133681394	4.69658095266042	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Leontopithecus_chrysomelas	0.131777777777778	0.575	23.8355055674	0.933099415204678	0.196317480952731	0.944783729903088	0.982167569764762	4.66825460744967	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_mulatta	Macaca_nemestrina	0.227013675228053	0.466666666666667	10.9824679332	0.504532613554977	0.0904554104461209	0.873278546870244	0.805330896000283	4.49188942631147	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_sanfordi	Eulemur_macaco	0.248333333333333	0.528125	14.8274950179	0.589035087719299	0.122124385510603	0.875080618193278	0.866479207388605	4.17923622540382	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Eulemur_flavifrons	0.528125	0.430909090909091	3.030803714	0.204665071770335	0.024962749320008	0.761705632517892	0.483989422817276	3.96814183754936	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Lemuridae	STR	Lemuridae	STR	family
Cebuella_pygmaea	Leontopithecus_chrysomelas	0.2	0.575	23.8355055678	0.789473684210526	0.196317480956025	0.895212354313994	0.954975212098959	3.84034980152568	-14.6132720779463	-39.466685056486	24.8534129785397	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
