Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_beringei	Gorilla_gorilla	97500	71500	2.069936054	0.266850588302912	0.0170487104080538	1	0.999999999999999	15.6522447690151	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hominidae	APE	family
Pan_paniscus	Gorilla_beringei	33200	97500	20.238906202	0.659942031841433	0.166694642642164	0.999999999978011	0.999999999975847	3.95898765171229	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Gorilla_beringei	40366.7	97500	20.238906202	0.586386719872569	0.166694642642164	0.999999997256893	0.99999999704472	3.51772983804175	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_beringei	Hylobates_lar	97500	5380.9	45.7765141047	0.945462924189801	0.377031228067696	0.999999999816992	0.999999999988236	2.50765149842447	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_agilis	97500	5820	45.776514104	0.940956228292731	0.37703122806193	0.99999999977696	0.999999999985292	2.49569838795502	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_klossii	97500	5920	45.7765141043	0.939929879876181	0.377031228064401	0.999999999766711	0.999999999984526	2.4929762038076	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_muelleri	97500	6010.3	45.7765141044	0.939003087256037	0.377031228065225	0.999999999757063	0.999999999983802	2.49051807153087	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hoolock_hoolock	97500	6350	45.7765141037	0.935516581685018	0.377031228059459	0.999999999717148	0.999999999980766	2.48127081206353	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Nomascus_gabriellae	97500	7320	45.7765141043	0.925561002044486	0.377031228064401	0.999999999564578	0.999999999968695	2.45486562583453	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Nomascus_concolor	97500	7620	45.776514104	0.922481956794837	0.37703122806193	0.999999999502874	0.999999999963642	2.44669907338477	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Gorilla_gorilla	33200	71500	20.238906202	0.393091443538521	0.166694642642164	0.999932848338589	0.999930494206742	2.35799447759563	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Gorilla_gorilla	40366.7	71500	20.238906202	0.319536131569656	0.166694642642164	0.99880582640867	0.998777649450455	1.914605921949	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Hominidae	APE	Hominidae	APE	family
Cercopithecus_mona	Gorilla_beringei	2733	97500	62.1515760316	0.972639603911619	0.511901910747087	0.999999981804843	0.999999999533381	1.90005070462579	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_cephus	Gorilla_beringei	2880	97500	62.1515760317	0.971130871739291	0.51190191074791	0.999999980861105	0.999999999503715	1.89710339571512	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_pogonias	Gorilla_beringei	2900	97500	62.1515760316	0.970925602055981	0.511901910747087	0.999999980729088	0.999999999499539	1.89670240130254	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_beringei	2901	97500	62.1515760317	0.970915338571816	0.51190191074791	0.999999980722464	0.999999999499329	1.89668235157867	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_petaurista	Gorilla_beringei	2918.2	97500	62.1515760317	0.970738806644169	0.51190191074791	0.999999980608184	0.999999999495709	1.8963374963799	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Allenopithecus_nigroviridis	Gorilla_beringei	3180	97500	62.151576028	0.968051826489642	0.511901910717436	0.999999978785373	0.999999999437348	1.89108847942382	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_hamlyni	Gorilla_beringei	3360	97500	62.151576032	0.966204399339853	0.511901910750381	0.999999977436726	0.999999999393452	1.88747952927698	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Allochrocebus_lhoesti	Gorilla_beringei	3450	97500	62.1515760313	0.965280685764958	0.511901910744616	0.999999976731555	0.999999999370268	1.88567505423114	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_fascicularis	Gorilla_beringei	3517.9	97500	62.1515760326	0.964583795190121	0.511901910755323	0.999999976185431	0.999999999352207	1.88431367797731	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Chlorocebus_pygerythrus	Gorilla_beringei	3575.8	97500	62.1515760319	0.963989539456938	0.511901910749558	0.999999975709929	0.999999999336407	1.88315279900017	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_radiata	Gorilla_beringei	3855.7	97500	62.151576033	0.961116790239016	0.511901910758618	0.999999973278237	0.999999999254572	1.87754088108783	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_diana	Gorilla_beringei	3900	97500	62.1515760327	0.960662117890485	0.511901910756147	0.999999972872325	0.999999999240748	1.8766526782659	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
Allochrocebus_solatus	Gorilla_beringei	3920	97500	62.1515760319	0.960456848207175	0.511901910749558	0.999999972687115	0.999999999234425	1.87625168378053	2848.93560224845	2849.24116670535	-0.305564456903539	BM	Cercopithecidae	OWM	Hominidae	APE	order
