Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Trachypithecus_geei	Trachypithecus_pileatus	81.3	103.64	1.3038027628	0.0456253574054408	0.010738571217866	0.968972140104117	0.968972136322997	4.11690711093973	1194.44567729853	1196.44567729853	-1.99999999999886	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Gorilla_beringei	Hylobates_muelleri	491.27	85.13	45.7765141044	0.829466546850747	0.377031228067088	0.999999999963377	0.999999999963377	2.1999942844861	1194.44567729853	1196.44567729853	-1.99999999999886	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_muelleri	490.41	85.13	45.7765141044	0.82771015439915	0.377031228067088	0.999999999959742	0.999999999959741	2.19533580443514	1194.44567729853	1196.44567729853	-1.99999999999886	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_klossii	491.27	87.99	45.7765141043	0.823625520790785	0.377031228066264	0.999999999949866	0.999999999949866	2.18450212989981	1194.44567729853	1196.44567729853	-1.99999999999886	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_klossii	490.41	87.99	45.7765141043	0.821869128339188	0.377031228066264	0.999999999944924	0.999999999944924	2.1798436498461	1194.44567729853	1196.44567729853	-1.99999999999886	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_agilis	491.27	91.16	45.776514104	0.817151376521526	0.377031228063793	0.99999999992917	0.99999999992917	2.16733075575742	1194.44567729853	1196.44567729853	-1.99999999999886	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_agilis	490.41	91.16	45.776514104	0.815394984069929	0.377031228063793	0.999999999922244	0.999999999922243	2.16267227569957	1194.44567729853	1196.44567729853	-1.99999999999886	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_lar	491.27	101.87	45.7765141047	0.79527816354873	0.377031228069559	0.999999999776698	0.999999999776698	2.10931642835808	1194.44567729853	1196.44567729853	-1.99999999999886	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_lar	490.41	101.87	45.7765141047	0.793521771097133	0.377031228069559	0.999999999755446	0.999999999755446	2.10465794827127	1194.44567729853	1196.44567729853	-1.99999999999886	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Semnopithecus_vetulus	Semnopithecus_entellus	61.29	110.93	5.7933545577	0.101380606159628	0.0477160750715123	0.97699994566614	0.976999942588433	2.07579618736687	1194.44567729853	1196.44567729853	-1.99999999999886	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
