Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Cebuella_pygmaea	Callithrix_jacchus	45.6091666666667	71.866003030303	8.0860732424	0.43307266939116	0.0665997004031833	0.999682996718249	0.998706933218883	6.50056053274728	268.08737664166	268.488778895346	-0.401402253686513	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_arctoides	Macaca_nigra	25.3103247537879	11.2368333333333	10.9824679321	0.232124099518354	0.0904554104370609	0.902309333114921	0.865704487934005	2.31548052708292	268.08737664166	268.488778895346	-0.401402253686513	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Aotus_trivirgatus	Callithrix_jacchus	27.9147058823529	71.866003030303	40.5102348758	0.724919990948628	0.333656327999088	0.992919004913088	0.993691291811377	2.15727014791184	268.08737664166	268.488778895346	-0.401402253686513	BM	Aotidae	PLA	Callitrichidae	PLA	superfamily
Callithrix_jacchus	Saimiri_sciureus	71.866003030303	27.327725954601	41.3912937953	0.734601468209255	0.340913034476661	0.99306137938675	0.993988047145425	2.13985466539665	268.08737664166	268.488778895346	-0.401402253686513	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Nycticebus_pygmaeus	Loris_tardigradus	56.1666666666667	31.7	22.2897034077	0.403546127861447	0.183585718868412	0.956722712832252	0.944090635960884	2.10300533494811	268.08737664166	268.488778895346	-0.401402253686513	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_albifrons	Eulemur_sanfordi	20.73125	13.823996	5.21120138	0.113926250920524	0.0429212598308897	0.762003338565133	0.70256566011189	2.02259169217515	268.08737664166	268.488778895346	-0.401402253686513	BM	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Macaca_nigra	71.866003030303	11.2368333333333	78.0653383523	1	0.642973170076453	0.992551415374758	0.998041647787909	1.54369025266908	268.08737664166	268.488778895346	-0.401402253686513	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Pan_troglodytes	71.866003030303	13.6443960532523	78.0653383503	0.960290356408438	0.642973170059981	0.989825064261844	0.997055916706632	1.47831901547827	268.08737664166	268.488778895346	-0.401402253686513	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	71.866003030303	14.6070119708995	78.0653383503	0.944413247708806	0.642973170059981	0.988506923888154	0.996548276649634	1.45194088624999	268.08737664166	268.488778895346	-0.401402253686513	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Macaca_nemestrina	71.866003030303	16.3207243416306	78.0653383528	0.916147771217929	0.642973170080572	0.98578157304863	0.995443617331042	1.40460229614719	268.08737664166	268.488778895346	-0.401402253686513	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Pan_paniscus	71.866003030303	16.5927579365079	78.0653383503	0.911660927735873	0.642973170059981	0.985300127605246	0.995241405834064	1.39704060800403	268.08737664166	268.488778895346	-0.401402253686513	BM	Callitrichidae	PLA	Hominidae	APE	order
