Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_troglodytes	Gorilla_gorilla	53.6	106	20.238906202	0.50114766641163	0.16669464264491	0.994796311870028	0.976872773844335	2.990737088717	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_gorilla	Hylobates_lar	106	31.2	45.7765141047	0.715378729915838	0.377031228073906	0.992000970693316	0.988298270153937	1.88222179397499	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Papio_anubis	Cercopithecus_ascanius	65.4	17.9	29.8369393136	0.454284621270084	0.245747368304268	0.963027290165744	0.92862653198605	1.78023671547128	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cercopithecus_ascanius	Gorilla_gorilla	17.9	106	62.1515760317	0.842578423871461	0.511901910756343	0.992654932425073	0.994661377868452	1.63388651387367	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	22.3	106	62.151576032	0.800497322111706	0.511901910758814	0.98913134420269	0.991872419567445	1.54677483246213	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	3.68	106	78.0653383507	0.978576893649579	0.642973170063805	0.994531678157911	0.99821544086607	1.51363348512862	198.599842091918	197.133084457963	1.46675763395518	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	4.93	106	78.0653383502	0.966622035195103	0.642973170059687	0.99393283565826	0.99796968309006	1.49424178984333	198.599842091918	197.133084457963	1.46675763395518	BM	Callitrichidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	8.86	106	78.065338345	0.929035960214231	0.642973170016858	0.991646232122068	0.996980785275513	1.43283585134384	198.599842091918	197.133084457963	1.46675763395518	BM	Cebidae	PLA	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	29.6	106	62.151576031	0.730680948737567	0.511901910750577	0.979915369896973	0.98430302947263	1.3987161937118	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebus_albifrons	Gorilla_gorilla	23.7	106	78.0653383462	0.787107880642693	0.642973170026741	0.974550407549887	0.988018739090432	1.19301448586752	198.599842091918	197.133084457963	1.46675763395518	BM	Cebidae	PLA	Hominidae	APE	order
Papio_anubis	Piliocolobus_badius	65.4	22.3	38.5936741539	0.412203519510329	0.317870869958512	0.90394675411343	0.870798301104533	1.17220566182779	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Ateles_geoffroyi	Gorilla_gorilla	30.5	106	78.065338351	0.722073450650344	0.642973170066276	0.959624231672802	0.978838210312653	1.07767977351254	198.599842091918	197.133084457963	1.46675763395518	BM	Atelidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Carlito_syrichta	106	2.53	115.745494551	0.989575363427697	0.953319989695427	0.97895294614214	0.997668995938574	1.01618315773146	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Tarsiidae	TAR	order
Gorilla_gorilla	Microcebus_murinus	106	1.44	121.41305731	1	0.99999999993658	0.977176579278473	0.997846499396878	0.977176579340445	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Cheirogaleidae	STR	order
Gorilla_gorilla	Loris_tardigradus	106	3.21	121.4130573117	0.983071920428462	0.999999999950582	0.974768696558651	0.997440900852693	0.958267734546818	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Lorisidae	STR	order
Gorilla_gorilla	Cheirogaleus_major	106	4.83	121.41305731	0.967578423871461	0.99999999993658	0.972375199558499	0.997009641620782	0.940849263060179	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Cheirogaleidae	STR	order
Gorilla_gorilla	Lepilemur_ruficaudatus	106	4.89	121.413057307	0.967004590665646	0.999999999911871	0.972282912336237	0.9969924644248	0.940202039737764	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Lepilemuridae	STR	order
Gorilla_gorilla	Otolemur_crassicaudatus	106	5.71	121.413057313	0.95916220351951	0.999999999961289	0.970994761987731	0.996748514374748	0.931341475550107	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Galagidae	STR	order
Papio_anubis	Nasalis_larvatus	65.4	29.6	38.5936741529	0.34238714613619	0.317870869950276	0.833153682399346	0.792429522496514	0.897411932254731	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Gorilla_gorilla	Perodicticus_potto	106	10.4	121.413057312	0.914307574598317	0.999999999953053	0.962594391764349	0.994972734899628	0.880107343697323	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Lorisidae	STR	order
Gorilla_gorilla	Eulemur_fulvus	106	12.2	121.4130573104	0.897092578423871	0.999999999939875	0.958860512117142	0.994085106284941	0.86018664921572	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Lemuridae	STR	order
Gorilla_gorilla	Propithecus_verreauxi	106	14.6	121.413057311	0.874139250191278	0.999999999944817	0.953394850768736	0.992682461846558	0.833399860033198	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Indriidae	STR	order
Cebuella_pygmaea	Papio_anubis	3.68	65.4	78.0653383526	0.590283091048202	0.642973170079454	0.906212063001358	0.940484942969758	0.831950200390955	198.599842091918	197.133084457963	1.46675763395518	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Papio_anubis	4.93	65.4	78.0653383521	0.578328232593726	0.642973170075336	0.899370120601321	0.935137627929756	0.808946868240281	198.599842091918	197.133084457963	1.46675763395518	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saimiri_sciureus	Papio_anubis	8.86	65.4	78.0653383469	0.540742157612854	0.642973170032507	0.875241975833025	0.91569196781726	0.736080845210633	198.599842091918	197.133084457963	1.46675763395518	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Pan_troglodytes	3.68	53.6	78.0653383507	0.47742922723795	0.642973170063805	0.824699309724268	0.872517307189992	0.612367004530307	198.599842091918	197.133084457963	1.46675763395518	BM	Callitrichidae	PLA	Hominidae	APE	order
Papio_anubis	Gorilla_gorilla	65.4	106	62.1515760319	0.388293802601377	0.51190191075799	0.783322332507113	0.800800222293516	0.594174783800648	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Pan_troglodytes	4.93	53.6	78.0653383502	0.465474368783474	0.642973170059687	0.813641446626474	0.862705139524856	0.58902805967685	198.599842091918	197.133084457963	1.46675763395518	BM	Callitrichidae	PLA	Hominidae	APE	order
Papio_anubis	Carlito_syrichta	65.4	2.53	115.7454945529	0.60128156082632	0.953319989711076	0.839041198270451	0.935666304884938	0.529203212707773	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Tarsiidae	TAR	order
Saimiri_sciureus	Pan_troglodytes	8.86	53.6	78.065338345	0.427888293802601	0.642973170016858	0.775529334966032	0.828046576635029	0.516102287633217	198.599842091918	197.133084457963	1.46675763395518	BM	Cebidae	PLA	Hominidae	APE	order
Papio_anubis	Microcebus_murinus	65.4	1.44	121.4130573119	0.611706197398623	0.999999999952229	0.83622117207006	0.939459832620943	0.511521673375631	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Papio_anubis	Loris_tardigradus	65.4	3.21	121.4130573136	0.594778117827085	0.999999999966231	0.82424434181766	0.931983906186918	0.490242498272487	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Lorisidae	STR	order
Cercopithecus_ascanius	Pan_troglodytes	17.9	53.6	62.1515760317	0.341430757459832	0.511901910756343	0.722657900402247	0.741055417306722	0.482001784197508	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Hominidae	APE	order
Papio_anubis	Cheirogaleus_major	65.4	4.83	121.4130573119	0.579284621270084	0.999999999952229	0.812720713842625	0.92449146313043	0.470796610939168	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Papio_anubis	Lepilemur_ruficaudatus	65.4	4.89	121.4130573089	0.578710788064269	0.99999999992752	0.812283445118826	0.924201517185197	0.470077192690347	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Lepilemuridae	STR	order
Cebus_albifrons	Papio_anubis	23.7	65.4	78.0653383481	0.398814078041316	0.64297317004239	0.742444383205223	0.797031596106703	0.460512640310362	198.599842091918	197.133084457963	1.46675763395518	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Papio_anubis	Otolemur_crassicaudatus	65.4	5.71	121.4130573149	0.570868400918133	0.999999999976938	0.806231730836815	0.920147115802507	0.460252218962886	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Galagidae	STR	order
Papio_anubis	Hylobates_lar	65.4	31.2	62.1515760366	0.327084927314461	0.511901910796701	0.701969510646111	0.720506063161309	0.448530551506061	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Hylobatidae	APE	order
Cebuella_pygmaea	Ateles_geoffroyi	3.68	30.5	46.5475501497	0.256503442999235	0.383381748042961	0.654330301222484	0.632065327672929	0.437782904322003	198.599842091918	197.133084457963	1.46675763395518	BM	Callitrichidae	PLA	Atelidae	PLA	superfamily
Papio_anubis	Perodicticus_potto	65.4	10.4	121.4130573139	0.52601377199694	0.999999999968702	0.768851636036937	0.893454610301449	0.404426549190465	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Lorisidae	STR	order
Saguinus_oedipus	Ateles_geoffroyi	4.93	30.5	46.5475501492	0.244548584544759	0.383381748038843	0.631384876003542	0.609320760590512	0.402742901871246	198.599842091918	197.133084457963	1.46675763395518	BM	Callitrichidae	PLA	Atelidae	PLA	superfamily
Piliocolobus_badius	Pan_troglodytes	22.3	53.6	62.151576032	0.299349655700076	0.511901910758814	0.659117290956426	0.677705814703575	0.385438166896657	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Hominidae	APE	order
Papio_anubis	Eulemur_fulvus	65.4	12.2	121.4130573123	0.508798775822494	0.999999999955524	0.753224965681697	0.881499389215796	0.383239940474833	198.599842091918	197.133084457963	1.46675763395518	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Pan_troglodytes	Carlito_syrichta	53.6	2.53	115.745494551	0.488427697016067	0.953319989695427	0.745189103592205	0.86707378474985	0.381793103725111	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Tarsiidae	TAR	order
Pan_troglodytes	Microcebus_murinus	53.6	1.44	121.41305731	0.49885233358837	0.99999999993658	0.743866053019268	0.874126864775776	0.371079316449366	198.599842091918	197.133084457963	1.46675763395518	BM	Hominidae	APE	Cheirogaleidae	STR	order
