Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_beringei	Gorilla_gorilla	97500	71500	2.069936054	0.26700075992524	0.0170487104082223	0.999999999895391	0.999999996763314	15.6610531532367	1669.73775655513	1668.99073370666	0.74702284847217	BM	Hominidae	APE	Hominidae	APE	family
Pan_paniscus	Gorilla_beringei	33200	97500	20.238906202	0.660313417815112	0.166694642643812	0.999999676702236	0.999999598856191	3.96121431297704	1669.73775655513	1668.99073370666	0.74702284847217	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Gorilla_beringei	45800	97500	20.238906202	0.530920741851342	0.166694642643812	0.999960111817495	0.99995403025946	3.18486278843589	1669.73775655513	1668.99073370666	0.74702284847217	BM	Hominidae	APE	Hominidae	APE	family
Pan_paniscus	Pan_troglodytes	33200	45800	4.786270704	0.12939267596377	0.0394213835785742	0.960488655477644	0.943799769018806	3.15260871342535	1669.73775655513	1668.99073370666	0.74702284847217	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_beringei	Hylobates_lar	97500	5340	45.7765141047	0.946415001335004	0.377031228071422	0.99999888014283	0.999999916880596	2.51017388221778	1669.73775655513	1668.99073370666	0.74702284847217	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_klossii	97500	5920	45.7765141043	0.940458830536672	0.377031228068127	0.999998692894841	0.999999899870494	2.49437587988904	1669.73775655513	1668.99073370666	0.74702284847217	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Nomascus_concolor	97500	7620	45.776514104	0.92300108854156	0.377031228065657	0.999997954236701	0.999999828287606	2.44807095962639	1669.73775655513	1668.99073370666	0.74702284847217	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Gorilla_gorilla	33200	71500	20.238906202	0.393312657889872	0.166694642643812	0.997660406373075	0.997463707527915	2.35395967068082	1669.73775655513	1668.99073370666	0.74702284847217	BM	Hominidae	APE	Hominidae	APE	family
Chlorocebus_pygerythrus	Gorilla_beringei	2730	97500	62.1515760319	0.973217769927499	0.511901910754617	0.99998270772768	0.999999519923378	1.90114731032388	1669.73775655513	1668.99073370666	0.74702284847217	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_cephus	Gorilla_beringei	2880	97500	62.1515760317	0.97167738092793	0.51190191075297	0.999982169489322	0.999999499552146	1.89813719193737	1669.73775655513	1668.99073370666	0.74702284847217	BM	Cercopithecidae	OWM	Hominidae	APE	order
