Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_macaco	Eulemur_flavifrons	10.0107142857143	21.2095238095238	3.030803714	0.199192011501298	0.0249627493202753	0.99216337062623	0.975999834658258	7.91703730215432	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_fascicularis	42.1458333333333	60.6904761904762	10.2479298855	0.329851553009619	0.0844055006273803	0.983360866564385	0.9653708220714	3.84291434319064	191.652034180065	190.658253246808	0.993780933256943	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_sanfordi	Eulemur_fulvus	20.1944444444444	7.5	9.5384061272	0.225794707768205	0.0785616171606259	0.910690017518399	0.864669402368198	2.61742303436247	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_mulatta	42.1458333333333	53.14375275447	10.2479298856	0.195618801013431	0.0844055006282039	0.844424857097878	0.78976518865249	1.9570451790701	191.652034180065	190.658253246808	0.993780933256943	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_albifrons	Eulemur_fulvus	17.4097222222222	7.5	9.5384061272	0.17626315535297	0.0785616171606259	0.815271659561513	0.756306861370541	1.82916747869832	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_flavifrons	7.5	21.2095238095238	14.8274950171	0.243849814441262	0.122124385505322	0.858897409873463	0.816454592301365	1.71498896927999	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Macaca_mulatta	60.6904761904762	53.14375275447	7.3270128521	0.134232751996187	0.0603478160754977	0.750866992279464	0.683240046962278	1.67016719595418	191.652034180065	190.658253246808	0.993780933256943	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_mongoz	Eulemur_flavifrons	8.685	21.2095238095238	15.6477288181	0.222772347847407	0.128880115235954	0.809390080066031	0.765058694510398	1.39905002513847	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_flavifrons	10.375	21.2095238095238	13.292473054	0.192712500975158	0.109481412854543	0.780700173994133	0.729200843921826	1.37421210705455	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Macaca_fascicularis	11.8805970149254	60.6904761904762	78.0653383529	0.868176031875749	0.64297317008828	0.977601437114195	0.994144979421466	1.32000863475112	191.652034180065	190.658253246808	0.993780933256943	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Eulemur_sanfordi	Eulemur_collaris	20.1944444444444	12.352947845805	9.5384061272	0.139475850298437	0.0785616171606259	0.706061591645091	0.643729024953118	1.25351977743049	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Lemur_catta	Hapalemur_griseus	21.9048148148148	4.46929824561404	25.8477057818	0.310123643910491	0.212890658987526	0.843692592617331	0.824500339334748	1.22903006833243	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_sanfordi	8.685	20.1944444444444	15.6477288182	0.20471724117435	0.128880115236778	0.770909133477578	0.724931293348958	1.2245363895873	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_flavifrons	6.68833333333333	21.2095238095238	22.8374257191	0.258286841489373	0.188096949569166	0.790904032221708	0.762968143414224	1.08603624286122	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Macaca_mulatta	11.8805970149254	53.14375275447	78.065338353	0.733943279879562	0.642973170089103	0.946451550775453	0.980178314238978	1.08035885125186	191.652034180065	190.658253246808	0.993780933256943	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Eulemur_sanfordi	Eulemur_macaco	20.1944444444444	10.0107142857143	14.8274950179	0.181136904828241	0.122124385511911	0.725697797765919	0.67679422445228	1.07636695469938	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_coronatus	20.1944444444444	10.375	14.8274950179	0.174657394302101	0.122124385511911	0.708164284094118	0.659183561555035	1.01278813464841	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Saimiri_sciureus	11.8805970149254	33.9	41.3912937953	0.391656734881466	0.340913034480312	0.842859532606978	0.854911494679102	0.968316195383349	191.652034180065	190.658253246808	0.993780933256943	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Eulemur_rubriventer	Eulemur_sanfordi	6.68833333333333	20.1944444444444	22.8374257192	0.240231734816317	0.18809694956999	0.757295171514091	0.728572834555772	0.96719448793164	191.652034180065	190.658253246808	0.993780933256943	BM	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Hapalemur_griseus	60.6904761904762	4.46929824561404	121.4130573164	1	0.999999999999176	0.965064107372551	0.99711105917056	0.965064107373346	191.652034180065	190.658253246808	0.993780933256943	BM	Cercopithecidae	OWM	Lemuridae	STR	order
