Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_albifrons	Eulemur_sanfordi	39.6375	44.0541666666667	5.21120138	0.359130729393546	0.0429212598308897	0.979460558055276	0.936845411970797	7.83877214824742	197.382767061066	190.775037510735	6.6077295503305	OU	Lemuridae	STR	Lemuridae	STR	family
Cebuella_pygmaea	Callithrix_jacchus	40.0138888888889	46.516796875	8.0860732424	0.528768472807058	0.0665997004031833	0.993816562164539	0.976751786833129	7.75492303281642	197.382767061066	190.775037510735	6.6077295503305	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_albifrons	Eulemur_coronatus	39.6375	49.6315476190476	14.8274950179	0.812642176080536	0.122124385510603	0.9981120387916	0.994435750330659	6.61719138845388	197.382767061066	190.775037510735	6.6077295503305	OU	Lemuridae	STR	Lemuridae	STR	family
Leontopithecus_rosalia	Leontopithecus_chrysomelas	41.9660714285714	43.2152777777778	1.4560128688	0.101576238646085	0.0119922263796461	0.784821215088421	0.658647990479226	5.5788627854986	197.382767061066	190.775037510735	6.6077295503305	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_albifrons	Eulemur_flavifrons	39.6375	47.0171014492754	14.8274950179	0.600054713459303	0.122124385510603	0.978234716213524	0.959356482337776	4.7137709369644	197.382767061066	190.775037510735	6.6077295503305	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_coronatus	42.3166666666667	49.6315476190476	14.8274950171	0.59479212042011	0.122124385504014	0.977053038205282	0.957561517023739	4.66368811431625	197.382767061066	190.775037510735	6.6077295503305	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_collaris	39.6375	44.5618650793651	9.5384061272	0.400413016472259	0.0785616171597847	0.94372880625039	0.892193986592761	4.54733619756609	197.382767061066	190.775037510735	6.6077295503305	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_macaco	39.6375	45.3790625	14.8274950179	0.466861478147233	0.122124385510603	0.925762362814231	0.888782807242933	3.39767077153691	197.382767061066	190.775037510735	6.6077295503305	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Eulemur_flavifrons	45.3790625	47.0171014492754	3.030803714	0.133193235312069	0.024962749320008	0.740036910257858	0.621684265772563	3.31710812937129	197.382767061066	190.775037510735	6.6077295503305	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_coronatus	44.0541666666667	49.6315476190476	14.8274950179	0.45351144668699	0.122124385510603	0.917099528801842	0.878185203878459	3.26115902737091	197.382767061066	190.775037510735	6.6077295503305	OU	Lemuridae	STR	Lemuridae	STR	family
