Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_gorilla	Hylobates_lar	2215	629	45.7765141047	0.725791689547868	0.377031228073906	0.998277870052084	0.997384849653497	1.92170231003073	319.85696686622	321.513437765175	-1.65647089895538	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_ascanius	Gorilla_gorilla	410	2215	62.1515760317	0.8260113490756	0.511901910756343	0.997797057241838	0.997632267094321	1.61005785686214	319.85696686622	321.513437765175	-1.65647089895538	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	484	2215	62.151576032	0.79214717188358	0.511901910758814	0.996674232995546	0.99644459896905	1.54231242033524	319.85696686622	321.513437765175	-1.65647089895538	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	69.2	2215	78.0653383507	0.98196961376533	0.642973170063805	0.998835209116734	0.999126224501201	1.52545373613994	319.85696686622	321.513437765175	-1.65647089895538	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	152	2215	78.0653383502	0.944078345231558	0.642973170059687	0.99820408738155	0.998625110715683	1.46566436501708	319.85696686622	321.513437765175	-1.65647089895538	BM	Callitrichidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	207	2215	78.065338345	0.918909024345598	0.642973170016858	0.997624962514848	0.998157818620254	1.42576179491797	319.85696686622	321.513437765175	-1.65647089895538	BM	Cebidae	PLA	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	671	2215	62.151576031	0.706571480871316	0.511901910750577	0.991174445559402	0.990683289994116	1.36810506288958	319.85696686622	321.513437765175	-1.65647089895538	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Hylobates_lar	1739	629	45.7765141047	0.507962657880286	0.377031228073906	0.971741313076442	0.964830638752241	1.30919739111273	319.85696686622	321.513437765175	-1.65647089895538	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cebus_albifrons	Gorilla_gorilla	418	2215	78.0653383462	0.822350356946733	0.642973170026741	0.993462031936997	0.994684828235692	1.2706188915199	319.85696686622	321.513437765175	-1.65647089895538	BM	Cebidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Pan_troglodytes	69.2	1739	78.0653383507	0.764140582097748	0.642973170063805	0.988496044182627	0.99040207205689	1.1747767679452	319.85696686622	321.513437765175	-1.65647089895538	BM	Callitrichidae	PLA	Hominidae	APE	order
Cercopithecus_ascanius	Pan_troglodytes	410	1739	62.1515760317	0.608182317408018	0.511901910756343	0.975809031199075	0.974787613165562	1.1593428066433	319.85696686622	321.513437765175	-1.65647089895538	BM	Cercopithecidae	OWM	Hominidae	APE	order
Papio_anubis	Cercopithecus_ascanius	1076	410	29.8369393136	0.304777594728171	0.245747368304268	0.8969622839804	0.869961408398684	1.11241886071781	319.85696686622	321.513437765175	-1.65647089895538	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saguinus_oedipus	Pan_troglodytes	152	1739	78.0653383502	0.726249313563976	0.642973170059687	0.983680908020372	0.986166529391303	1.11108459494424	319.85696686622	321.513437765175	-1.65647089895538	BM	Callitrichidae	PLA	Hominidae	APE	order
