Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pongo_pygmaeus	Pongo_abelii	3289	2313.5	3.10266931	0.298591980410162	0.0255546592643762	0.999203137380606	0.995787561240353	11.6751329194373	387.840762487216	388.025567210357	-0.184804723141269	BM	Hominidae	APE	Hominidae	APE	family
Hylobates_lar	Hylobates_muelleri	578	1078	6.4663244217	0.153045607591062	0.0532588880022982	0.766257896595727	0.697767693087451	2.20193116594702	387.840762487216	388.025567210357	-0.184804723141269	BM	Hylobatidae	APE	Hylobatidae	APE	family
Pongo_pygmaeus	Hylobates_lar	3289	578	45.7765141087	0.829813284358739	0.377031228106852	0.984758539658582	0.986959638183562	2.16736879381995	387.840762487216	388.025567210357	-0.184804723141269	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Hylobates_lar	3279	578	45.7765141047	0.826752372206918	0.377031228073906	0.984378447104632	0.986620595392576	2.15854060803045	387.840762487216	388.025567210357	-0.184804723141269	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Hylobates_lar	3133.33	578	45.7765141047	0.782164064891338	0.377031228073906	0.977818851587345	0.980721756832568	2.02851835799399	387.840762487216	388.025567210357	-0.184804723141269	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pongo_pygmaeus	Hylobates_muelleri	3289	1078	45.7765141084	0.676767676767677	0.377031228104381	0.952189058927288	0.957109812374463	1.70917083047407	387.840762487216	388.025567210357	-0.184804723141269	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Hylobates_muelleri	3279	1078	45.7765141044	0.673706764615856	0.377031228071435	0.951172411400179	0.95616027677537	1.69962390424292	387.840762487216	388.025567210357	-0.184804723141269	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_gorilla	Hylobates_lar	2752.6	578	45.7765141047	0.665625956535047	0.377031228073906	0.948400935481505	0.953567858176394	1.67434480980145	387.840762487216	388.025567210357	-0.184804723141269	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Colobus_angolensis	Pongo_pygmaeus	444	3289	62.151576036	0.870829507193144	0.511901910791759	0.971145461162709	0.98275327781699	1.65207846567545	387.840762487216	388.025567210357	-0.184804723141269	BM	Cercopithecidae	OWM	Hominidae	APE	order
Colobus_angolensis	Pan_paniscus	444	3279	62.151576032	0.867768595041322	0.511901910758814	0.970578054363388	0.982357401192279	1.64530965192994	387.840762487216	388.025567210357	-0.184804723141269	BM	Cercopithecidae	OWM	Hominidae	APE	order
