Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Papio_hamadryas	Chlorocebus_pygerythrus	372.25	52.37	29.8369393138	0.865054897506626	0.245747368307332	0.998594303760077	0.997103963632315	3.51515012770983	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Papio_hamadryas	138.95	372.25	22.4016461419	0.630915679593272	0.184507718007719	0.992811807476647	0.984574579623711	3.39487444203364	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Chlorocebus_pygerythrus	315.36	52.37	29.8369393139	0.711206663421494	0.245747368308156	0.991348460132306	0.985667954896056	2.86901803047848	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Chlorocebus_pygerythrus	309.51	52.37	29.8369393139	0.695386445994916	0.245747368308156	0.989745363256019	0.983350569481339	2.8006627917639	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Semnopithecus_vetulus	372.25	43.57	38.5936741539	0.888852831413273	0.317870869960345	0.996087803338852	0.994874216337411	2.78533061064834	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Papio_hamadryas	177.68	372.25	22.401646142	0.526177727297312	0.184507718008542	0.975023410022508	0.956629078141306	2.78056445272152	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	138.95	315.36	22.401646142	0.47706744550814	0.184507718008542	0.957900142560772	0.932985124862009	2.47676887989148	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Theropithecus_gelada	138.95	309.51	22.401646142	0.461247228081562	0.184507718008542	0.950600822780066	0.923412141698861	2.37638836603604	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Semnopithecus_vetulus	315.36	43.57	38.593674154	0.735004597328141	0.317870869961168	0.982956831024997	0.97936235596748	2.27286567613677	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Semnopithecus_vetulus	309.51	43.57	38.593674154	0.719184379901563	0.317870869961168	0.980426456680361	0.976470771565195	2.21821959770296	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Colobus_guereza	372.25	113.44	38.5936741539	0.699902644815837	0.317870869960345	0.976903616513262	0.972476479978251	2.15099113993392	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Mandrillus_sphinx	177.68	315.36	22.4016461421	0.37232949321218	0.184507718009366	0.887328447718382	0.847128107193687	1.79059475026929	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Theropithecus_gelada	177.68	309.51	22.4016461421	0.356509275785602	0.184507718009366	0.8712116255656	0.828914139412539	1.68337145479531	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Colobus_guereza	315.36	113.44	38.593674154	0.546054410730705	0.317870869961168	0.923681044054415	0.914483838074662	1.58674529778671	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Colobus_guereza	309.51	113.44	38.593674154	0.530234193304127	0.317870869961168	0.914768094783352	0.905025488507111	1.52590680252348	228.815745205201	229.831716805661	-1.01597160045955	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Papio_hamadryas	6.2	372.25	78.0653383526	0.989912921196387	0.642973170083161	0.976132515062159	0.990030767329556	1.50284060738488	228.815745205201	229.831716805661	-1.01597160045955	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Papio_hamadryas	9.41	372.25	78.0653383522	0.981232083941803	0.642973170079866	0.974872933183629	0.989359758094117	1.48773952681013	228.815745205201	229.831716805661	-1.01597160045955	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
