Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Theropithecus_gelada	Papio_hamadryas	38.04	80.31	12.5784127639	0.532971882486446	0.10360016493991	0.99342654853787	0.971215743487483	4.99642721039324	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Papio_hamadryas	18.64	80.31	22.4016461419	0.777581641659312	0.184507718007719	0.99703272996476	0.992878276832948	4.18434485453522	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	49.95	18.64	10.9824679321	0.394779977304249	0.0904554104376569	0.968787791488734	0.910505086594317	3.97377200193951	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Chlorocebus_pygerythrus	80.31	12.11	29.8369393138	0.859916782246879	0.245747368307332	0.995587053680261	0.994850427355534	3.48117086339915	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Semnopithecus_vetulus	80.31	15.41	38.5936741539	0.818307905686547	0.317870869960345	0.982788640086168	0.989366257191192	2.54696578513175	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Colobus_guereza	80.31	23.25	38.5936741539	0.719455301979574	0.317870869960345	0.963775033605461	0.975290988553724	2.20743181901321	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Mandrillus_sphinx	80.31	49.87	18.5708053179	0.383810364392889	0.15295558590056	0.892754178217374	0.837016981775955	2.10032076231149	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	18.64	49.87	22.401646142	0.393771277266423	0.184507718008542	0.867569024272634	0.827049951935659	1.76506717145437	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Chlorocebus_pygerythrus	49.95	12.11	29.836939314	0.477115117891817	0.245747368308979	0.885810990207617	0.879379728467384	1.70730358459777	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Chlorocebus_pygerythrus	49.87	12.11	29.8369393139	0.476106417853991	0.245747368308156	0.885043730620627	0.878592748250317	1.70216938232852	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Papio_hamadryas	49.95	80.31	22.401646142	0.382801664355062	0.184507718008542	0.856442269240741	0.814769632407857	1.69041802000527	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Papio_hamadryas	1.91	80.31	78.0653383526	0.988526037069726	0.642973170083161	0.956963137967428	0.996629663106441	1.5322480270356	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Papio_hamadryas	2.94	80.31	78.0653383522	0.975539024082713	0.642973170079866	0.95414980063707	0.99618728938374	1.51144654444649	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Papio_hamadryas	3.15	80.31	78.0653383521	0.972891186483419	0.642973170079043	0.953557585919601	0.996090864664514	1.50719822889285	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Papio_hamadryas	4.13	80.31	78.0653383536	0.960534611020048	0.642973170091397	0.950708108646531	0.99561093818405	1.48733852316106	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Sapajus_apella	Papio_hamadryas	10.4	80.31	78.0653383489	0.881477745555415	0.642973170052686	0.928806563064268	0.991058645794496	1.35868210603026	174.450430705847	169.81423177754	4.63619892830721	OU	Cebidae	PLA	Cercopithecidae	OWM	order
Macaca_arctoides	Semnopithecus_vetulus	49.95	15.41	38.5936741541	0.435506241331484	0.317870869961992	0.79512857548581	0.82601774730373	1.13170446994517	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Semnopithecus_vetulus	49.87	15.41	38.593674154	0.434497541293658	0.317870869961168	0.79407771938894	0.825018505096643	1.12771740307645	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Nomascus_concolor	80.31	35.21	62.1515760359	0.568654646324549	0.511901910793887	0.807927530906759	0.911015462197369	1.01201649091056	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Hylobatidae	APE	order
Papio_hamadryas	Cheirogaleus_medius	80.31	1	121.4130573119	1	0.999999999957995	0.899258415065522	0.996831076174221	0.996831076216093	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Theropithecus_gelada	Chlorocebus_pygerythrus	38.04	12.11	29.8369393139	0.326944899760434	0.245747368308156	0.720949653595509	0.712505422772551	0.947924755536055	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Eulemur_fulvus	80.31	9.52	121.4130573123	0.892573445971504	0.999999999961289	0.857066297188618	0.991557912821189	0.885038263161381	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Cebuella_pygmaea	Macaca_arctoides	1.91	49.95	78.0653383528	0.605724372714664	0.642973170084808	0.784957763532899	0.927578368534062	0.873841789308063	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Mandrillus_sphinx	1.91	49.87	78.0653383527	0.604715672676838	0.642973170083984	0.784192954852191	0.927101696302442	0.871938289191972	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Lemur_catta	80.31	11.2	121.4130573139	0.871390745177153	0.999999999974467	0.847336538388268	0.989869725989932	0.862563318180694	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Callithrix_jacchus	Macaca_arctoides	2.94	49.95	78.0653383524	0.592737359727651	0.642973170081514	0.774960778281889	0.921242547576542	0.849265413749795	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Mandrillus_sphinx	2.94	49.87	78.0653383523	0.591728659689825	0.64297317008069	0.774170644557058	0.920732132794655	0.847350428017956	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Macaca_arctoides	3.15	49.95	78.0653383523	0.590089522128357	0.64297317008069	0.772882457186727	0.919896974139571	0.844236728896821	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Mandrillus_sphinx	3.15	49.87	78.0653383522	0.589080822090531	0.642973170079866	0.772087127052631	0.919379486236321	0.842319475784642	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Eulemur_macaco	80.31	14.16	121.413057313	0.834068843777582	0.999999999967055	0.828979264969315	0.986153413356339	0.822519837292536	174.450430705847	169.81423177754	4.63619892830721	OU	Cercopithecidae	OWM	Lemuridae	STR	order
Leontopithecus_chrysomelas	Macaca_arctoides	4.13	49.95	78.0653383538	0.577732946664986	0.642973170093045	0.763002709226791	0.913368643733092	0.820692343755121	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Mandrillus_sphinx	4.13	49.87	78.0653383537	0.576724246627159	0.642973170092221	0.762182992089001	0.912817279546859	0.818764891510804	174.450430705847	169.81423177754	4.63619892830721	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
