Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Macaca_fascicularis	Macaca_mulatta	92	158	7.3270128521	0.218869175924391	0.0603478160749012	0.990351983047317	0.990351982966949	3.5918039210503	435.111221970035	437.111221970035	-1.99999999999972	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Papio_hamadryas	92	220	22.4016461425	0.424473553307909	0.184507718011597	0.995904260038903	0.995904259997674	2.2911508774209	435.111221970035	437.111221970035	-1.99999999999972	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cercopithecus_nictitans	Cercopithecus_mitis	120	150	5.193516448	0.0994859890565412	0.042775600604556	0.837693529617034	0.837693529151444	1.94827818060699	435.111221970035	437.111221970035	-1.99999999999972	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callithrix_jacchus	Gorilla_gorilla	25.7	309	78.0653383503	0.939479356657271	0.64297317006051	0.999334874962634	0.999334874953448	1.46017676807061	435.111221970035	437.111221970035	-1.99999999999972	BM	Callitrichidae	PLA	Hominidae	APE	order
Plecturocebus_moloch	Gorilla_gorilla	30	309	78.0653383522	0.925219698225833	0.642973170076159	0.999197424896586	0.999197424885814	1.4378160442081	435.111221970035	437.111221970035	-1.99999999999972	BM	Pitheciidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	33	309	78.0653383502	0.915271099320179	0.642973170059687	0.999086394479276	0.99908639446726	1.42219760508202	435.111221970035	437.111221970035	-1.99999999999972	BM	Callitrichidae	PLA	Hominidae	APE	order
Aotus_trivirgatus	Gorilla_gorilla	36	309	78.0653383541	0.905322500414525	0.642973170091808	0.998961270938777	0.998961270925391	1.40656275827875	435.111221970035	437.111221970035	-1.99999999999972	BM	Aotidae	PLA	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	36.8	309	78.0653383511	0.90266954070635	0.642973170067099	0.998925323181645	0.998925323167871	1.4023904956753	435.111221970035	437.111221970035	-1.99999999999972	BM	Callitrichidae	PLA	Hominidae	APE	order
Macaca_fascicularis	Gorilla_gorilla	92	309	62.1515760326	0.719615320842315	0.511901910763756	0.996519836867576	0.996519836831386	1.40087568937429	435.111221970035	437.111221970035	-1.99999999999972	BM	Cercopithecidae	OWM	Hominidae	APE	order
Callithrix_jacchus	Pan_paniscus	25.7	275	78.0653383503	0.826728569059857	0.64297317006051	0.99725635622217	0.997256356192304	1.2822624002924	435.111221970035	437.111221970035	-1.99999999999972	BM	Callitrichidae	PLA	Hominidae	APE	order
