Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_macaco	Eulemur_flavifrons	34.47671233	28.93424658	3.030803714	0.243646874424664	0.0305030633496716	0.987973096335856	0.966669974115979	7.8915535196723	149.366209645157	149.838378787984	-0.472169142826488	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Nycticebus_coucang	19.89315068	24.03835616	5.9520781674	0.182223292773616	0.0599037861025927	0.819845698441947	0.7519407951184	2.49391553449591	149.366209645157	149.838378787984	-0.472169142826488	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_fulvus	Eulemur_coronatus	35.99726027	28.82465753	14.8274950171	0.315307720050553	0.149229070076143	0.858263441947982	0.816934122350755	1.81343413146834	149.366209645157	149.838378787984	-0.472169142826488	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_coronatus	36.2739726	28.82465753	15.6477288181	0.32747199807415	0.15748418850492	0.862590249355538	0.823666927349926	1.79366674938871	149.366209645157	149.838378787984	-0.472169142826488	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_flavifrons	35.99726027	28.93424658	14.8274950171	0.310490183829663	0.149229070076143	0.8520764237156	0.810153201548633	1.77285407797145	149.366209645157	149.838378787984	-0.472169142826488	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_flavifrons	36.2739726	28.93424658	15.6477288181	0.32265446185326	0.15748418850492	0.856711107769495	0.817218811912507	1.75523437663992	149.366209645157	149.838378787984	-0.472169142826488	BM	Lemuridae	STR	Lemuridae	STR	family
Perodicticus_potto	Galago_moholi	32.35342466	16.63835616	43.154528579	0.690834638246432	0.434322194139443	0.940848443472508	0.952568376183841	1.49651733865198	149.366209645157	149.838378787984	-0.472169142826488	BM	Lorisidae	STR	Galagidae	STR	superfamily
Eulemur_coronatus	Eulemur_macaco	28.82465753	34.47671233	13.292473054	0.248464410645554	0.133780074825382	0.778628638993277	0.728073184693339	1.44611599411745	149.366209645157	149.838378787984	-0.472169142826488	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_coronatus	34.58630137	28.82465753	14.8274950179	0.253281946426844	0.149229070084195	0.762123321823458	0.715143388016656	1.29352865537411	149.366209645157	149.838378787984	-0.472169142826488	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_collaris	35.99726027	32.61369863	7.651134656	0.14874141856613	0.0770036819048309	0.665419209917066	0.598936588681276	1.28533330843247	149.366209645157	149.838378787984	-0.472169142826488	BM	Lemuridae	STR	Lemuridae	STR	family
