Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_macaco	Eulemur_flavifrons	34.34794521	26.92054795	3.030803714	0.321665875625455	0.0305030633496716	0.997489174543861	0.986736872150616	10.5188854338467	154.532353502012	154.095947325965	0.436406176047285	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_flavifrons	35.99726027	26.92054795	14.8274950171	0.393094446682815	0.149229070076143	0.905019587429996	0.864495679842567	2.38397367065532	154.532353502012	154.095947325965	0.436406176047285	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Nycticebus_coucang	19.89315068	24.03835616	5.9520781674	0.179520645482699	0.0599037861025927	0.771224846017313	0.686695869626176	2.31121922631416	154.532353502012	154.095947325965	0.436406176047285	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_fulvus	Eulemur_coronatus	35.99726027	27.42191781	14.8274950171	0.371381110316973	0.149229070076143	0.885310938667416	0.84154563119977	2.20324203059299	154.532353502012	154.095947325965	0.436406176047285	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_flavifrons	34.58630137	26.92054795	14.8274950179	0.331988609179782	0.149229070084195	0.841501923748375	0.792582768335808	1.87208198194705	154.532353502012	154.095947325965	0.436406176047285	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_macaco	27.42191781	34.34794521	13.292473054	0.299952539259613	0.133780074825382	0.821575342826731	0.76589257382909	1.84208007504575	154.532353502012	154.095947325965	0.436406176047285	BM	Lemuridae	STR	Lemuridae	STR	family
Perodicticus_potto	Galago_moholi	32.35342466	14.45205479	43.154528579	0.775272900123385	0.434322194139443	0.946424725444476	0.962486287339386	1.68938509600604	154.532353502012	154.095947325965	0.436406176047285	BM	Lorisidae	STR	Galagidae	STR	superfamily
Eulemur_albifrons	Eulemur_coronatus	34.58630137	27.42191781	14.8274950179	0.31027527281394	0.149229070084195	0.812466979716668	0.761300906848092	1.68927149141705	154.532353502012	154.095947325965	0.436406176047285	BM	Lemuridae	STR	Lemuridae	STR	family
Loris_tardigradus	Perodicticus_potto	18.64109589	32.35342466	39.9170348617	0.593853820694407	0.401738930664873	0.87579314953864	0.895670965929368	1.29460470044753	154.532353502012	154.095947325965	0.436406176047285	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_sanfordi	Eulemur_flavifrons	32.93972603	26.92054795	14.8274950179	0.26067868997339	0.149229070084195	0.731813233930564	0.677779797170502	1.27835759492824	154.532353502012	154.095947325965	0.436406176047285	BM	Lemuridae	STR	Lemuridae	STR	family
