Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_macaco	Eulemur_flavifrons	13.76866873	19.56867864	3.030803714	0.319038934665232	0.0305030633496716	0.992569657865743	0.950193156365758	9.93830058502596	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Varecia_variegata	21.36428164	15.43648215	3.814273482	0.326068207390133	0.0383881757558182	0.985263008496906	0.929582219557099	7.89584818723209	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_macaco	24.46831544	13.76866873	15.6477288181	0.588551388811808	0.15748418850492	0.970245603671799	0.944639292317355	3.53031483793826	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_macaco	21.11743994	13.76866873	14.8274950171	0.404231057242612	0.149229070076143	0.874831513382788	0.818727635865595	2.21776586606635	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rufus	Eulemur_macaco	20.6616414	13.76866873	14.8274950171	0.379159120663185	0.149229070076143	0.849658542180753	0.790133034681298	2.00755889240503	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_albifrons	24.46831544	17.89600436	15.6477288182	0.361520610790077	0.157484188505926	0.818119615126696	0.760778023246008	1.74644158406553	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_macaco	20.08809946	13.76866873	14.8274950179	0.347610517753396	0.149229070084195	0.812713160917998	0.749689597088427	1.74630846959787	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Hapalemur_griseus	24.46831544	10.45331983	47.7997285408	0.770917522234423	0.481073103164717	0.896642479992146	0.959903630948694	1.53824132732987	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_mongoz	16.7656316	24.46831544	22.837425719	0.423698594400625	0.229843800254125	0.804714255935508	0.7899438458278	1.45619806478402	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Galago_moholi	Otolemur_garnettii	6.924545047	12.73030484	15.608317406	0.319355216288063	0.157087538337694	0.762306440597501	0.701854680837716	1.42685381522676	148.481908003871	144.283123307153	4.1987846967171	OU	Galagidae	STR	Galagidae	STR	family
Eulemur_mongoz	Eulemur_coronatus	24.46831544	18.70546875	15.6477288181	0.316994711586046	0.15748418850492	0.758227055790178	0.69791814186076	1.40481633229427	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_macaco	18.70546875	13.76866873	13.292473054	0.271556677225763	0.133780074825382	0.723403279383366	0.646892375108574	1.3131099241532	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_fulvus	24.46831544	18.95595881	15.6477288174	0.303216100320427	0.157484188497875	0.737152626281418	0.676417563828584	1.30235738488194	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_macaco	18.95595881	13.76866873	14.8274950171	0.285335288491382	0.149229070076143	0.720929216542541	0.65464790050818	1.25172761216342	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Microcebus_murinus	24.46831544	8.826429451	71.983496225	0.860407261284417	0.724466957506844	0.861486452640965	0.975549537007791	1.15860343482432	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Lemur_catta	Hapalemur_griseus	17.5831281	10.45331983	25.8477057818	0.392186646251465	0.260140306435535	0.74017822504154	0.742022297275751	1.1186703060354	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Hapalemur_griseus	21.11743994	10.45331983	47.7997285402	0.586597190665227	0.481073103158678	0.78478740496851	0.881701926709291	1.07510453154807	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_flavifrons	24.46831544	19.56867864	15.6477288181	0.269512454146577	0.15748418850492	0.680375106206505	0.619730739039417	1.06058363048534	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Propithecus_coquereli	24.46831544	9.968455467	71.983496226	0.797588271462274	0.724466957516908	0.830308190195062	0.962994521958905	1.06019070742631	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_albifrons	Eulemur_sanfordi	17.89600436	20.08809946	5.21120138	0.120579739731664	0.0524473442762965	0.559630773829414	0.441395227241552	1.01479536007011	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rufus	Hapalemur_griseus	20.6616414	10.45331983	47.7997285402	0.5615252540858	0.481073103158678	0.764530544084752	0.865136986279116	1.00981797329702	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Varecia_rubra	10.45331983	21.36428164	52.6432531428	0.60017511798276	0.52982002038936	0.77306992652995	0.887750014820025	1.0056348370759	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Lemuridae	STR	family
Daubentonia_madagascariensis	Galago_moholi	25.10417543	6.924545047	99.360634015	1	0.999999999941627	0.857194145235961	0.99081239459195	0.990812394649787	148.481908003871	144.283123307153	4.1987846967171	OU	Daubentoniidae	STR	Galagidae	STR	superfamily
Eulemur_mongoz	Galago_moholi	24.46831544	6.924545047	99.360634018	0.965023491864026	0.99999999997182	0.842686986753572	0.988058885476515	0.953500035856694	148.481908003871	144.283123307153	4.1987846967171	OU	Lemuridae	STR	Galagidae	STR	superfamily
