Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Macaca_nigra	Papio_hamadryas	94.86	392.02	22.4016461419	0.770423375074538	0.184507718007719	0.996559912160747	0.990396483042101	4.1611974787892	234.79349897406	233.733205287604	1.06029368645642	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	240.82	94.86	10.9824679321	0.378419019470587	0.0904554104376569	0.959849649406415	0.902645231645	4.01551837983093	234.79349897406	233.733205287604	1.06029368645642	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Papio_hamadryas	235.52	392.02	12.5784127639	0.405745249021285	0.10360016493991	0.960223802197332	0.907627421675764	3.76067206036495	234.79349897406	233.733205287604	1.06029368645642	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	94.86	330.52	22.401646142	0.61097715900547	0.184507718008542	0.979657232293685	0.96000564252888	3.24402794119565	234.79349897406	233.733205287604	1.06029368645642	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Chlorocebus_pygerythrus	392.02	88.67	29.8369393138	0.786471701537424	0.245747368307332	0.990336165029613	0.984597087504671	3.16939861521052	234.79349897406	233.733205287604	1.06029368645642	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Chlorocebus_pygerythrus	330.52	88.67	29.8369393139	0.627025485468357	0.245747368308156	0.960889747941998	0.946588950086595	2.45171439610043	234.79349897406	233.733205287604	1.06029368645642	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Semnopithecus_vetulus	392.02	90.42	38.5936741539	0.781934614088305	0.317870869960345	0.976307812774812	0.975832012160462	2.40163206181399	234.79349897406	233.733205287604	1.06029368645642	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Papio_hamadryas	240.82	392.02	22.401646142	0.392004355603951	0.184507718008542	0.863379583326899	0.81240509110627	1.83433279028469	234.79349897406	233.733205287604	1.06029368645642	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Semnopithecus_vetulus	330.52	90.42	38.593674154	0.622488398019237	0.317870869961168	0.928268305521756	0.927304559942612	1.81783329345926	234.79349897406	233.733205287604	1.06029368645642	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Theropithecus_gelada	94.86	235.52	22.401646142	0.364678126053252	0.184507718008542	0.833866013197437	0.779752390796662	1.64812994466855	234.79349897406	233.733205287604	1.06029368645642	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Colobus_guereza	392.02	171.33	38.5936741539	0.572165616655	0.317870869960345	0.902123523157573	0.900985272266225	1.62381680960834	234.79349897406	233.733205287604	1.06029368645642	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Papio_hamadryas	13.49	392.02	78.0653383526	0.981384978351611	0.642973170083161	0.954089176322105	0.988418549299082	1.45624861069906	234.79349897406	233.733205287604	1.06029368645642	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
