Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Macaca_nigra	Papio_hamadryas	47.01	253.56	22.4016461419	0.820261308129145	0.184507718007719	0.999512749151319	0.998209338600966	4.44350861830247	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	123.38	47.01	10.9824679321	0.303284222231047	0.0904554104376569	0.934483414111444	0.871672494250433	3.13319097293728	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Chlorocebus_pygerythrus	253.56	65.46	29.8369393138	0.746991779516302	0.245747368307332	0.994078267645348	0.990420307769013	3.02167343333754	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Papio_hamadryas	173.87	253.56	12.5784127639	0.316468766133196	0.10360016493991	0.927462464642009	0.866415427506634	2.833131607371	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	47.01	180.97	22.401646142	0.531988403955363	0.184507718008542	0.976300216046122	0.957173719054759	2.8149521294909	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Papio_hamadryas	123.38	253.56	22.401646142	0.516977085898098	0.184507718008542	0.972060502100388	0.9509605790631	2.72364219294737	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Theropithecus_gelada	47.01	173.87	22.401646142	0.503792541995949	0.184507718008542	0.967812591781683	0.944895611274359	2.64258195295011	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Semnopithecus_vetulus	253.56	60.59	38.5936741539	0.766331758071562	0.317870869960345	0.98695202475616	0.98655877795567	2.37937084438731	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Chlorocebus_pygerythrus	180.97	65.46	29.8369393139	0.45871887534252	0.245747368308156	0.908976343996645	0.888364132598797	1.69672053500179	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Chlorocebus_pygerythrus	173.87	65.46	29.8369393139	0.430523013383106	0.245747368308156	0.887293043079005	0.864588228640212	1.55444217893406	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Mandrillus_sphinx	253.56	180.97	18.5708053179	0.288272904173782	0.15295558590056	0.82176384576357	0.759509246933028	1.54876495009008	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Papio_hamadryas	1.86	253.56	78.0653383526	0.999563162702037	0.642973170083161	0.977195325684007	0.995231164015206	1.5191434040584	214.291394142917	213.5268569386	0.764537204316895	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Papio_hamadryas	4.66	253.56	78.0653383522	0.988443667844804	0.642973170079866	0.975637536084065	0.994743046492293	1.49984912206245	214.291394142917	213.5268569386	0.764537204316895	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Papio_hamadryas	7.45	253.56	78.0653383521	0.977363885469203	0.642973170079043	0.973994403237415	0.994212220461162	1.48053915571058	214.291394142917	213.5268569386	0.764537204316895	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Papio_hamadryas	8.61	253.56	78.0653383536	0.972757237599778	0.642973170091397	0.973283537044955	0.99397764011316	1.47248539898268	214.291394142917	213.5268569386	0.764537204316895	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Colobus_guereza	253.56	128.45	38.5936741539	0.496842857710178	0.317870869960345	0.892487285524517	0.890977758080465	1.394987635908	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Sapajus_apella	Papio_hamadryas	29.3	253.56	78.0653383489	0.890592113101148	0.642973170052686	0.957489667558561	0.988082229574033	1.32623379329128	214.291394142917	213.5268569386	0.764537204316895	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Mandrillus_sphinx	Semnopithecus_vetulus	180.97	60.59	38.593674154	0.47805885389778	0.317870869961168	0.878528142186985	0.876929859216358	1.32125399481293	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Semnopithecus_vetulus	173.87	60.59	38.593674154	0.449862991938366	0.317870869961168	0.854962934647467	0.85323862002061	1.20997618883385	214.291394142917	213.5268569386	0.764537204316895	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Mandrillus_sphinx	1.86	180.97	78.0653383527	0.711290258528255	0.642973170083984	0.894788336518958	0.95539011301159	0.989861252107151	214.291394142917	213.5268569386	0.764537204316895	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Mandrillus_sphinx	4.66	180.97	78.0653383523	0.700170763671022	0.64297317008069	0.889236153861476	0.951949187431712	0.968340804725859	214.291394142917	213.5268569386	0.764537204316895	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Mandrillus_sphinx	7.45	180.97	78.0653383522	0.689090981295421	0.642973170079866	0.883476199341828	0.948301426586161	0.946844300019531	214.291394142917	213.5268569386	0.764537204316895	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
