Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Macaca_arctoides	Macaca_nigra	6012.78333333333	2375.33333333333	10.9824679321	0.59630382177033	0.0904554104370609	0.99527451413039	0.970199413498109	6.39578788436099	651.915062838981	643.377083122928	8.5379797160532	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nycticebus_pygmaeus	Loris_tardigradus	7308	1700.33333333333	22.2897034077	0.919290454727191	0.183585718868412	0.997766080729947	0.996275573813452	4.9887683580716	651.915062838981	643.377083122928	8.5379797160532	OU	Lorisidae	STR	Lorisidae	STR	family
Macaca_arctoides	Macaca_mulatta	6012.78333333333	3226.79394095425	10.2479298856	0.456719988477435	0.0844055006273002	0.974912961082574	0.910210678776729	4.92516965877088	651.915062838981	643.377083122928	8.5379797160532	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Varecia_rubra	Varecia_variegata	2720.49351851852	3948.72777777778	3.814273482	0.201350061946019	0.0314156777389774	0.89449391643444	0.711589441600553	4.56073490875668	651.915062838981	643.377083122928	8.5379797160532	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Macaca_nigra	5067.28455882353	2375.33333333333	10.9824679326	0.441303881504661	0.0904554104411791	0.963455279990684	0.89215673218815	4.35255588256013	651.915062838981	643.377083122928	8.5379797160532	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nemestrina	6012.78333333333	3404.24571050642	10.9824679326	0.427629507958426	0.0904554104411791	0.957238047426313	0.880799519551664	4.16399487127225	651.915062838981	643.377083122928	8.5379797160532	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_mulatta	5067.28455882353	3226.79394095425	7.3270128521	0.301720048211766	0.0603478160748515	0.919902763105964	0.786603127182516	3.93276756134241	651.915062838981	643.377083122928	8.5379797160532	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Leontopithecus_rosalia	Leontopithecus_chrysomelas	1561.78571428571	2079.16666666667	1.4560128688	0.0848166268171219	0.0119922263796461	0.730249155671764	0.50577927798322	3.57719166687398	651.915062838981	643.377083122928	8.5379797160532	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Nycticebus_pygmaeus	Galago_moholi	7308	1564	43.154528579	0.941640201858108	0.355435646975288	0.975589497872734	0.995341424563876	2.63691474932234	651.915062838981	643.377083122928	8.5379797160532	OU	Lorisidae	STR	Galagidae	STR	superfamily
Eulemur_macaco	Eulemur_flavifrons	3087.85416666667	3793.81136363636	3.030803714	0.115730793429269	0.024962749320008	0.703400274001963	0.498311536404941	2.31024190259679	651.915062838981	643.377083122928	8.5379797160532	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Macaca_nemestrina	5067.28455882353	3404.24571050642	10.9824679331	0.272629567692757	0.0904554104452973	0.803527602991488	0.679470588035736	2.0479015214701	651.915062838981	643.377083122928	8.5379797160532	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_albifrons	Eulemur_coronatus	4227.39583333333	2432.58333333333	14.8274950179	0.294231825347747	0.122124385510603	0.769755680868242	0.680910542923247	1.64050407381937	651.915062838981	643.377083122928	8.5379797160532	OU	Lemuridae	STR	Lemuridae	STR	family
Propithecus_tattersalli	Propithecus_coquereli	1279.66666666667	2500.96953781513	8.601073458	0.200213767778225	0.0708414205853214	0.716225083753986	0.566788919800912	1.60187280591891	651.915062838981	643.377083122928	8.5379797160532	OU	Indriidae	STR	Indriidae	STR	family
Eulemur_mongoz	Eulemur_albifrons	2529.20366666667	4227.39583333333	15.6477288182	0.278392412014946	0.128880115235398	0.730837249001626	0.648726089449061	1.40130555011441	651.915062838981	643.377083122928	8.5379797160532	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_nemestrina	Macaca_nigra	3404.24571050642	2375.33333333333	7.6582823365	0.168674313811904	0.0630762663067973	0.661431632126914	0.506914568415235	1.35555688367501	651.915062838981	643.377083122928	8.5379797160532	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pan_troglodytes	Gorilla_gorilla	4390.15195099216	2432.19989648033	20.238906202	0.320976038969188	0.166694642644773	0.737383761606718	0.695428520884321	1.33907058126232	651.915062838981	643.377083122928	8.5379797160532	OU	Hominidae	APE	Hominidae	APE	family
Cebuella_pygmaea	Leontopithecus_rosalia	3730.55555555556	1561.78571428571	23.8355055678	0.355536363356044	0.196317480956025	0.747128896066483	0.734056291813012	1.32939615575182	651.915062838981	643.377083122928	8.5379797160532	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
