Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Macaca_mulatta	Papio_anubis	84.3	287	22.4016461426	0.300608037965297	0.18450771801242	0.968809085587144	0.96880908551285	1.5784261033552	451.100152865946	453.100152865946	-1.99999999999983	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Erythrocebus_patas	287	51.8	29.8369393139	0.348806169360819	0.245747368306739	0.969711808975386	0.96971180890255	1.37637877387344	451.100152865946	453.100152865946	-1.99999999999983	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Pygathrix_nemaeus	287	10.7	38.5936741527	0.409758267833309	0.317870869948629	0.974752509816664	0.974752509752361	1.25652564531376	451.100152865946	453.100152865946	-1.99999999999983	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Daubentonia_madagascariensis	Microcebus_murinus	685	43	92.496943882	0.95209847248999	0.76183687261877	0.999215995220747	0.999215995216552	1.24876080028395	451.100152865946	453.100152865946	-1.99999999999983	BM	Daubentoniidae	STR	Cheirogaleidae	STR	superfamily
Daubentonia_madagascariensis	Avahi_laniger	685	89.2	92.49694388	0.883582974936972	0.761836872602297	0.998171143368309	0.998171143359797	1.15768487988901	451.100152865946	453.100152865946	-1.99999999999983	BM	Daubentoniidae	STR	Indriidae	STR	superfamily
Papio_anubis	Nasalis_larvatus	287	30.3	38.5936741529	0.38069108705324	0.317870869950276	0.96237030233637	0.96237030225222	1.15256171979993	451.100152865946	453.100152865946	-1.99999999999983	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Daubentonia_madagascariensis	Cheirogaleus_medius	685	102	92.496943882	0.864600326264274	0.76183687261877	0.997709640424399	0.99770964041416	1.13228974814876	451.100152865946	453.100152865946	-1.99999999999983	BM	Daubentoniidae	STR	Cheirogaleidae	STR	superfamily
Daubentonia_madagascariensis	Lepilemur_ruficaudatus	685	113	92.496943879	0.848287112561175	0.761836872594061	0.997230273991044	0.997230273979091	1.11039202762926	451.100152865946	453.100152865946	-1.99999999999983	BM	Daubentoniidae	STR	Lepilemuridae	STR	superfamily
Daubentonia_madagascariensis	Galago_senegalensis	685	79.2	99.360634015	0.898413169212517	0.81836860227483	0.997768830617721	0.997768830607699	1.09536051941017	451.100152865946	453.100152865946	-1.99999999999983	BM	Daubentoniidae	STR	Galagidae	STR	superfamily
Daubentonia_madagascariensis	Loris_tardigradus	685	85.8	99.3606340137	0.888625240990657	0.818368602264123	0.997507815375895	0.997507815364926	1.08314348861393	451.100152865946	453.100152865946	-1.99999999999983	BM	Daubentoniidae	STR	Lorisidae	STR	superfamily
Daubentonia_madagascariensis	Propithecus_verreauxi	685	147	92.496943883	0.797864452024322	0.761836872627006	0.995112313319511	0.995112313300669	1.0421715843597	451.100152865946	453.100152865946	-1.99999999999983	BM	Daubentoniidae	STR	Indriidae	STR	superfamily
Papio_anubis	Piliocolobus_badius	287	51.3	38.5936741539	0.349547679074596	0.317870869958512	0.943711943011167	0.943711942902712	1.03775573847829	451.100152865946	453.100152865946	-1.99999999999983	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Cercopithecus_ascanius	287	99.5	29.8369393136	0.278066142666469	0.245747368304268	0.91582549708834	0.915825496951777	1.03626771301027	451.100152865946	453.100152865946	-1.99999999999983	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Gorilla_gorilla	Hylobates_lar	316	43.9	45.7765141047	0.40352958623758	0.377031228073906	0.956960425559079	0.956960425467295	1.02421713592355	451.100152865946	453.100152865946	-1.99999999999983	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Daubentonia_madagascariensis	Cheirogaleus_major	685	158	92.496943882	0.781551238321222	0.76183687261877	0.994163028465667	0.994163028444001	1.01988939353862	451.100152865946	453.100152865946	-1.99999999999983	BM	Daubentoniidae	STR	Cheirogaleidae	STR	superfamily
Daubentonia_madagascariensis	Indri_indri	685	168	92.496943878	0.766721044045677	0.761836872585824	0.993159079392767	0.993159079368249	0.999526268229662	451.100152865946	453.100152865946	-1.99999999999983	BM	Daubentoniidae	STR	Indriidae	STR	superfamily
Pygathrix_nemaeus	Daubentonia_madagascariensis	10.7	685	121.4130573088	1	0.999999999926697	0.997921520168098	0.997921520158641	0.997921520241249	451.100152865946	453.100152865946	-1.99999999999983	BM	Cercopithecidae	OWM	Daubentoniidae	STR	order
Cebuella_pygmaea	Daubentonia_madagascariensis	12.3	685	121.4130573027	0.997627168915913	0.999999999876455	0.997869978650926	0.997869978641277	0.995502201870695	451.100152865946	453.100152865946	-1.99999999999983	BM	Callitrichidae	PLA	Daubentoniidae	STR	order
Saguinus_midas	Daubentonia_madagascariensis	17.3	685	121.4130573031	0.99021207177814	0.999999999879749	0.997701264541582	0.997701264531313	0.98793583629619	451.100152865946	453.100152865946	-1.99999999999983	BM	Callitrichidae	PLA	Daubentoniidae	STR	order
Saguinus_oedipus	Daubentonia_madagascariensis	19.1	685	121.4130573022	0.987542636808542	0.999999999872337	0.997637590302245	0.997637590291744	0.985209656632175	451.100152865946	453.100152865946	-1.99999999999983	BM	Callitrichidae	PLA	Daubentoniidae	STR	order
Callithrix_jacchus	Daubentonia_madagascariensis	22.8	685	121.4130573023	0.982055464926591	0.99999999987316	0.997501604643906	0.997501604632914	0.979601902237844	451.100152865946	453.100152865946	-1.99999999999983	BM	Callitrichidae	PLA	Daubentoniidae	STR	order
Saimiri_sciureus	Daubentonia_madagascariensis	26.8	685	121.413057297	0.976123387216373	0.999999999829508	0.997346566725585	0.997346566714041	0.973533309106778	451.100152865946	453.100152865946	-1.99999999999983	BM	Cebidae	PLA	Daubentoniidae	STR	order
Callimico_goeldii	Daubentonia_madagascariensis	27	685	121.4130573053	0.975826783330862	0.99999999989787	0.997338588765598	0.997338588754026	0.973229707066271	451.100152865946	453.100152865946	-1.99999999999983	BM	Callitrichidae	PLA	Daubentoniidae	STR	order
Nasalis_larvatus	Daubentonia_madagascariensis	30.3	685	121.413057309	0.970932819219932	0.999999999928344	0.997203747843488	0.997203747831442	0.968217846299739	451.100152865946	453.100152865946	-1.99999999999983	BM	Cercopithecidae	OWM	Daubentoniidae	STR	order
Cebus_albifrons	Daubentonia_madagascariensis	39.9	685	121.4130572982	0.956695832715409	0.999999999839391	0.996775240239117	0.996775240225599	0.953610718643822	451.100152865946	453.100152865946	-1.99999999999983	BM	Cebidae	PLA	Daubentoniidae	STR	order
