Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	631.9753086	1506.066667	5.9520781674	0.164048818283496	0.0599037861025927	0.891087195508725	0.891087196673413	2.44027649872425	397.630490400324	399.630490400324	-1.99999999999983	BM	Lorisidae	STR	Lorisidae	STR	family
Propithecus_coquereli	Microcebus_murinus	5444.614286	116.375	69.529333389	1	0.699767408634338	0.995752271480104	0.995752271606116	1.42297606203668	397.630490400324	399.630490400324	-1.99999999999983	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	5444.614286	332.02	69.529333389	0.95952790623225	0.699767408634338	0.993920043681665	0.993920043848869	1.36287287276977	397.630490400324	399.630490400324	-1.99999999999983	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_fulvus	1892.5	3076.333333	15.6477288174	0.222180962501165	0.157484188497875	0.819451563074507	0.819451564509125	1.15609407359289	397.630490400324	399.630490400324	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Lemur_catta	Hapalemur_griseus	3028	1299.090909	25.8477057818	0.324480376762118	0.260140306435535	0.871889327333685	0.871889328589281	1.08753226789256	397.630490400324	399.630490400324	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Galago_moholi	Otolemur_garnettii	201.1820988	1335	15.608317406	0.212794103331492	0.157087538337694	0.800897419982416	0.800897421460982	1.0849125917251	397.630490400324	399.630490400324	-1.99999999999983	BM	Galagidae	STR	Galagidae	STR	family
Eulemur_fulvus	Eulemur_coronatus	3076.333333	1993	14.8274950171	0.203319196989983	0.149229070076143	0.791907159571594	0.791907161068402	1.07894479066686	397.630490400324	399.630490400324	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	4301.25	116.375	71.983496227	0.785414238244855	0.724466957526973	0.972686477303566	0.972686477811031	1.05451573834409	397.630490400324	399.630490400324	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Propithecus_coquereli	1299.090909	5444.614286	71.9834962288	0.77802875480694	0.724466957545089	0.971203011405141	0.971203011931281	1.04300667098577	397.630490400324	399.630490400324	-1.99999999999983	BM	Lemuridae	STR	Indriidae	STR	superfamily
Varecia_variegata	Microcebus_murinus	4209.674797	116.375	71.983496227	0.768227472019732	0.724466957526973	0.969127560929475	0.96912756148102	1.02766649115226	397.630490400324	399.630490400324	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_rubra	1299.090909	4301.25	52.6432531428	0.563442993051795	0.52982002038936	0.935887913519377	0.935887914395349	0.995280410066111	397.630490400324	399.630490400324	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	4301.25	332.02	71.983496227	0.744942144477105	0.724466957526973	0.963675960115871	0.96367596073052	0.990911771546217	397.630490400324	399.630490400324	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
