Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_macaco	Eulemur_flavifrons	83	102.5	3.030803714	0.134020618556701	0.0305030633496716	0.875572472944545	0.867486174604789	3.84698294299387	225.100171556625	227.082861582303	-1.98269002567758	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Nycticebus_coucang	32.25	65	5.9520781674	0.225085910652921	0.0599037861025927	0.934432183911779	0.929039703894954	3.51108891012278	225.100171556625	227.082861582303	-1.98269002567758	BM	Lorisidae	STR	Lorisidae	STR	family
Varecia_rubra	Varecia_variegata	155.5	137	3.814273482	0.127147766323024	0.0383881757558182	0.8061792305805	0.796873078401908	2.67019430869384	225.100171556625	227.082861582303	-1.98269002567758	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_flavifrons	69	102.5	13.292473054	0.230240549828179	0.133780074825382	0.792471601315602	0.785418148326798	1.36387348750013	225.100171556625	227.082861582303	-1.98269002567758	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	155.5	10	71.983496227	1	0.724466957526973	0.981346938424345	0.983259586468157	1.35457791170249	225.100171556625	227.082861582303	-1.98269002567758	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Nycticebus_coucang	Loris_tardigradus	65	14.5	22.2897034071	0.347079037800687	0.224331332290351	0.857690512557584	0.85349444297176	1.3269942936191	225.100171556625	227.082861582303	-1.98269002567758	BM	Lorisidae	STR	Lorisidae	STR	family
Galago_moholi	Otolemur_garnettii	19	56.5	15.608317406	0.257731958762887	0.157087538337694	0.80708932317176	0.800754709711887	1.32418340982912	225.100171556625	227.082861582303	-1.98269002567758	BM	Galagidae	STR	Galagidae	STR	family
Varecia_rubra	Cheirogaleus_medius	155.5	21	71.983496227	0.924398625429553	0.724466957526973	0.970336051116878	0.972998373268265	1.2381203898092	225.100171556625	227.082861582303	-1.98269002567758	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_rubra	57	155.5	52.6432531428	0.676975945017182	0.52982002038936	0.93742623116762	0.939062017763036	1.19779356065522	225.100171556625	227.082861582303	-1.98269002567758	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Microcebus_murinus	137	10	71.983496227	0.872852233676976	0.724466957526973	0.959955673525765	0.963218107677308	1.15657373350482	225.100171556625	227.082861582303	-1.98269002567758	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Microcebus_murinus	131.5	10	69.529333389	0.835051546391753	0.699767408634338	0.9543631447254	0.957641511796083	1.13886758655644	225.100171556625	227.082861582303	-1.98269002567758	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Varecia_variegata	Cheirogaleus_medius	137	21	71.983496227	0.797250859106529	0.724466957526973	0.939268779154027	0.943519681420717	1.03363284319921	225.100171556625	227.082861582303	-1.98269002567758	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	131.5	21	69.529333389	0.759450171821306	0.699767408634338	0.930902398793653	0.935136328958743	1.01029853346905	225.100171556625	227.082861582303	-1.98269002567758	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Varecia_rubra	69	155.5	52.6432531401	0.594501718213058	0.529820020362186	0.898022222525827	0.90016360195817	1.00765492764912	225.100171556625	227.082861582303	-1.98269002567758	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_coronatus	99.1	69	14.8274950171	0.206872852233677	0.149229070076143	0.716392107073023	0.709356198231947	0.993118019379673	225.100171556625	227.082861582303	-1.98269002567758	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Loris_tardigradus	155.5	14.5	99.3606340187	0.969072164948454	0.999999999978865	0.947660222215002	0.954796828926497	0.918351143196834	225.100171556625	227.082861582303	-1.98269002567758	BM	Lemuridae	STR	Lorisidae	STR	superfamily
