Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Varecia_rubra	Varecia_variegata	4050	3580.5	3.814273482	0.101859502758837	0.0383881757558182	0.760405963612017	0.760405962504986	2.01766746721835	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Nycticebus_coucang	683.5185185	1355.333333	5.9520781674	0.14575233855376	0.0599037861025927	0.822045821531474	0.82204582050956	2.00012567955824	393.348722123304	395.348722123304	-1.99999999999989	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_coronatus	Eulemur_macaco	1796.5	2873.5	13.292473054	0.233658539874905	0.133780074825382	0.851563961611093	0.85156396065501	1.4873305470927	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Microcebus_murinus	4704.290123	95	69.529333389	1	0.699767408634338	0.993151761438394	0.993151761307103	1.41925981288072	393.348722123304	395.348722123304	-1.99999999999989	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	4704.290123	337	69.529333389	0.947497338301089	0.699767408634338	0.989597693306072	0.989597693125285	1.33993262450776	393.348722123304	395.348722123304	-1.99999999999989	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_macaco	1741.25	2873.5	15.6477288181	0.245645201275173	0.15748418850492	0.838551405489796	0.838551404502342	1.30797974537415	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_collaris	2030	2747.666667	9.5384061272	0.155700042273082	0.0959978387940162	0.744355353605804	0.744355352486032	1.20727884584255	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	4050	95	71.983496227	0.858049698426414	0.724466957526973	0.977415216246502	0.977415215928178	1.15763848554332	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_macaco	Eulemur_flavifrons	2873.5	2596.666667	3.030803714	0.0600598629317394	0.0305030633496716	0.563365822343308	0.563365821262916	1.10925495195321	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_collaris	1741.25	2747.666667	15.6477288174	0.218345263618373	0.157484188497875	0.786722005566277	0.786722004488017	1.09075727117877	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Varecia_rubra	1237.5	4050	52.6432531428	0.610180727389201	0.52982002038936	0.942075309963134	0.942075309372746	1.08496503674261	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	4050	337	71.983496227	0.805547036727503	0.724466957526973	0.967714124978167	0.967714124571341	1.07601766743998	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_collaris	Eulemur_coronatus	2747.666667	1796.5	14.8274950171	0.206358602218106	0.149229070076143	0.773096320247813	0.773096319153373	1.06906165095646	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_collaris	2098.833333	2747.666667	9.5384061272	0.140766434024704	0.0959978387940162	0.695917169071839	0.695917167932681	1.02045816340728	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Microcebus_murinus	3580.5	95	71.983496227	0.756190195667577	0.724466957526973	0.95553499259418	0.955534992092795	0.997376326842495	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Propithecus_coquereli	1237.5	4704.290123	71.9834962288	0.752131028962787	0.724466957545089	0.954380043120594	0.954380042611001	0.990823441121766	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Indriidae	STR	superfamily
Lemur_catta	Hapalemur_griseus	2653	1237.5	25.8477057818	0.307097180309125	0.260140306435535	0.826802293782638	0.826802292770077	0.976045029595155	393.348722123304	395.348722123304	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Galago_moholi	4704.290123	158	99.360634018	0.986331951706482	0.99999999997182	0.974328674836756	0.974328674488718	0.961011503482409	393.348722123304	395.348722123304	-1.99999999999989	BM	Indriidae	STR	Galagidae	STR	superfamily
Propithecus_coquereli	Loris_tardigradus	4704.290123	181.3333333	99.3606340167	0.981269711605003	0.999999999958736	0.973560651122032	0.973560650766844	0.955325579395916	393.348722123304	395.348722123304	-1.99999999999989	BM	Indriidae	STR	Lorisidae	STR	superfamily
