Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Varecia_rubra	Varecia_variegata	155.5	129.5	3.814273482	0.177474402730375	0.0383881757558182	0.93632125955822	0.929591600738084	4.32875626497209	224.392854844116	226.368735719746	-1.97588087562963	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Nycticebus_coucang	30.5	62.5	5.9520781674	0.218430034129693	0.0599037861025927	0.932311848567462	0.925760894251514	3.39953318732376	224.392854844116	226.368735719746	-1.97588087562963	BM	Lorisidae	STR	Lorisidae	STR	family
Varecia_rubra	Microcebus_murinus	155.5	9	71.983496227	1	0.724466957526973	0.983839129396044	0.985878475400604	1.35801794571068	224.392854844116	226.368735719746	-1.97588087562963	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Galago_moholi	Otolemur_garnettii	19	56.5	15.608317406	0.255972696245734	0.157087538337694	0.813895724313211	0.806454288798029	1.32623558316552	224.392854844116	226.368735719746	-1.97588087562963	BM	Galagidae	STR	Galagidae	STR	family
Hapalemur_griseus	Varecia_rubra	50	155.5	52.6432531428	0.720136518771331	0.52982002038936	0.957179216626988	0.958732246307287	1.30100728997645	224.392854844116	226.368735719746	-1.97588087562963	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	155.5	21	71.983496227	0.918088737201365	0.724466957526973	0.97277273406542	0.975749302208721	1.2327569694147	224.392854844116	226.368735719746	-1.97588087562963	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Nycticebus_coucang	Loris_tardigradus	62.5	14.5	22.2897034071	0.327645051194539	0.224331332290351	0.843288535432051	0.838126623385728	1.23165726580623	224.392854844116	226.368735719746	-1.97588087562963	BM	Lorisidae	STR	Lorisidae	STR	family
Lemur_catta	Hapalemur_griseus	101	50	25.8477057818	0.348122866894198	0.260140306435535	0.837687036992303	0.833456509913189	1.12100280373173	224.392854844116	226.368735719746	-1.97588087562963	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Microcebus_murinus	129.5	9	71.983496227	0.822525597269625	0.724466957526973	0.952115232619484	0.956471926514381	1.08098670649267	224.392854844116	226.368735719746	-1.97588087562963	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Microcebus_murinus	124	9	69.529333389	0.784982935153584	0.699767408634338	0.945283734308559	0.949660263515025	1.0603974851567	224.392854844116	226.368735719746	-1.97588087562963	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Varecia_rubra	69	155.5	52.6432531401	0.590443686006826	0.529820020362186	0.903222301050074	0.905729177946314	1.00657182480761	224.392854844116	226.368735719746	-1.97588087562963	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_coronatus	99.1	69	14.8274950171	0.205460750853242	0.149229070076143	0.723786372568428	0.715455892806275	0.99651958890701	224.392854844116	226.368735719746	-1.97588087562963	BM	Lemuridae	STR	Lemuridae	STR	family
