Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	619.2727273	1500.5	5.9520781674	0.193378817796796	0.0599037861025927	0.913426671317172	0.913426664701533	2.94868457130346	394.816784938816	396.816784938816	-1.99999999999983	BM	Lorisidae	STR	Lorisidae	STR	family
Varecia_rubra	Varecia_variegata	4190.5	3726.25	3.814273482	0.101876234364714	0.0383881757558182	0.740606116956508	0.74060610694709	1.96545318597397	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_macaco	Eulemur_flavifrons	2796	2463.333333	3.030803714	0.0730012435813035	0.0305030633496716	0.635393057312606	0.635393047235978	1.5206500021004	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Microcebus_murinus	4645	88	69.529333389	1	0.699767408634338	0.99048376591335	0.990483764405964	1.41544712384701	394.816784938816	396.816784938816	-1.99999999999983	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Eulemur_macaco	1783.333333	2796	13.292473054	0.22222222229537	0.133780074825382	0.812439339897574	0.812439330626689	1.34954383773426	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Cheirogaleus_medius	4645	334	69.529333389	0.946017116524029	0.699767408634338	0.98583121210861	0.985831210078625	1.33274740885469	394.816784938816	396.816784938816	-1.99999999999983	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_macaco	1700.5	2796	15.6477288181	0.240399385560676	0.15748418850492	0.811140594558217	0.81114058526737	1.2382049422633	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	4190.5	88	71.983496227	0.900263331138907	0.724466957526973	0.978219931069935	0.978219928302359	1.21559102810939	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_rubra	1156.333333	4190.5	52.6432531428	0.665825470046083	0.52982002038936	0.952755403490177	0.952755398843892	1.1973288851969	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	4190.5	334	71.983496227	0.846280447662936	0.724466957526973	0.968964293991466	0.968964290458009	1.13188811162305	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_variegata	Microcebus_murinus	3726.25	88	71.983496227	0.798387096774194	0.724466957526973	0.958105420066429	0.958105415761401	1.05586458675995	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_collaris	1700.5	2669	15.6477288174	0.212530173359666	0.157484188497875	0.754616191438272	0.754616181520179	1.01837975936582	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Lemur_catta	Hapalemur_griseus	2611	1156.333333	25.8477057818	0.319215858459513	0.260140306435535	0.825385865902667	0.825385856846413	1.01282366179483	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_coucang	Loris_tardigradus	1500.5	219.8333333	22.2897034071	0.28103284325214	0.224331332290351	0.801906835211885	0.801906825786959	1.00459510324325	394.816784938816	396.816784938816	-1.99999999999983	BM	Lorisidae	STR	Lorisidae	STR	family
Hapalemur_griseus	Propithecus_coquereli	1156.333333	4645	71.9834962288	0.765562138907176	0.724466957545089	0.948933020043968	0.948933015167155	1.00276097472574	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Indriidae	STR	superfamily
Varecia_variegata	Cheirogaleus_medius	3726.25	334	71.983496227	0.744404213298222	0.724466957526973	0.942171903673013	0.942171898412645	0.968100377054513	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_variegata	1156.333333	3726.25	52.6432531428	0.563949235681369	0.52982002038936	0.907143565051888	0.907143558188089	0.965578688001119	394.816784938816	396.816784938816	-1.99999999999983	BM	Lemuridae	STR	Lemuridae	STR	family
