Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	499.5283788	1159.882188	5.9520781674	0.167342002381233	0.0599037861025927	0.872196913476736	0.87219691342383	2.43649337492561	386.636756525532	388.636756525532	-1.99999999999994	BM	Lorisidae	STR	Lorisidae	STR	family
Propithecus_coquereli	Microcebus_murinus	4028.746725	82.61365737	69.529333389	1	0.699767408634338	0.992244452943747	0.992244452935229	1.41796322706741	386.636756525532	388.636756525532	-1.99999999999994	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	4028.746725	237.6045745	69.529333389	0.960723342453557	0.699767408634338	0.989471043327534	0.989471043316782	1.35846270671828	386.636756525532	388.636756525532	-1.99999999999994	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Lemur_catta	Hapalemur_griseus	2448.906065	1015.549929	25.8477057818	0.363230563043546	0.260140306435535	0.88729951840011	0.887299518350171	1.2389249019994	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_macaco	1644.83527	2466.656879	13.292473054	0.20825998386658	0.133780074825382	0.795267062855556	0.795267062792697	1.23801923340304	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_fulvus	1549.38599	2481.0035	15.6477288174	0.236083653043033	0.157484188497875	0.814831941834076	0.814831941773065	1.2215099387386	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	3633.48662	82.61365737	71.983496227	0.899836093150962	0.724466957526973	0.981459638710843	0.981459638694535	1.21903807717833	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_rubra	1015.549929	3633.48662	52.6432531428	0.663418249241225	0.52982002038936	0.957642838445528	0.957642838416881	1.199119910216	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_macaco	1549.38599	2466.656879	15.6477288181	0.232448037934743	0.15748418850492	0.807972476442868	0.807972476381164	1.19257443326479	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Microcebus_murinus	3509.232783	82.61365737	71.983496227	0.868348600238153	0.724466957526973	0.976928648962615	0.976928648943573	1.17095005651469	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Eulemur_flavifrons	1644.83527	2433.891839	13.292473054	0.199956908567682	0.133780074825382	0.776632037460984	0.776632037396717	1.16080770255224	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	3633.48662	237.6045745	71.983496227	0.860559435604519	0.724466957526973	0.975669433301863	0.975669433282101	1.15895076805842	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Galago_moholi	Otolemur_garnettii	169.2415247	1059.211256	15.608317406	0.225529579476271	0.157087538337694	0.794977726516635	0.794977726453752	1.14134446469505	386.636756525532	388.636756525532	-1.99999999999994	BM	Galagidae	STR	Galagidae	STR	family
Hapalemur_griseus	Varecia_variegata	1015.549929	3509.232783	52.6432531428	0.631930756328416	0.52982002038936	0.946843244101289	0.946843244068261	1.12932570371664	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_flavifrons	1549.38599	2433.891839	15.6477288181	0.224144962635845	0.15748418850492	0.791609668885363	0.791609668822202	1.12668656668946	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Cheirogaleus_medius	3509.232783	237.6045745	71.983496227	0.82907194269171	0.724466957526973	0.969953273965456	0.969953273942614	1.11000375767557	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_fulvus	Eulemur_coronatus	2481.0035	1644.83527	14.8274950171	0.21189559897487	0.149229070076143	0.778181184514506	0.778181184450344	1.10496680117044	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Propithecus_coquereli	1015.549929	4028.746725	71.9834962288	0.763582156090263	0.724466957545089	0.954294557665517	0.95429455763545	1.00581853775172	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Indriidae	STR	superfamily
Propithecus_coquereli	Galago_moholi	4028.746725	169.2415247	99.360634018	0.978047403408515	0.99999999997182	0.970621406669564	0.970621406647067	0.94931374651264	386.636756525532	388.636756525532	-1.99999999999994	BM	Indriidae	STR	Galagidae	STR	superfamily
Propithecus_coquereli	Loris_tardigradus	4028.746725	184.9104366	99.3606340167	0.974076703071892	0.999999999958736	0.969957149403058	0.969957149380217	0.944812662250527	386.636756525532	388.636756525532	-1.99999999999994	BM	Indriidae	STR	Lorisidae	STR	superfamily
Eulemur_mongoz	Eulemur_collaris	1549.38599	2333.605719	15.6477288174	0.198731192172137	0.157484188497875	0.735308207036642	0.735308206970314	0.927894273019798	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Varecia_rubra	1549.38599	3633.48662	52.64325314	0.528137443487603	0.52982002036118	0.893916078124766	0.893916078076262	0.891077222547081	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Nycticebus_pygmaeus	4028.746725	499.5283788	99.360634017	0.894348539624794	0.999999999961755	0.953623388428725	0.95362338839838	0.852871684825896	386.636756525532	388.636756525532	-1.99999999999994	BM	Indriidae	STR	Lorisidae	STR	superfamily
Eulemur_mongoz	Eulemur_rufus	1549.38599	2286.435242	15.6477288174	0.186777597047092	0.157484188497875	0.705490936832364	0.705490936765332	0.836718296464593	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Varecia_rubra	1644.83527	3633.48662	52.6432531401	0.50394938941944	0.529820020362186	0.876934917031438	0.876934916979418	0.834114980586191	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Galago_moholi	3633.48662	169.2415247	99.36063402	0.877883496559477	0.999999999991949	0.949449663363865	0.949449663331843	0.8335061902878	386.636756525532	388.636756525532	-1.99999999999994	BM	Lemuridae	STR	Galagidae	STR	superfamily
Nycticebus_coucang	Loris_tardigradus	1159.882188	184.9104366	22.2897034071	0.24707016582833	0.224331332290351	0.75470009313195	0.754700093066419	0.831198545727121	386.636756525532	388.636756525532	-1.99999999999994	BM	Lorisidae	STR	Lorisidae	STR	family
