Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	24.28333333	51.175	5.9520781674	0.258736525949442	0.0599037861025927	0.938920481468904	0.928518822095125	4.05538680146174	215.252640336648	217.186000836298	-1.93336049965069	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_macaco	Eulemur_flavifrons	65.66666667	78.51086957	3.030803714	0.123579712545044	0.0305030633496716	0.790017760454686	0.770813049263576	3.20066763863311	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_collaris	93.6	62.48571429	9.5384061272	0.29936419675262	0.0959978387940162	0.913069799885657	0.901877203857278	2.84736000993059	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_coronatus	93.6	55.81428571	14.8274950179	0.363552938755535	0.149229070084195	0.904557189222017	0.894904242170508	2.20368876002894	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Lemuridae	STR	family
Galago_moholi	Otolemur_garnettii	12.68947368	48.58947368	15.608317406	0.345409654060128	0.157087538337694	0.877415789145897	0.866918076477586	1.92929297513255	215.252640336648	217.186000836298	-1.93336049965069	BM	Galagidae	STR	Galagidae	STR	family
Eulemur_mongoz	Eulemur_sanfordi	60.20882353	93.6	15.6477288182	0.321271161926556	0.157484188505926	0.848514972740784	0.83710183557978	1.73098895699141	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_fulvus	93.6	73	9.5384061272	0.198201639934224	0.0959978387940162	0.7429337314307	0.726521876549218	1.53389582288383	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_rufus	93.6	73.13076923	9.5384061272	0.196943451786703	0.0959978387940162	0.739901317554738	0.723465046982087	1.51793750037883	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_coucang	Loris_tardigradus	51.175	11.53333333	22.2897034071	0.381409871054362	0.224331332290351	0.846336244597909	0.837979235786914	1.43894744717569	215.252640336648	217.186000836298	-1.93336049965069	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_sanfordi	Eulemur_macaco	93.6	65.66666667	14.8274950179	0.268758858001714	0.149229070084195	0.782277489029356	0.769108490374084	1.40886761857699	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	110.8970588	6.9625	71.983496227	1	0.724466957526973	0.962613050078643	0.968730591034602	1.3287190534743	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Microcebus_murinus	105.6354762	6.9625	69.529333389	0.949376004855855	0.699767408634338	0.955644115350923	0.96200582612259	1.29652450385834	215.252640336648	217.186000836298	-1.93336049965069	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Varecia_variegata	Microcebus_murinus	106.6269231	6.9625	71.983496227	0.958915150559142	0.724466957526973	0.954065491535271	0.961090800408518	1.26281515665228	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_rubra	Cheirogaleus_medius	110.8970588	13.2125	71.983496227	0.93986600730151	0.724466957526973	0.949575305719928	0.957042309252876	1.23190373549351	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	105.6354762	13.2125	69.529333389	0.889242012157365	0.699767408634338	0.940347375883143	0.948043159219563	1.19496332972858	215.252640336648	217.186000836298	-1.93336049965069	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Varecia_variegata	Cheirogaleus_medius	106.6269231	13.2125	71.983496227	0.898781157860652	0.724466957526973	0.938630646995939	0.947088151596444	1.16447483345587	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Eulemur_flavifrons	55.81428571	78.51086957	13.292473054	0.218373793298866	0.133780074825382	0.709841944191222	0.695282732090998	1.15869929208822	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Microcebus_murinus	93.6	6.9625	71.9834962252	0.833577406786471	0.724466957508857	0.917277338038045	0.927380562466973	1.05542655440763	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_rubra	46.25454545	110.8970588	52.6432531428	0.621953988128153	0.52982002038936	0.86993585238031	0.874971649060767	1.02121485029195	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rufus	Eulemur_collaris	73.13076923	62.48571429	5.630114132	0.102420744965918	0.0566634280012887	0.554118047084428	0.53664520515664	1.0015840054745	215.252640336648	217.186000836298	-1.93336049965069	BM	Lemuridae	STR	Lemuridae	STR	family
