Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	506.5263566	1128.455998	5.9520781674	0.16122146839312	0.0599037861025927	0.871329837531001	0.871329827490892	2.34504502972319	383.868263479101	385.868263479101	-1.99999999999977	BM	Lorisidae	STR	Lorisidae	STR	family
Propithecus_coquereli	Microcebus_murinus	3925.493762	67.88318694	69.529333389	1	0.699767408634338	0.994172599844098	0.994172598553197	1.42071863818911	383.868263479101	385.868263479101	-1.99999999999977	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	3925.493762	237.2103628	69.529333389	0.956105684447589	0.699767408634338	0.991618612610906	0.99161861090029	1.35486760403948	383.868263479101	385.868263479101	-1.99999999999977	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Eulemur_macaco	1550.73188	2366.933929	13.292473054	0.211582282119627	0.133780074825382	0.817891448595501	0.817891437113668	1.2935509226306	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	3448.020015	67.88318694	71.983496227	0.876225518955455	0.724466957526973	0.982427618747397	0.982427615778534	1.18822279074206	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_macaco	1494.072066	2366.933929	15.6477288181	0.226270082481414	0.15748418850492	0.811540809020276	0.811540797412532	1.16600534655144	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Varecia_variegata	3448.020015	3166.745693	3.814273482	0.0729141307882342	0.0383881757558182	0.609317667610856	0.60931765516465	1.15733210117509	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Hapalemur_griseus	Varecia_rubra	1009.712988	3448.020015	52.6432531428	0.632077027879382	0.52982002038936	0.954818655336172	0.954818649688573	1.13910179797501	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	3448.020015	237.2103628	71.983496227	0.832331203403044	0.724466957526973	0.975901614577476	0.975901610863288	1.12120139755857	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_variegata	Microcebus_murinus	3166.745693	67.88318694	71.983496227	0.803311388167221	0.724466957526973	0.970513124543868	0.970513120276657	1.07613499444219	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_variegata	Cheirogaleus_medius	3166.745693	237.2103628	71.983496227	0.75941707261481	0.724466957526973	0.960406512385973	0.960406507196461	1.00673894727518	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Propithecus_coquereli	1009.712988	3925.493762	71.9834962288	0.755851508923927	0.724466957545089	0.959469645599091	0.959469640330455	1.00103472192884	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Indriidae	STR	superfamily
Hapalemur_griseus	Varecia_variegata	1009.712988	3166.745693	52.6432531428	0.559162897091148	0.52982002038936	0.923590120053396	0.92359011232609	0.974741058056456	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_flavifrons	1550.73188	2227.929624	13.292473054	0.175548498435321	0.133780074825382	0.731728897842977	0.731728885271249	0.960187153772589	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Galago_moholi	3925.493762	143.3763889	99.360634018	0.98043006143542	0.99999999997182	0.976267486505928	0.97626748283115	0.957161991799383	383.868263479101	385.868263479101	-1.99999999999977	BM	Indriidae	STR	Galagidae	STR	superfamily
Propithecus_coquereli	Loris_tardigradus	3925.493762	173.7096065	99.3606340167	0.972566847404405	0.999999999958736	0.975122203979337	0.975122200182033	0.948371527797353	383.868263479101	385.868263479101	-1.99999999999977	BM	Indriidae	STR	Lorisidae	STR	superfamily
Eulemur_mongoz	Eulemur_collaris	1494.072066	2245.340666	15.6477288174	0.194749725349951	0.157484188497875	0.742342421725219	0.74234240922408	0.918003160352537	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_flavifrons	1494.072066	2227.929624	15.6477288181	0.190236298797109	0.15748418850492	0.731148605155412	0.731148592580269	0.883206154445715	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_fulvus	1494.072066	2222.886364	15.6477288174	0.188928945475183	0.157484188497875	0.727844763171117	0.727844750577385	0.873173014301745	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Lemur_catta	Hapalemur_griseus	2099.14084	1009.712988	25.8477057818	0.282410012831079	0.260140306435535	0.798452044480855	0.798452032639416	0.866804745548793	383.868263479101	385.868263479101	-1.99999999999977	BM	Lemuridae	STR	Lemuridae	STR	family
Galago_moholi	Otolemur_garnettii	143.3763889	867.1568817	15.608317406	0.1876240431005	0.157087538337694	0.725124808970643	0.72512479636269	0.866083012384332	383.868263479101	385.868263479101	-1.99999999999977	BM	Galagidae	STR	Galagidae	STR	family
