Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	24.29285714	50.64285714	5.9520781674	0.251621374289585	0.0599037861025927	0.939664398043743	0.938788959817123	3.94699004169502	214.183850397993	216.183362624318	-1.99951222632455	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_sanfordi	Eulemur_fulvus	93.6	60.5	9.5384061272	0.316078462580085	0.0959978387940162	0.937660514518628	0.936857748919259	3.08730173068827	214.183850397993	216.183362624318	-1.99951222632455	BM	Lemuridae	STR	Lemuridae	STR	family
Galago_moholi	Otolemur_garnettii	12.92	48.94166667	15.608317406	0.343978036876915	0.157087538337694	0.887185207282699	0.886291100117307	1.94268895659506	214.183850397993	216.183362624318	-1.99951222632455	BM	Galagidae	STR	Galagidae	STR	family
Eulemur_sanfordi	Eulemur_coronatus	93.6	59.5	14.8274950179	0.325627660845345	0.149229070084195	0.87646219271523	0.875501984091255	1.91249823826028	214.183850397993	216.183362624318	-1.99951222632455	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_sanfordi	59.06666667	93.6	15.6477288182	0.32976564672846	0.157484188505926	0.871044979885815	0.870096128698972	1.82393365230323	214.183850397993	216.183362624318	-1.99951222632455	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_collaris	93.6	71.4	9.5384061272	0.211992201488758	0.0959978387940162	0.788733442448367	0.78733745769307	1.74176149122701	214.183850397993	216.183362624318	-1.99951222632455	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_coucang	Loris_tardigradus	50.64285714	12.25	22.2897034071	0.366621004799639	0.224331332290351	0.842709979228181	0.841942541423917	1.37722705154463	214.183850397993	216.183362624318	-1.99951222632455	BM	Lorisidae	STR	Lorisidae	STR	family
Varecia_rubra	Microcebus_murinus	111.4375	6.716666667	71.983496227	1	0.724466957526973	0.968171637231139	0.968656600447685	1.33639171141231	214.183850397993	216.183362624318	-1.99951222632455	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Microcebus_murinus	106.0370968	6.716666667	69.529333389	0.948430479130859	0.699767408634338	0.961686098579194	0.962190251890094	1.30342224572731	214.183850397993	216.183362624318	-1.99951222632455	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Eulemur_fulvus	Eulemur_rufus	60.5	75.7	7.651134656	0.145147813631943	0.0770036819048309	0.660759940898802	0.659198448525984	1.24549707734191	214.183850397993	216.183362624318	-1.99951222632455	BM	Lemuridae	STR	Lemuridae	STR	family
