Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Nycticebus_pygmaeus	Nycticebus_coucang	501.8921492	1151.70034	5.9520781674	0.174095478928418	0.0599037861025927	0.890488773759244	0.890488769998795	2.58798449370941	383.479186041349	385.479186041349	-1.99999999999994	BM	Lorisidae	STR	Lorisidae	STR	family
Propithecus_coquereli	Microcebus_murinus	3799.684029	67.20231954	69.529333389	1	0.699767408634338	0.992846491827066	0.992846491216086	1.41882356848356	383.479186041349	385.479186041349	-1.99999999999994	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	3799.684029	235.3128049	69.529333389	0.954960131503412	0.699767408634338	0.989785217724436	0.989785216922154	1.35074227524102	383.479186041349	385.479186041349	-1.99999999999994	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Varecia_rubra	Varecia_variegata	3471.040268	3175.683474	3.814273482	0.079131477925643	0.0383881757558182	0.636487677249195	0.636487672164121	1.31202406966564	383.479186041349	385.479186041349	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	3471.040268	67.20231954	71.983496227	0.911950335840347	0.724466957526973	0.984074489277302	0.984074488161847	1.23874118986985	383.479186041349	385.479186041349	-1.99999999999994	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_rubra	1005.789242	3471.040268	52.6432531428	0.660485761993637	0.52982002038936	0.958806512261872	0.958806510113688	1.19527013983041	383.479186041349	385.479186041349	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	3471.040268	235.3128049	71.983496227	0.866910467343759	0.724466957526973	0.978069031694663	0.978069030291785	1.17037536709093	383.479186041349	385.479186041349	-1.99999999999994	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Varecia_variegata	Microcebus_murinus	3175.683474	67.20231954	71.983496227	0.832818857914704	0.724466957526973	0.972295446328912	0.972295444678783	1.11771278835331	383.479186041349	385.479186041349	-1.99999999999994	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_coronatus	Eulemur_macaco	1557.981786	2284.029412	13.292473054	0.194521415646814	0.133780074825382	0.768525935859711	0.768525930914161	1.11746650762345	383.479186041349	385.479186041349	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_macaco	1482.000859	2284.029412	15.6477288181	0.214878093298422	0.15748418850492	0.77687503850031	0.776875033595268	1.06000118862009	383.479186041349	385.479186041349	-1.99999999999994	BM	Lemuridae	STR	Lemuridae	STR	family
