Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_fulvus	Eulemur_rufus	2261	1620	7.651134656	0.217570854758435	0.0770036819048309	0.862464714112466	0.862464709292946	2.43685990600232	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Nycticebus_coucang	357.2022436	846.8583333	5.9520781674	0.166201082642281	0.0599037861025927	0.801615481216729	0.80161547571836	2.22405576523763	380.388406980097	382.388406980097	-1.99999999999989	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_albifrons	Eulemur_rufus	2335.153005	1620	9.5384061272	0.242740172513126	0.0959978387940162	0.862162010875478	0.862162006051495	2.18006319603959	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_coronatus	2335.153005	1308.3	14.8274950179	0.348538667720933	0.149229070084195	0.912529438167021	0.912529434287992	2.13129917954605	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_flavifrons	1308.3	2205	13.292473054	0.304361599784538	0.133780074825382	0.884998311082985	0.884998306633442	2.01345007557677	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_coronatus	2261	1308.3	14.8274950171	0.323369349966242	0.149229070076143	0.88714456986091	0.887144565450782	1.92238256752272	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_albifrons	1377.653846	2335.153005	15.6477288182	0.324998300240426	0.157484188505926	0.8791340207199	0.879134016166554	1.81425872100644	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Eulemur_macaco	1308.3	2120	13.292473054	0.275510550401594	0.133780074825382	0.846334337829501	0.846334332788907	1.7429653821283	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_sanfordi	2335.153005	1963.4	5.21120138	0.126181933006033	0.0524473442762965	0.703320901209811	0.703320895291651	1.69210456816795	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_fulvus	1377.653846	2261	15.6477288174	0.299828982485735	0.157484188497875	0.847575834808547	0.847575829783798	1.6136718394023	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_flavifrons	1377.653846	2205	15.6477288181	0.280821232304031	0.15748418850492	0.819852522131357	0.819852516794757	1.46193721260661	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Propithecus_coquereli	Microcebus_murinus	3003.166667	57	69.529333389	1	0.699767408634338	0.97643794815771	0.976437946452267	1.39537500047812	380.388406980097	382.388406980097	-1.99999999999989	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Cheirogaleus_medius	3003.166667	191.8604651	69.529333389	0.954225106606978	0.699767408634338	0.969270101893337	0.969270099846558	1.32172755532465	380.388406980097	382.388406980097	-1.99999999999989	BM	Indriidae	STR	Cheirogaleidae	STR	superfamily
Varecia_variegata	Microcebus_murinus	2935.333333	57	71.983496227	0.976975730952427	0.724466957526973	0.970297064914351	0.97029706291409	1.30848850232124	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_variegata	794.0835422	2935.333333	52.6432531428	0.72679180535987	0.52982002038936	0.941401934964695	0.941401931872768	1.29138799130212	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_variegata	Cheirogaleus_medius	2935.333333	191.8604651	71.983496227	0.931200837559405	0.724466957526973	0.961750228741128	0.961750226374296	1.23619525945508	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_mongoz	Eulemur_macaco	1377.653846	2120	15.6477288181	0.251970182921087	0.15748418850492	0.770869260924916	0.77086925522039	1.23336869896261	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Lemur_catta	Hapalemur_griseus	1888.763889	794.0835422	25.8477057818	0.371560902871351	0.260140306435535	0.832352699870909	0.832352694664396	1.18885737050549	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Microcebus_murinus	2710.5	57	71.983496227	0.900661876913429	0.724466957526973	0.954952515342663	0.954952512713365	1.18720297164098	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Varecia_rubra	794.0835422	2710.5	52.6432531428	0.650477951320871	0.52982002038936	0.909472057628781	0.909472053678864	1.11658959281152	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rufus	Eulemur_collaris	1620	1930.966667	5.630114132	0.105549584306664	0.0566634280012887	0.599001308909872	0.599001303139778	1.11578740264614	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Cheirogaleus_medius	2710.5	191.8604651	71.983496227	0.854886983520406	0.724466957526973	0.942874528865896	0.942874525820838	1.11261273332867	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_sanfordi	Eulemur_coronatus	1963.4	1308.3	14.8274950179	0.2223567347149	0.149229070084195	0.724384124436113	0.72438411855358	1.0793586564471	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Varecia_rubra	Varecia_variegata	2710.5	2935.333333	3.814273482	0.0763138540389983	0.0383881757558182	0.539319513883287	0.53931950838962	1.07214135218798	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_coronatus	2225.404598	1308.3	22.8374257191	0.311287412308504	0.229843800255132	0.781229669236487	0.781229663592766	1.05805317300406	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_coronatus	1930.966667	1308.3	14.8274950171	0.211348079514471	0.149229070076143	0.699912196948037	0.699912191026479	0.99126194767711	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Microcebus_murinus	2335.153005	57	71.9834962252	0.773260057048904	0.724466957508857	0.914696187537205	0.914696183709693	0.976301291351562	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Hapalemur_griseus	Propithecus_coquereli	794.0835422	3003.166667	71.9834962288	0.749816074407443	0.724466957545089	0.904791224089542	0.904791220035014	0.936449891523041	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Indriidae	STR	superfamily
Eulemur_fulvus	Microcebus_murinus	2261	57	71.9834962244	0.748090739294214	0.724466957500805	0.904027312528787	0.904027308457621	0.933506288409392	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Eulemur_rubriventer	Eulemur_mongoz	2225.404598	1377.653846	22.837425719	0.287747044827997	0.229843800254125	0.74437953939964	0.744379533575816	0.931906853505951	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Hapalemur_griseus	2335.153005	794.0835422	47.799728541	0.523076131456347	0.48107310316673	0.846823648982287	0.846823643947918	0.920760764672982	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Microcebus_murinus	2225.404598	57	71.983496226	0.736008801636476	0.724466957516908	0.898539535574296	0.898539531387054	0.912854616679461	380.388406980097	382.388406980097	-1.99999999999989	BM	Lemuridae	STR	Cheirogaleidae	STR	superfamily
Propithecus_coquereli	Galago_moholi	3003.166667	140.828125	99.360634018	0.971546713246417	0.99999999997182	0.934254632892069	0.934254629583021	0.907672017947105	380.388406980097	382.388406980097	-1.99999999999989	BM	Indriidae	STR	Galagidae	STR	superfamily
