Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_paniscus	Gorilla_gorilla	39100	169000	20.238906202	0.769230769230769	0.166694642643812	0.999999996124834	0.999999996124834	4.6146100081545	1234.60169250115	1236.60169250115	-1.99999999999955	BM	Hominidae	APE	Hominidae	APE	family
Pan_paniscus	Gorilla_beringei	39100	164660	20.238906202	0.743530526440457	0.166694642643812	0.999999987493039	0.999999987493039	4.46043439278312	1234.60169250115	1236.60169250115	-1.99999999999955	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Gorilla_gorilla	44670	169000	20.238906202	0.736246817078226	0.166694642643812	0.999999982686316	0.999999982686316	4.41673945037497	1234.60169250115	1236.60169250115	-1.99999999999955	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Gorilla_beringei	44670	164660	20.238906202	0.710546574287914	0.166694642643812	0.99999994675944	0.999999946759439	4.26256372243642	1234.60169250115	1236.60169250115	-1.99999999999955	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_gorilla	Hylobates_lar	169000	5500	45.7765141047	0.968200390833185	0.377031228071422	0.999999173274402	0.999999173274395	2.56795596308996	1234.60169250115	1236.60169250115	-1.99999999999955	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Gorilla_beringei	Hylobates_lar	164660	5500	45.7765141047	0.942500148042873	0.377031228071422	0.999998398339026	0.999998398339012	2.49978932328287	1234.60169250115	1236.60169250115	-1.99999999999955	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Nasalis_larvatus	Gorilla_gorilla	2155	169000	62.151576031	0.988008527269497	0.511901910747204	0.999984157309123	0.999984157309014	1.930043341924	1234.60169250115	1236.60169250115	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_fascicularis	Gorilla_gorilla	4420	169000	62.1515760326	0.97459584295612	0.511901910760383	0.999979376659367	0.999979376659228	1.90383298645326	1234.60169250115	1236.60169250115	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Allenopithecus_nigroviridis	Gorilla_gorilla	5000	169000	62.151576028	0.971161248297507	0.511901910722495	0.999977947538865	0.999977947538717	1.89712093559323	1234.60169250115	1236.60169250115	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
Chlorocebus_pygerythrus	Gorilla_gorilla	5290	169000	62.1515760319	0.9694439509682	0.511901910754617	0.999977198102996	0.999977198102844	1.89376485111769	1234.60169250115	1236.60169250115	-1.99999999999955	BM	Cercopithecidae	OWM	Hominidae	APE	order
