Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Saguinus_oedipus	Saguinus_geoffroyi	0.508	0.599	1.0824088122	0.100552486187845	0.00891509394544575	0.990560864100006	0.989866173778066	11.1724406063627	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Galago_senegalensis	Galago_moholi	0.565	0.715	2.243524776	0.165745856353591	0.0184784472572083	0.997040680246801	0.99676991251717	8.94314111281232	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Galagidae	STR	Galagidae	STR	family
Alouatta_palliata	Ateles_geoffroyi	0.161	0.93	34.580677997	0.849723756906077	0.284818443425145	0.999895891951561	0.999897375409382	2.98307681063966	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Atelidae	PLA	Atelidae	PLA	family
Alouatta_seniculus	Ateles_geoffroyi	0.179	0.93	34.5806779974	0.829834254143647	0.284818443428439	0.999849337134636	0.999851390342744	2.91311622572506	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Atelidae	PLA	Atelidae	PLA	family
Alouatta_caraya	Ateles_geoffroyi	0.199	0.93	34.5806779972	0.807734806629834	0.284818443426792	0.99977490073961	0.999777816655181	2.8353254670105	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Atelidae	PLA	Atelidae	PLA	family
Galago_moholi	Otolemur_crassicaudatus	0.715	0.383	15.608317406	0.366850828729282	0.128555509190658	0.987363977594225	0.986916843763708	2.81757892538614	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Galagidae	STR	Galagidae	STR	family
Alouatta_palliata	Ateles_paniscus	0.161	0.83	34.580677997	0.739226519337016	0.284818443425145	0.999264936500285	0.999273004069032	2.59352284922788	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Atelidae	PLA	Atelidae	PLA	family
Alouatta_seniculus	Ateles_paniscus	0.179	0.83	34.5806779974	0.719337016574585	0.284818443428439	0.998981324093895	0.998991951197536	2.52302567431165	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Atelidae	PLA	Atelidae	PLA	family
Alouatta_caraya	Ateles_paniscus	0.199	0.83	34.5806779972	0.697237569060773	0.284818443426792	0.99854938500384	0.998563666934679	2.44445597486794	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Atelidae	PLA	Atelidae	PLA	family
Sapajus_apella	Ateles_geoffroyi	0.135	0.93	46.547550146	0.878453038674033	0.383381748009329	0.999455908082909	0.999487164527037	2.29008053731025	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Cebidae	PLA	Atelidae	PLA	superfamily
Cebus_albifrons	Ateles_geoffroyi	0.178	0.93	46.5475501452	0.830939226519337	0.383381748002739	0.998928376934799	0.998984010919475	2.1650711782776	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Cebidae	PLA	Atelidae	PLA	superfamily
Callithrix_jacchus	Leontopithecus_rosalia	0.755	0.376	23.8355055674	0.41878453038674	0.196317480951275	0.978764736527886	0.9784495426049	2.08790133491813	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Saimiri_sciureus	Ateles_geoffroyi	0.23	0.93	46.547550144	0.773480662983425	0.383381747992856	0.99767186274025	0.99777799489008	2.01282376605633	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Cebidae	PLA	Atelidae	PLA	superfamily
Callimico_goeldii	Callithrix_jacchus	0.431	0.755	20.891989517	0.358011049723757	0.172073663067063	0.964588772918066	0.963972878344621	2.00689305375895	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Callithrix_jacchus	Sapajus_apella	0.755	0.135	41.3912937973	0.685082872928177	0.340913034490607	0.995762203014475	0.995875630090918	2.00103710265511	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Sapajus_apella	Ateles_paniscus	0.135	0.83	46.547550146	0.767955801104972	0.383381748009329	0.997497829429718	0.99761042508289	1.99809784549663	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Cebidae	PLA	Atelidae	PLA	superfamily
Aotus_trivirgatus	Ateles_geoffroyi	0.235	0.93	46.5475501531	0.767955801104972	0.383381748067807	0.997497829427812	0.997610425081106	1.99809784518803	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Aotidae	PLA	Atelidae	PLA	superfamily
Otolemur_crassicaudatus	Otolemur_garnettii	0.383	0.497	6.431086036	0.125966850828729	0.0529686524499494	0.8178162192037	0.814387287980479	1.94488114997999	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Galagidae	STR	Galagidae	STR	family
Ateles_geoffroyi	Plecturocebus_cupreus	0.93	0.227	49.09360320735	0.776795580110497	0.404351923026558	0.997094175357756	0.99724266989079	1.91550553926995	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Atelidae	PLA	Pitheciidae	PLA	superfamily
Cebus_albifrons	Ateles_paniscus	0.178	0.83	46.5475501452	0.720441988950276	0.383381748002739	0.995432319181348	0.995615484024478	1.87059306717771	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Cebidae	PLA	Atelidae	PLA	superfamily
Callithrix_jacchus	Cebus_albifrons	0.755	0.178	41.3912937965	0.637569060773481	0.340913034484018	0.992221787846581	0.992404608633719	1.85563428020229	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Mico_argentatus	Sapajus_apella	0.704	0.135	41.3912937973	0.628729281767956	0.340913034490607	0.991326107406784	0.991524921892226	1.82825438880326	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Nycticebus_coucang	Loris_tardigradus	0.364	0.674	22.2897034071	0.342541436464088	0.183585718862109	0.948656751387989	0.947978203348755	1.77004098328514	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Lorisidae	STR	Lorisidae	STR	family
Mico_argentatus	Leontopithecus_rosalia	0.704	0.376	23.8355055674	0.362430939226519	0.196317480951275	0.953822645870859	0.95329248254413	1.76089686829416	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Cebuella_pygmaea	Sapajus_apella	0.675	0.135	41.3912937977	0.596685082872928	0.340913034493901	0.987257189305956	0.987523120261751	1.72795281556903	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Saimiri_sciureus	Ateles_paniscus	0.23	0.83	46.547550144	0.662983425414365	0.383381747992856	0.990941865750667	0.99125479850225	1.71363930594349	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Cebidae	PLA	Atelidae	PLA	superfamily
Aotus_trivirgatus	Ateles_paniscus	0.235	0.83	46.5475501531	0.657458563535911	0.383381748067807	0.990349400880862	0.99067785714503	1.6983429643777	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Aotidae	PLA	Atelidae	PLA	superfamily
Aotus_trivirgatus	Callithrix_jacchus	0.235	0.755	40.5102348758	0.574585635359116	0.333656327996615	0.98467331079184	0.984950707882501	1.69569431906064	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Aotidae	PLA	Callitrichidae	PLA	superfamily
Callithrix_jacchus	Alouatta_palliata	0.755	0.161	46.5475501523	0.656353591160221	0.383381748061217	0.990226844114549	0.990558474585897	1.69527878800859	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Atelidae	PLA	superfamily
Galago_moholi	Otolemur_garnettii	0.715	0.497	15.608317406	0.240883977900552	0.128555509190658	0.898482007568549	0.896775259490683	1.68355227572709	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Galagidae	STR	Galagidae	STR	family
Mico_argentatus	Cebus_albifrons	0.704	0.178	41.3912937965	0.58121546961326	0.340913034484018	0.984746303967339	0.985050057409369	1.67887328325996	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Callithrix_jacchus	Saimiri_sciureus	0.755	0.23	41.3912937953	0.580110497237569	0.340913034474134	0.984551319644696	0.98485791479385	1.67534971631694	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Cercopithecus_cephus	Cercopithecus_ascanius	0.169	0.08	5.374956004	0.0983425414364641	0.0442699996417284	0.745397377792098	0.741522247187746	1.6558453378223	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callithrix_jacchus	Alouatta_seniculus	0.755	0.179	46.5475501527	0.63646408839779	0.383381748064512	0.987770712528017	0.98816354934498	1.63982920227436	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Atelidae	PLA	superfamily
Ateles_paniscus	Plecturocebus_cupreus	0.83	0.227	49.09360320735	0.666298342541436	0.404351923026558	0.989350143081179	0.989763707109401	1.63026888952084	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Atelidae	PLA	Pitheciidae	PLA	superfamily
Callimico_goeldii	Mico_argentatus	0.431	0.704	20.891989517	0.301657458563536	0.172073663067063	0.923688123635536	0.922704337858926	1.61929145294374	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Callithrix_jacchus	Alouatta_caraya	0.755	0.199	46.5475501525	0.614364640883978	0.383381748062865	0.984413772039154	0.984883999011784	1.57751123154905	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Atelidae	PLA	superfamily
Cebuella_pygmaea	Cebus_albifrons	0.675	0.178	41.3912937969	0.549171270718232	0.340913034487312	0.978124903760767	0.978518792735316	1.57564552240504	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Cebidae	PLA	superfamily
Leontopithecus_rosalia	Ateles_geoffroyi	0.376	0.93	46.5475501507	0.612154696132597	0.383381748048039	0.984037137991817	0.984515663638806	1.57123535029396	-99.5517751824207	-97.565067551108	-1.98670763131278	BM	Callitrichidae	PLA	Atelidae	PLA	superfamily
