Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	73.6785714285714	68.6527777777778	1.4560128688	0.107574008624606	0.0119922263796461	0.964129182449713	0.934043174992839	8.64853928742634	261.435178125344	260.756462112373	0.678716012970881	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Pan_paniscus	Pan_troglodytes	72.4216991341991	81.0049881261656	4.786270704	0.183719998910717	0.0394213835788014	0.951913250773459	0.921299918203133	4.43631058878513	261.435178125344	260.756462112373	0.678716012970881	BM	Hominidae	APE	Hominidae	APE	family
Eulemur_fulvus	Eulemur_collaris	48.0416666666667	58.221320861678	7.651134656	0.217889209995069	0.0630173955340987	0.9362756660909	0.905201276463372	3.23727065349387	261.435178125344	260.756462112373	0.678716012970881	BM	Lemuridae	STR	Lemuridae	STR	family
Lemur_catta	Hapalemur_griseus	68.2427083333333	37.9708333333333	25.8477057818	0.647950785209571	0.212890658985247	0.997298426017458	0.996551585579039	3.03536238417611	261.435178125344	260.756462112373	0.678716012970881	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_fulvus	59.0266666666667	48.0416666666667	9.5384061272	0.235127139482676	0.0785616171597847	0.926859138722416	0.896520086322229	2.7739976068458	261.435178125344	260.756462112373	0.678716012970881	BM	Lemuridae	STR	Lemuridae	STR	family
Macaca_nemestrina	Macaca_nigra	67.3353164480078	74.1666666666667	7.6582823365	0.146220831653857	0.0630762663067973	0.786378547087139	0.737551809169461	1.82295072112476	261.435178125344	260.756462112373	0.678716012970881	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_nemestrina	76.1666666666667	67.3353164480078	10.9824679331	0.189029596238778	0.0904554104452973	0.820592857958812	0.780448177008919	1.71483757414583	261.435178125344	260.756462112373	0.678716012970881	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_albifrons	Eulemur_fulvus	55.2854166666667	48.0416666666667	9.5384061272	0.155047994231009	0.0785616171597847	0.762656035460792	0.717033333616546	1.50516617225263	261.435178125344	260.756462112373	0.678716012970881	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_fulvus	Eulemur_coronatus	48.0416666666667	58.3982142857143	14.8274950171	0.221675504468164	0.122124385504014	0.82458813096256	0.792390279818523	1.49676077513264	261.435178125344	260.756462112373	0.678716012970881	BM	Lemuridae	STR	Lemuridae	STR	family
Cebuella_pygmaea	Callithrix_jacchus	63.6388888888889	69.656640625	8.0860732424	0.128806258700838	0.0665997004031833	0.71365639193763	0.66421411801301	1.38023758796116	261.435178125344	260.756462112373	0.678716012970881	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Pan_paniscus	Gorilla_gorilla	72.4216991341991	84.6902380952381	20.238906202	0.262600498092022	0.166694642644773	0.830535234746196	0.809121674235225	1.30837417967952	261.435178125344	260.756462112373	0.678716012970881	BM	Hominidae	APE	Hominidae	APE	family
Eulemur_fulvus	Eulemur_macaco	48.0416666666667	57.4058333333333	14.8274950171	0.200434203183645	0.122124385504014	0.779491791547355	0.74546960151594	1.27932530003887	261.435178125344	260.756462112373	0.678716012970881	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Galago_moholi	74.5333333333333	52.425	43.154528579	0.473215218515809	0.355435646975288	0.910025994429265	0.923983851040818	1.21157839252643	261.435178125344	260.756462112373	0.678716012970881	BM	Lorisidae	STR	Galagidae	STR	superfamily
Loris_tardigradus	Galago_moholi	73.9	52.425	43.1545285787	0.459659109730585	0.355435646972817	0.900434384535635	0.915194018518813	1.16446639804282	261.435178125344	260.756462112373	0.678716012970881	BM	Lorisidae	STR	Galagidae	STR	superfamily
Eulemur_albifrons	Eulemur_sanfordi	55.2854166666667	59.0266666666667	5.21120138	0.0800791452516671	0.0429212598308897	0.591014295845499	0.538199449339388	1.10266846381714	261.435178125344	260.756462112373	0.678716012970881	BM	Lemuridae	STR	Lemuridae	STR	family
Cebuella_pygmaea	Saguinus_oedipus	63.6388888888889	76.8406976744186	26.3249190823	0.282576562197438	0.216821153044472	0.805136382188129	0.794626123006525	1.04931030844642	261.435178125344	260.756462112373	0.678716012970881	BM	Callitrichidae	PLA	Callitrichidae	PLA	family
Propithecus_tattersalli	Propithecus_coquereli	55.1	49.8003851540616	8.601073458	0.113434982165264	0.0708414205853214	0.637387998727323	0.589933807730024	1.02061894962858	261.435178125344	260.756462112373	0.678716012970881	BM	Indriidae	STR	Indriidae	STR	family
Eulemur_sanfordi	Hapalemur_griseus	59.0266666666667	37.9708333333333	47.799728541	0.450687106152997	0.393695123053229	0.875055721512138	0.898007487136969	1.00173029270065	261.435178125344	260.756462112373	0.678716012970881	BM	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_nemestrina	73.5806451612903	67.3353164480078	10.9824679326	0.133677403321178	0.0904554104411791	0.657605025477227	0.614723899840413	0.971826138292926	261.435178125344	260.756462112373	0.678716012970881	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Gorilla_gorilla	Hapalemur_griseus	84.6902380952381	37.9708333333333	121.4130573138	1	0.999999999967055	0.967331512866647	0.996642648112483	0.967331512898516	261.435178125344	260.756462112373	0.678716012970881	BM	Hominidae	APE	Lemuridae	STR	order
Eulemur_fulvus	Eulemur_flavifrons	48.0416666666667	55.9155072463768	14.8274950171	0.168534693878002	0.122124385504014	0.697078395907333	0.661974655088458	0.961985549227998	261.435178125344	260.756462112373	0.678716012970881	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_coronatus	Hapalemur_griseus	58.3982142857143	37.9708333333333	47.7997285409	0.437235471138485	0.393695123052405	0.863394500286788	0.887365439214022	0.958880816669451	261.435178125344	260.756462112373	0.678716012970881	BM	Lemuridae	STR	Lemuridae	STR	family
