Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	33.8392857142857	36.7222222222222	1.4560128688	0.373329907502569	0.0119922263796461	0.999991280516484	0.942191172586064	29.3313461717418	164.734270885699	139.327157591923	25.407113293776	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_fascicularis	Macaca_nigra	33.0705882352941	29	10.9824679326	0.527126534066864	0.0904554104411791	0.977751115376932	0.949720569801316	5.53447173419126	164.734270885699	139.327157591923	25.407113293776	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_nemestrina	33.0705882352941	29.5223148823021	10.9824679331	0.459488635639253	0.0904554104452973	0.953711551586257	0.91206516895739	4.63304050067581	164.734270885699	139.327157591923	25.407113293776	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nigra	32.470869935734	29	10.9824679327	0.449465171533901	0.0904554104420027	0.94873833566126	0.90491622990036	4.49645108577289	164.734270885699	139.327157591923	25.407113293776	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	32.1838709677419	29	10.9824679321	0.412299837549312	0.0904554104370609	0.926240231583265	0.874267545146973	3.98495087355269	164.734270885699	139.327157591923	25.407113293776	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nemestrina	32.470869935734	29.5223148823021	10.9824679332	0.38182727310629	0.0904554104461209	0.902266917918649	0.84380460317171	3.56183902184047	164.734270885699	139.327157591923	25.407113293776	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nemestrina	32.1838709677419	29.5223148823021	10.9824679326	0.344661939121702	0.0904554104411791	0.86502350440699	0.799442200636261	3.04611186598053	164.734270885699	139.327157591923	25.407113293776	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callithrix_jacchus	Leontopithecus_chrysomelas	32.04375	36.7222222222222	23.8355055674	0.605845323741006	0.196317480952731	0.92549854859023	0.975313500291633	3.00986504342643	164.734270885699	139.327157591923	25.407113293776	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_fulvus	Eulemur_collaris	33.875	31.8194444444444	7.651134656	0.266187050359719	0.0630173955340987	0.833365006012451	0.680824802393079	2.87582094475311	164.734270885699	139.327157591923	25.407113293776	OU	Lemuridae	STR	Lemuridae	STR	family
Leontopithecus_chrysomelas	Saguinus_oedipus	36.7222222222222	32.2199079457364	26.3249190833	0.583033503429817	0.216821153052709	0.897572578408596	0.969358048962462	2.60661015499298	164.734270885699	139.327157591923	25.407113293776	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_fulvus	Eulemur_coronatus	33.875	31.0571428571429	14.8274950171	0.364902363823223	0.122124385504014	0.826796620484724	0.824017433531072	2.46212832994889	164.734270885699	139.327157591923	25.407113293776	OU	Lemuridae	STR	Lemuridae	STR	family
