Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	422.892857142857	265.527777777778	1.4560128688	0.300220683703094	0.0119922263796461	0.999636545782849	0.970234564707329	24.289441772313	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Cebuella_pygmaea	Callithrix_jacchus	393.111111111111	176.549397590361	8.0860732424	0.413155866342358	0.0665997004031833	0.962658059838566	0.878643848595031	5.45072813053245	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_arctoides	Macaca_nigra	268.45	502	10.9824679321	0.445566074517656	0.0904554104370609	0.945974614637122	0.878494545264237	4.32729633448422	477.064480696557	462.127712219437	14.9367684771205	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nigra	270.704268706677	502	10.9824679327	0.44126538661981	0.0904554104420027	0.94361353417986	0.874856945784816	4.26778328164552	477.064480696557	462.127712219437	14.9367684771205	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callithrix_jacchus	Saguinus_oedipus	176.549397590361	606.164682539683	26.3249190819	0.819618908446387	0.216821153041178	0.977926618648718	0.988898879484995	3.73819716756795	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Propithecus_tattersalli	Propithecus_coquereli	453	299.446078431373	8.601073458	0.292949766902698	0.0708414205853214	0.847677463786487	0.71993932226707	2.97715735934755	477.064480696557	462.127712219437	14.9367684771205	OU	Indriidae	STR	Indriidae	STR	family
Leontopithecus_chrysomelas	Saguinus_oedipus	265.527777777778	606.164682539683	26.3249190833	0.649866189212617	0.216821153052709	0.930476499522873	0.955942072187424	2.86519291505397	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Nycticebus_pygmaeus	Loris_tardigradus	421.5	124	22.2897034077	0.567569715988023	0.183585718868412	0.9150530917318	0.924558221020339	2.85834459321441	477.064480696557	462.127712219437	14.9367684771205	OU	Lorisidae	STR	Lorisidae	STR	family
Macaca_nemestrina	Macaca_nigra	377.583333333333	502	7.6582823365	0.237361788787149	0.0630762663067973	0.780960111734201	0.633835340192287	2.38518065436507	477.064480696557	462.127712219437	14.9367684771205	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saguinus_oedipus	Saimiri_sciureus	606.164682539683	227.572807017544	41.3912937952	0.722276582404952	0.340913034475838	0.892326810441066	0.972858228527201	2.06114945867511	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Callithrix_jacchus	Leontopithecus_rosalia	176.549397590361	422.892857142857	23.8355055674	0.469973402936864	0.196317480952731	0.832236097931442	0.857045550983487	2.05172057074526	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_fascicularis	Macaca_mulatta	377.727941176471	270.704268706677	7.3270128521	0.20417948029471	0.0603478160748515	0.720258342508369	0.56893478209245	1.92492149152733	477.064480696557	462.127712219437	14.9367684771205	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nycticebus_pygmaeus	Galago_moholi	421.5	82	43.154528579	0.647697205303979	0.355435646975288	0.842299808187174	0.952356102904056	1.73544322735877	477.064480696557	462.127712219437	14.9367684771205	OU	Lorisidae	STR	Galagidae	STR	superfamily
Macaca_fascicularis	Macaca_nigra	377.727941176471	502	10.9824679326	0.2370859063251	0.0904554104411791	0.694713370355473	0.590031924963226	1.54648851857917	477.064480696557	462.127712219437	14.9367684771205	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_macaco	Eulemur_flavifrons	227.801041666667	177.053623188406	3.030803714	0.0968157912364099	0.024962749320008	0.574491222909606	0.390514842960874	1.51457690121159	477.064480696557	462.127712219437	14.9367684771205	OU	Lemuridae	STR	Lemuridae	STR	family
Cebuella_pygmaea	Saguinus_oedipus	393.111111111111	606.164682539683	26.3249190823	0.406463042104029	0.216821153044472	0.743710665451662	0.792107343746762	1.48492135611055	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_sanfordi	Eulemur_coronatus	274.591666666667	132.035714285714	14.8274950179	0.27196787026978	0.122124385510603	0.688506558254559	0.628328148752194	1.39927065124803	477.064480696557	462.127712219437	14.9367684771205	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_fascicularis	268.45	377.727941176471	10.2479298855	0.208480168192556	0.0844055006264766	0.649293037956062	0.538222767783057	1.3294011920981	477.064480696557	462.127712219437	14.9367684771205	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nemestrina	268.45	377.583333333333	10.9824679326	0.208204285730508	0.0904554104411791	0.632027565900124	0.530674465151989	1.22147141263857	477.064480696557	462.127712219437	14.9367684771205	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Propithecus_tattersalli	Cheirogaleus_medius	453	87	69.529333389	0.698253835467618	0.57266767615452	0.769844452634248	0.966993257666726	1.17905511198249	477.064480696557	462.127712219437	14.9367684771205	OU	Indriidae	STR	Cheirogaleidae	STR	superfamily
Macaca_mulatta	Macaca_nemestrina	270.704268706677	377.583333333333	10.9824679332	0.203903597832661	0.0904554104461209	0.622050970363318	0.521446266379843	1.17543847589515	477.064480696557	462.127712219437	14.9367684771205	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Leontopithecus_rosalia	Saguinus_oedipus	422.892857142857	606.164682539683	26.3249190833	0.349645505509523	0.216821153052709	0.671193304578533	0.721341725186943	1.16323471486561	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_collaris	Eulemur_coronatus	250.769274376417	132.035714285714	14.8274950171	0.226519573038411	0.122124385504014	0.60075105233561	0.543159747923278	1.00746721208425	477.064480696557	462.127712219437	14.9367684771205	OU	Lemuridae	STR	Lemuridae	STR	family
Saguinus_oedipus	Galago_moholi	606.164682539683	82	121.4130573072	1	0.999999999912695	0.806563976537365	0.997735855510572	0.997735855597679	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Galagidae	STR	order
Saguinus_oedipus	Cheirogaleus_medius	606.164682539683	87	121.4130573042	0.990461013176672	0.999999999887986	0.802280538390264	0.997506064397953	0.987990867304141	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Cheirogaleidae	STR	order
Eulemur_coronatus	Propithecus_tattersalli	132.035714285714	453	71.9834962261	0.612334818437499	0.592881011452355	0.698962667861138	0.938466058330924	0.969259315676366	477.064480696557	462.127712219437	14.9367684771205	OU	Lemuridae	STR	Indriidae	STR	superfamily
Daubentonia_madagascariensis	Cheirogaleus_medius	477.35	87	92.496943882	0.744708701297226	0.761836872618142	0.732821006733703	0.977018948928958	0.955052897478171	477.064480696557	462.127712219437	14.9367684771205	OU	Daubentoniidae	STR	Cheirogaleidae	STR	superfamily
Saguinus_oedipus	Macaca_arctoides	606.164682539683	268.45	78.0653383523	0.644291181358095	0.642973170076453	0.703947693013104	0.950837214769376	0.952786307257825	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Macaca_mulatta	606.164682539683	270.704268706677	78.0653383529	0.639990493460248	0.642973170081395	0.700712021662099	0.949304241572103	0.944900531278352	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Loris_tardigradus	606.164682539683	124	121.4130573059	0.919872510684044	0.999999999901987	0.768411557994489	0.995023568068091	0.915294827838301	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Lorisidae	STR	order
Callithrix_jacchus	Macaca_nigra	176.549397590361	502	78.0653383523	0.620893801605949	0.642973170076453	0.686060297273611	0.942005478025319	0.909657493663729	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Cercopithecidae	OWM	order
Daubentonia_madagascariensis	Galago_moholi	477.35	82	99.360634015	0.754247688120554	0.818368602274156	0.721761775301629	0.978713913630097	0.902029604551744	477.064480696557	462.127712219437	14.9367684771205	OU	Daubentoniidae	STR	Galagidae	STR	superfamily
Saguinus_oedipus	Eulemur_coronatus	606.164682539683	132.035714285714	121.4130573053	0.904541996146553	0.999999999897046	0.760540982830825	0.994250721172811	0.899341532092395	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Lemuridae	STR	order
Saguinus_oedipus	Pan_troglodytes	606.164682539683	291.212074992326	78.0653383502	0.600865754673414	0.642973170059157	0.670195371893116	0.933433367366255	0.872304119110083	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Hominidae	APE	order
Eulemur_rubriventer	Propithecus_tattersalli	157.508333333333	453	71.983496227	0.56373822294732	0.592881011459768	0.658970734823108	0.914796237438013	0.869829856723612	477.064480696557	462.127712219437	14.9367684771205	OU	Lemuridae	STR	Indriidae	STR	superfamily
Saguinus_oedipus	Pan_paniscus	606.164682539683	294.942424242424	78.0653383502	0.593749004204794	0.642973170059157	0.664435039897851	0.93014653376392	0.858937205942911	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Eulemur_rubriventer	606.164682539683	157.508333333333	121.4130573062	0.855945400656374	0.999999999904458	0.734352157951652	0.99103466299752	0.848271561764812	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Lemuridae	STR	order
Propithecus_tattersalli	Galago_moholi	453	82	99.360634018	0.707792822290946	0.818368602298865	0.691085933455946	0.969307375544968	0.838337151593033	477.064480696557	462.127712219437	14.9367684771205	OU	Indriidae	STR	Galagidae	STR	superfamily
Daubentonia_madagascariensis	Eulemur_coronatus	477.35	132.035714285714	92.4969438831	0.658789684267107	0.761836872627202	0.673686783228557	0.955718993826686	0.826447021420631	477.064480696557	462.127712219437	14.9367684771205	OU	Daubentoniidae	STR	Lemuridae	STR	superfamily
Leontopithecus_rosalia	Saimiri_sciureus	422.892857142857	227.572807017544	41.3912937967	0.37263107689543	0.340913034488192	0.593443198114623	0.745669241071531	0.815045199798326	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Cebidae	PLA	superfamily
Saguinus_oedipus	Eulemur_flavifrons	606.164682539683	177.053623188406	121.4130573053	0.81865694817924	0.999999999897046	0.712964814904595	0.987563971533972	0.808476107151008	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Lemuridae	STR	order
Cheirogaleus_medius	Microcebus_murinus	87	304	49.55786972	0.41399202813244	0.408175782859019	0.600603227371433	0.794058696507571	0.805373527848204	477.064480696557	462.127712219437	14.9367684771205	OU	Cheirogaleidae	STR	Cheirogaleidae	STR	family
Eulemur_flavifrons	Propithecus_tattersalli	177.053623188406	453	71.9834962261	0.526449770470186	0.592881011452355	0.626080044615962	0.892034827080909	0.792083944158997	477.064480696557	462.127712219437	14.9367684771205	OU	Lemuridae	STR	Indriidae	STR	superfamily
Daubentonia_madagascariensis	Loris_tardigradus	477.35	124	99.3606340137	0.674120198804598	0.818368602263449	0.667502938798118	0.960431536342535	0.791142642113497	477.064480696557	462.127712219437	14.9367684771205	OU	Daubentoniidae	STR	Lorisidae	STR	superfamily
Macaca_nigra	Galago_moholi	502	82	121.413057315	0.801274893159562	0.999999999976938	0.702608304512509	0.985573042216019	0.789714934120797	477.064480696557	462.127712219437	14.9367684771205	OU	Cercopithecidae	OWM	Galagidae	STR	order
Saguinus_oedipus	Eulemur_mongoz	606.164682539683	188.149333333333	121.4130573052	0.797488581605655	0.999999999896222	0.700319633851032	0.985103793822057	0.78560902735103	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Lemuridae	STR	order
Macaca_nigra	Cheirogaleus_medius	502	87	121.413057312	0.791735906336233	0.999999999952229	0.696819949357708	0.984365105768095	0.779357199218295	477.064480696557	462.127712219437	14.9367684771205	OU	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Eulemur_coronatus	Eulemur_macaco	132.035714285714	227.801041666667	13.292473054	0.182700839203723	0.109481412853371	0.527293734486129	0.458976346250424	0.765932421304419	477.064480696557	462.127712219437	14.9367684771205	OU	Lemuridae	STR	Lemuridae	STR	family
Daubentonia_madagascariensis	Eulemur_rubriventer	477.35	157.508333333333	92.496943884	0.610193088776928	0.761836872634615	0.636734456282751	0.937544143807065	0.75092579202153	477.064480696557	462.127712219437	14.9367684771205	OU	Daubentoniidae	STR	Lemuridae	STR	superfamily
Eulemur_mongoz	Propithecus_tattersalli	188.149333333333	453	71.983496226	0.505281403896601	0.592881011451531	0.60656362726084	0.877114248706078	0.747518490900683	477.064480696557	462.127712219437	14.9367684771205	OU	Lemuridae	STR	Indriidae	STR	superfamily
Saguinus_oedipus	Eulemur_fulvus	606.164682539683	208.583333333333	121.4130573046	0.758504650256077	0.99999999989128	0.676073532687338	0.979434464805863	0.742905596257088	477.064480696557	462.127712219437	14.9367684771205	OU	Callitrichidae	PLA	Lemuridae	STR	order
Cheirogaleus_medius	Nycticebus_pygmaeus	87	421.5	99.360634016	0.638158218480651	0.818368602282393	0.641066152823311	0.948636056692894	0.739739885226864	477.064480696557	462.127712219437	14.9367684771205	OU	Cheirogaleidae	STR	Lorisidae	STR	superfamily
