Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_paniscus	Pan_troglodytes	1447	1845.5	4.786270704	0.188291438291438	0.0394213835785092	0.998888240993716	0.998888241055685	4.77106804773959	982.786555490799	984.786555490798	-1.99999999999932	BM	Hominidae	APE	Hominidae	APE	family
Papio_hamadryas	Papio_anubis	727.5	947.5	3.47880109	0.103950103950104	0.0286526109038537	0.965264344172533	0.965264345051542	3.50192620326158	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Papio_anubis	464	947.5	12.5784127639	0.228453978453978	0.10360016493846	0.985326860818675	0.985326861299251	2.17279423797549	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Gorilla_gorilla	Hylobates_lar	2123.5	406	45.7765141047	0.811519561519562	0.377031228070801	0.999994481754667	0.999994481755244	2.1523816144034	982.786555490799	984.786555490798	-1.99999999999932	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pongo_abelii	Hylobates_lar	1969	406	45.7765141087	0.738518238518239	0.377031228103746	0.999964548989113	0.999964548992208	1.95870262793435	982.786555490799	984.786555490798	-1.99999999999932	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pongo_pygmaeus	Hylobates_lar	1968.1	406	45.7765141087	0.738092988092988	0.377031228103746	0.999964179569718	0.999964179572841	1.95757405294151	982.786555490799	984.786555490798	-1.99999999999932	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Gorilla_gorilla	1447	2123.5	20.238906202	0.31964656964657	0.166694642643537	0.992893193761224	0.992893194039278	1.9039298346851	982.786555490799	984.786555490798	-1.99999999999932	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Hylobates_lar	1845.5	406	45.7765141047	0.68016443016443	0.377031228070801	0.99986020980445	0.999860209814886	1.80374806969046	982.786555490799	984.786555490798	-1.99999999999932	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Papio_anubis	Papio_cynocephalus	947.5	770	4.8778566854	0.0838688338688339	0.0401757174485443	0.84974728966755	0.849747291644574	1.77389026988495	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Papio_ursinus	464	850	12.5784127636	0.182385182385182	0.103600164935989	0.948613772018371	0.948613773147948	1.67000791870906	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Gorilla_gorilla	339.6	2123.5	62.1515760326	0.842893592893593	0.511901910759539	0.999948899663719	0.999948899668008	1.64650786221321	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_cephus	Gorilla_gorilla	340	2123.5	62.1515760317	0.842704592704593	0.511901910752127	0.999948700944539	0.999948700948843	1.64613834223992	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_gorilla	371	2123.5	62.1515760317	0.828057078057078	0.511901910752127	0.9999308639136	0.99993086391921	1.61749704785204	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Trachypithecus_obscurus	Gorilla_gorilla	383	2123.5	62.1515760313	0.822387072387072	0.511901910748832	0.999922496715121	0.999922496721327	1.60640801962351	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_maura	Gorilla_gorilla	389.5	2123.5	62.151576032	0.819315819315819	0.511901910754598	0.999917573503702	0.999917573510256	1.60040091426073	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_radiata	Gorilla_gorilla	398	2123.5	62.151576033	0.815299565299565	0.511901910762834	0.999910688492416	0.999910688499451	1.59254484604562	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Gorilla_gorilla	398.5	2123.5	62.1515760318	0.815063315063315	0.51190191075295	0.999910267024206	0.999910267031271	1.59208270156256	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	435.2	2123.5	62.1515760308	0.797722547722548	0.511901910744714	0.999873649954859	0.999873649964409	1.55815350304564	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	16.3	2123.5	78.0653383507	0.995652995652995	0.642973170058509	0.999980380957834	0.999980380959654	1.5484836821485	982.786555490799	984.786555490798	-1.99999999999932	BM	Callitrichidae	PLA	Hominidae	APE	order
Semnopithecus_vetulus	Gorilla_gorilla	447	2123.5	62.151576032	0.792147042147042	0.511901910754598	0.999859151377935	0.99985915138844	1.54724069726589	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_neglectus	Gorilla_gorilla	452.5	2123.5	62.1515760326	0.78954828954829	0.511901910759539	0.999851870757708	0.999851870768687	1.54215352153517	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	30.2	2123.5	78.0653383503	0.989085239085239	0.642973170055215	0.999977749512526	0.999977749514564	1.53826516800317	982.786555490799	984.786555490798	-1.99999999999932	BM	Callitrichidae	PLA	Hominidae	APE	order
Mico_argentatus	Gorilla_gorilla	32	2123.5	78.0653383503	0.988234738234738	0.642973170055215	0.999977385139691	0.999977385141759	1.53694187482087	982.786555490799	984.786555490798	-1.99999999999932	BM	Callitrichidae	PLA	Hominidae	APE	order
Macaca_nigra	Gorilla_gorilla	461	2123.5	62.151576032	0.785532035532036	0.511901910754598	0.999839918356506	0.999839918368257	1.53429059312359	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Leontocebus_fuscicolis	Gorilla_gorilla	39	2123.5	78.0653383503	0.984927234927235	0.642973170055215	0.999975913425062	0.999975913427251	1.53179566002576	982.786555490799	984.786555490798	-1.99999999999932	BM	Callitrichidae	PLA	Hominidae	APE	order
Macaca_nemestrina	Gorilla_gorilla	463.7	2123.5	62.1515760325	0.784256284256284	0.511901910758716	0.99983593560547	0.999835935617477	1.53179271114979	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Theropithecus_gelada	Gorilla_gorilla	464	2123.5	62.151576032	0.784114534114534	0.511901910754598	0.999835487367759	0.999835487379795	1.53151516120124	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	40	2123.5	78.0653383511	0.984454734454734	0.642973170061804	0.999975695884807	0.999975695887014	1.5310604765341	982.786555490799	984.786555490798	-1.99999999999932	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	43.3	2123.5	78.0653383502	0.982895482895483	0.642973170054391	0.999974964663141	0.999974964665407	1.52863435295881	982.786555490799	984.786555490798	-1.99999999999932	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_geoffroyi	Gorilla_gorilla	48	2123.5	78.0653383502	0.980674730674731	0.642973170054391	0.999973887014278	0.999973887016632	1.52517891570271	982.786555490799	984.786555490798	-1.99999999999932	BM	Callitrichidae	PLA	Hominidae	APE	order
Mandrillus_sphinx	Mandrillus_leucophaeus	898	722	5.449018498	0.0831600831600832	0.0448800039990488	0.822872206810181	0.8228722089099	1.52473518384504	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Papio_anubis	339.6	947.5	22.4016461425	0.287233037233037	0.184507718010077	0.978501469906786	0.978501470539524	1.52328559568965	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Callimico_goeldii	Gorilla_gorilla	54.1	2123.5	78.0653383533	0.977792477792478	0.642973170079924	0.999972422466168	0.99997242246864	1.52069411009141	982.786555490799	984.786555490798	-1.99999999999932	BM	Callitrichidae	PLA	Hominidae	APE	order
Macaca_silenus	Gorilla_gorilla	476	2123.5	62.151576033	0.778444528444528	0.511901910762834	0.999816583279432	0.999816583292667	1.5204118842654	982.786555490799	984.786555490798	-1.99999999999932	BM	Cercopithecidae	OWM	Hominidae	APE	order
