Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Papio_anubis	Piliocolobus_badius	601	201	38.5936741539	0.601657566595972	0.317870869958512	0.988553278498806	0.987604535199169	1.87110747225655	274.603714357577	276.591373881231	-1.98765952365397	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Cercopithecus_ascanius	601	320	29.8369393136	0.42266444053367	0.245747368304268	0.956656645663714	0.953562324082676	1.6453675525088	274.603714357577	276.591373881231	-1.98765952365397	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Gorilla_gorilla	23.8	671	78.0653383507	0.973481942752283	0.642973170063805	0.995983112126486	0.996112215816091	1.5079502848387	274.603714357577	276.591373881231	-1.98765952365397	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	50.5	671	78.0653383502	0.933321300182001	0.642973170059687	0.99418704471104	0.994360178685163	1.44313322608418	274.603714357577	276.591373881231	-1.98765952365397	BM	Callitrichidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Hylobates_lar	671	302	45.7765141047	0.555029105184784	0.377031228073906	0.967802837774149	0.96632019098107	1.42470623929269	274.603714357577	276.591373881231	-1.98765952365397	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cebuella_pygmaea	Pan_troglodytes	23.8	630	78.0653383507	0.911812042176195	0.642973170063805	0.992952379341655	0.993153653374134	1.408123976155	274.603714357577	276.591373881231	-1.98765952365397	BM	Callitrichidae	PLA	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	201	671	62.151576032	0.706947640750267	0.511901910758814	0.980788805007304	0.980503947981673	1.35449061080155	274.603714357577	276.591373881231	-1.98765952365397	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Pan_troglodytes	50.5	630	78.0653383502	0.871651399605914	0.642973170059687	0.990002130933609	0.990265484273864	1.34210381276253	274.603714357577	276.591373881231	-1.98765952365397	BM	Callitrichidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Papio_anubis	23.8	601	78.0653383526	0.868191868597987	0.642973170079454	0.989702604233338	0.989971923171345	1.336372640898	274.603714357577	276.591373881231	-1.98765952365397	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Papio_anubis	Nasalis_larvatus	601	304	38.5936741529	0.446730743197509	0.317870869950276	0.939564388343505	0.93665411095119	1.3204490790624	274.603714357577	276.591373881231	-1.98765952365397	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saimiri_sciureus	Gorilla_gorilla	117	671	78.065338345	0.833295729735421	0.642973170016858	0.986204874607834	0.986540188075569	1.27812535417834	274.603714357577	276.591373881231	-1.98765952365397	BM	Cebidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Papio_anubis	50.5	601	78.0653383521	0.828031226027706	0.642973170075336	0.985594784989469	0.985940998254336	1.26926487163644	274.603714357577	276.591373881231	-1.98765952365397	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Pan_troglodytes	Hylobates_lar	630	302	45.7765141047	0.493359204608697	0.377031228073906	0.943084521435726	0.940960256508353	1.23406072157794	274.603714357577	276.591373881231	-1.98765952365397	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Piliocolobus_badius	Pan_troglodytes	201	630	62.151576032	0.64527774017418	0.511901910758814	0.967414767372707	0.967004417407843	1.21947428165688	274.603714357577	276.591373881231	-1.98765952365397	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saimiri_sciureus	Pan_troglodytes	117	630	78.065338345	0.771625829159334	0.642973170016858	0.977410546845758	0.977889645113611	1.17298086266829	274.603714357577	276.591373881231	-1.98765952365397	BM	Cebidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Papio_anubis	117	601	78.0653383469	0.728005655581126	0.642973170032507	0.968555460851395	0.969157530170069	1.09664584170464	274.603714357577	276.591373881231	-1.98765952365397	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Ateles_geoffroyi	Gorilla_gorilla	204	671	78.065338351	0.702435209000797	0.642973170066276	0.962090836437478	0.962772751242983	1.05106481768291	274.603714357577	276.591373881231	-1.98765952365397	BM	Atelidae	PLA	Hominidae	APE	order
Cebus_albifrons	Gorilla_gorilla	207	671	78.0653383462	0.697922777251327	0.642973170026741	0.960839881829321	0.961536439957635	1.04295493199548	274.603714357577	276.591373881231	-1.98765952365397	BM	Cebidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Carlito_syrichta	671	15.5	115.745494551	0.985966337259149	0.953319989695427	0.983284526475881	0.985114467796318	1.01695700660044	274.603714357577	276.591373881231	-1.98765952365397	BM	Hominidae	APE	Tarsiidae	TAR	order
Nasalis_larvatus	Gorilla_gorilla	304	671	62.151576031	0.552020817351804	0.511901910750577	0.93249401983558	0.931847326189513	1.00557567806407	274.603714357577	276.591373881231	-1.98765952365397	BM	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_gorilla	Microcebus_murinus	671	6.17	121.41305731	1	0.99999999993658	0.982194777989111	0.984329786744188	0.982194778051401	274.603714357577	276.591373881231	-1.98765952365397	BM	Hominidae	APE	Cheirogaleidae	STR	order
Gorilla_gorilla	Loris_tardigradus	671	15.7	121.4130573117	0.985665508475851	0.999999999950582	0.980491882341259	0.982774923251864	0.966437029812101	274.603714357577	276.591373881231	-1.98765952365397	BM	Hominidae	APE	Lorisidae	STR	order
Gorilla_gorilla	Cheirogaleus_major	671	18	121.41305731	0.982205977467924	0.99999999993658	0.98006018595429	0.982379983230421	0.962620972983678	274.603714357577	276.591373881231	-1.98765952365397	BM	Hominidae	APE	Cheirogaleidae	STR	order
Gorilla_gorilla	Perodicticus_potto	671	19.5	121.413057312	0.979949761593189	0.999999999953053	0.979774172689204	0.982118157610863	0.960129466987025	274.603714357577	276.591373881231	-1.98765952365397	BM	Hominidae	APE	Lorisidae	STR	order
Gorilla_gorilla	Lepilemur_ruficaudatus	671	20.7	121.413057307	0.978144788893401	0.999999999911871	0.979542791248544	0.98190624916476	0.958134676842299	274.603714357577	276.591373881231	-1.98765952365397	BM	Hominidae	APE	Lepilemuridae	STR	order
Cercopithecus_ascanius	Gorilla_gorilla	320	671	62.1515760317	0.527954514687965	0.511901910756343	0.919636858227772	0.918923835101841	0.94847552035396	274.603714357577	276.591373881231	-1.98765952365397	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Carlito_syrichta	630	15.5	115.745494551	0.924296436683062	0.953319989695427	0.975118420274379	0.977560144920246	0.945431220309959	274.603714357577	276.591373881231	-1.98765952365397	BM	Hominidae	APE	Tarsiidae	TAR	order
Ateles_geoffroyi	Pan_troglodytes	204	630	78.065338351	0.64076530842471	0.642973170066276	0.941720381041266	0.942614657510024	0.93848667176197	274.603714357577	276.591373881231	-1.98765952365397	BM	Atelidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Otolemur_crassicaudatus	671	33.9	121.413057313	0.958290089195734	0.999999999961289	0.976841294872244	0.979426163413121	0.936097331629436	274.603714357577	276.591373881231	-1.98765952365397	BM	Hominidae	APE	Galagidae	STR	order
