Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_gorilla	Hylobates_lar	2604	715	45.7765141047	0.72841553233332	0.377031228073906	0.997994476049132	0.996850602676454	1.92810203348605	327.806949484784	329.33906913246	-1.53211964767621	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_ascanius	Gorilla_gorilla	405	2604	62.1515760317	0.847954343886168	0.511901910756343	0.997974636003975	0.997830437231479	1.65312320564981	327.806949484784	329.33906913246	-1.53211964767621	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	521	2604	62.151576032	0.803223691821232	0.511901910758814	0.996540704080137	0.996318632721242	1.56366891109049	327.806949484784	329.33906913246	-1.53211964767621	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	25.8	2604	78.0653383507	0.994177303050168	0.642973170063805	0.998757270548028	0.999119570740221	1.54429742307389	327.806949484784	329.33906913246	-1.53211964767621	BM	Callitrichidae	PLA	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	550	2604	62.151576031	0.792041028804997	0.511901910750577	0.996060519055505	0.995814264733981	1.54115618968487	327.806949484784	329.33906913246	-1.53211964767621	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	73.2	2604	78.0653383502	0.975899433154668	0.642973170059687	0.998473112938175	0.998905494687319	1.5154743468473	327.806949484784	329.33906913246	-1.53211964767621	BM	Callitrichidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	169	2604	78.065338345	0.938958084294143	0.642973170016858	0.997708126424527	0.998318816555007	1.45699098307276	327.806949484784	329.33906913246	-1.53211964767621	BM	Cebidae	PLA	Hominidae	APE	order
Pan_troglodytes	Gorilla_gorilla	1951	2604	20.238906202	0.251802722400031	0.16669464264491	0.891758182151697	0.850710079345988	1.34705671655343	327.806949484784	329.33906913246	-1.53211964767621	BM	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Hylobates_lar	1951	715	45.7765141047	0.47661280993329	0.377031228073906	0.956766549817105	0.946645187092914	1.20946796923973	327.806949484784	329.33906913246	-1.53211964767621	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cebus_albifrons	Gorilla_gorilla	567	2604	78.0653383462	0.785485674623067	0.642973170026741	0.989261613191486	0.991410489961566	1.20852760556727	327.806949484784	329.33906913246	-1.53211964767621	BM	Cebidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Pan_troglodytes	25.8	1951	78.0653383507	0.742374580650137	0.642973170063805	0.984094758979536	0.986998877135474	1.13623237800876	327.806949484784	329.33906913246	-1.53211964767621	BM	Callitrichidae	PLA	Hominidae	APE	order
Cercopithecus_ascanius	Pan_troglodytes	405	1951	62.1515760317	0.596151621486137	0.511901910756343	0.969989013487324	0.968879542155294	1.12963149983132	327.806949484784	329.33906913246	-1.53211964767621	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Pan_troglodytes	73.2	1951	78.0653383502	0.724096710754637	0.642973170059687	0.981313158462464	0.98458955870034	1.10512485333867	327.806949484784	329.33906913246	-1.53211964767621	BM	Callitrichidae	PLA	Hominidae	APE	order
Papio_anubis	Gorilla_gorilla	1147	2604	62.1515760319	0.561832414298384	0.51190191075799	0.959147716199493	0.957789592669717	1.05270221840588	327.806949484784	329.33906913246	-1.53211964767621	BM	Cercopithecidae	OWM	Hominidae	APE	order
Ateles_geoffroyi	Gorilla_gorilla	807	2604	78.065338351	0.692939497936991	0.642973170066276	0.975584523038166	0.979569431312509	1.05139853583546	327.806949484784	329.33906913246	-1.53211964767621	BM	Atelidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Pan_troglodytes	169	1951	78.065338345	0.687155361894112	0.642973170016858	0.974367969754533	0.978494685140814	1.04132210502213	327.806949484784	329.33906913246	-1.53211964767621	BM	Cebidae	PLA	Hominidae	APE	order
