Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	3.38333333333333	3.05	1.4560128688	0.110344827586206	0.0119922263796461	0.928443732705625	0.863411941562474	7.94456665605362	68.6569873897563	64.9307458151295	3.72624157462684	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Propithecus_tattersalli	Propithecus_coquereli	5.8	4.26850340136054	8.601073458	0.506978184377201	0.0708414205853214	0.999341479980039	0.99695922878588	7.1347606461281	68.6569873897563	64.9307458151295	3.72624157462684	OU	Indriidae	STR	Indriidae	STR	family
Varecia_rubra	Varecia_variegata	4.75324074074074	5.19703703703704	3.814273482	0.146911877394638	0.0314156777389774	0.861724679458258	0.787193625575804	3.68122229822049	68.6569873897563	64.9307458151295	3.72624157462684	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_fulvus	6.02666666666667	5.15	9.5384061272	0.290206896551725	0.0785616171597847	0.935911464455181	0.895127519531054	3.30660427894205	68.6569873897563	64.9307458151295	3.72624157462684	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_albifrons	4.7876	6.02666666666667	15.6477288182	0.41017379310345	0.128880115235398	0.958967425518597	0.93815036165079	2.98575689226253	68.6569873897563	64.9307458151295	3.72624157462684	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_collaris	6.02666666666667	5.25342970521542	9.5384061272	0.255968097583862	0.0785616171597847	0.897555142737276	0.847383603214744	2.76093054955172	68.6569873897563	64.9307458151295	3.72624157462684	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_arctoides	Macaca_fascicularis	3.54659090909091	4.344	10.2479298855	0.263969905956113	0.0844055006264766	0.895798973452611	0.847352159193057	2.65001058122671	68.6569873897563	64.9307458151295	3.72624157462684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_nigra	4.344	3.51666666666667	10.9824679326	0.273875862068965	0.0904554104411791	0.896569013261418	0.850377227579419	2.57472488545699	68.6569873897563	64.9307458151295	3.72624157462684	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_mongoz	Eulemur_sanfordi	4.7876	5.80333333333333	15.6477288182	0.336242758620689	0.128880115235398	0.906051578118976	0.874178949551116	2.28069583107008	68.6569873897563	64.9307458151295	3.72624157462684	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_sanfordi	Eulemur_fulvus	5.80333333333333	5.15	9.5384061272	0.216275862068964	0.0785616171597847	0.832374058337665	0.773164346742989	2.12847942364436	68.6569873897563	64.9307458151295	3.72624157462684	OU	Lemuridae	STR	Lemuridae	STR	family
