Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Saguinus_oedipus	Saguinus_geoffroyi	1202.9	2794.3	1.0824088122	0.669978529027912	0.00891509394537232	0.999999999820754	0.999518621530571	75.1148580028891	1993.16942550734	1900.8951876828	92.2742378245334	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Trachypithecus_auratus	Trachypithecus_cristatus	2012	2428.6	0.6600170348	0.175388371995116	0.00543612894173375	0.967501114143136	0.736121850033293	23.7498437309319	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Propithecus_coquereli	Propithecus_verreauxi	1347.9	581.3	1.798204574	0.322738180440365	0.0148106358055463	0.98286257324604	0.840308394130274	18.3111384069555	1993.16942550734	1900.8951876828	92.2742378245334	OU	Indriidae	STR	Indriidae	STR	family
Macaca_nemestrina	Macaca_silenus	2449.8	880.7	5.3135039895	0.660590241232686	0.0437638595617331	0.995465710219767	0.97682317291688	14.7445829024429	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Allochrocebus_preussi	Allochrocebus_lhoesti	2348.2	1271.3	3.662740448	0.453374310613396	0.0301675991763836	0.981039016120946	0.900435244454133	13.5322073798295	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Rhinopithecus_bieti	Rhinopithecus_roxellana	1820.9	734	4.260304706	0.457584305140403	0.0350893454134998	0.971889098914248	0.894720867405837	11.6676507236584	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saguinus_geoffroyi	Saguinus_bicolor	2794.3	1299.9	6.5019007411	0.629141582115943	0.053551906892349	0.985464646867877	0.966185952562572	11.3510011890961	1993.16942550734	1900.8951876828	92.2742378245334	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Trachypithecus_geei	Trachypithecus_pileatus	1479.1	1903.1	1.3038027628	0.178503767945102	0.0107385712178129	0.878463216377586	0.614460317821512	10.2139735127839	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Semnopithecus_entellus	2428.6	788.2	9.0158535418	0.690607502210247	0.0742576930425186	0.977274461819589	0.978036610703692	9.09588479137788	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Saguinus_geoffroyi	Saguinus_midas	2794.3	1606.8	6.5019007411	0.499936850082095	0.053551906892349	0.947849329794732	0.908288167259099	8.47937546312154	1993.16942550734	1900.8951876828	92.2742378245334	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Trachypithecus_cristatus	Trachypithecus_phayrei	2428.6	1458.7	5.1737784209	0.40832736917442	0.0426130313750078	0.924597489487829	0.84078870771837	8.05662094378845	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Colobus_polykomos	Colobus_guereza	1807.6	1089.2	3.839420472	0.302446006820191	0.0316227970595468	0.873680311563735	0.723983424588846	6.92430512577945	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_radiata	Macaca_nemestrina	937.4	2449.8	10.9824679335	0.636719572264556	0.0904554104471762	0.942952946580425	0.964538601972378	6.78942921207735	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Aotus_azarae	Aotus_vociferans	1010.9	2174.4	7.9865332398	0.489832863217278	0.0657798544580768	0.913968556395155	0.897395420851097	6.68249834322328	1993.16942550734	1900.8951876828	92.2742378245334	OU	Aotidae	PLA	Aotidae	PLA	family
Trachypithecus_obscurus	Semnopithecus_entellus	2019.8	788.2	9.015853541	0.518502925946196	0.0742576930359295	0.912792987024637	0.914579538469412	6.38603419146706	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Erythrocebus_patas	Allochrocebus_preussi	733.9	2348.2	12.6967639233	0.679619416494758	0.104574946085637	0.941117773291893	0.974988048968065	6.336324652622	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_auratus	Semnopithecus_entellus	2012	788.2	9.0158535418	0.515219130215131	0.0742576930425186	0.91077245491977	0.912580970178614	6.33172341399146	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nasalis_larvatus	Rhinopithecus_roxellana	2570.8	734	14.9942228144	0.773291794720667	0.123497613398515	0.952063232689557	0.989165721483861	6.19375318269607	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Hylobates_lar	Hylobates_muelleri	1727.4	2665.3	6.4663244217	0.394855386687997	0.0532588880014209	0.87593594143177	0.817309599044716	6.05944115404744	1993.16942550734	1900.8951876828	92.2742378245334	OU	Hylobatidae	APE	Hylobatidae	APE	family
Cebuella_pygmaea	Callithrix_jacchus	2085.3	993.9	8.0860732424	0.459478802677557	0.066599700402141	0.890487903182167	0.874074594440185	6.03033866037235	1993.16942550734	1900.8951876828	92.2742378245334	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_fascicularis	Macaca_mulatta	2190.5	1173.6	7.3270128521	0.428114343451354	0.0603478160739071	0.882764240640943	0.848112364682683	6.0166065949169	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nycticebus_pygmaeus	Nycticebus_coucang	1499	2372.9	5.9520781674	0.367911421715152	0.0490233777058033	0.864723245924099	0.788760454691951	5.91950195720709	1993.16942550734	1900.8951876828	92.2742378245334	OU	Lorisidae	STR	Lorisidae	STR	family
Trachypithecus_cristatus	Semnopithecus_johnii	2428.6	1280.4	9.0158535413	0.483391571590957	0.0742576930384004	0.889176159151361	0.891195227278578	5.80136877246883	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_radiata	Macaca_fascicularis	937.4	2190.5	10.2479298864	0.527554414179262	0.0844055006325684	0.89736659096662	0.918934282912712	5.74355739445963	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_silenus	2190.5	880.7	10.9824679336	0.551425083147392	0.0904554104479999	0.90065396001849	0.931442830422175	5.67816715074059	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Trachypithecus_cristatus	Trachypithecus_geei	2428.6	1479.1	7.1253052128	0.399738980339326	0.0586864820810659	0.861982551700016	0.819790249830471	5.5839455175842	1993.16942550734	1900.8951876828	92.2742378245334	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
