Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Eulemur_albifrons	Eulemur_sanfordi	2.567123288	1.610958904	5.21120138	0.250179211598577	0.0524473442762965	0.992219456853096	0.992219457099499	4.73298857880328	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_fulvus	2.567123288	1.394520548	9.5384061272	0.306810035931573	0.0959978387940162	0.984156456846867	0.984156457266902	3.14537370508281	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_rufus	2.567123288	1.547945205	9.5384061272	0.266666666893429	0.0959978387940162	0.96399276173941	0.963992762483236	2.67781795831911	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_collaris	2.567123288	1.635616438	9.5384061272	0.243727598759497	0.0959978387940162	0.94469493820037	0.944694939176706	2.39847304627216	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lemuridae	STR	Lemuridae	STR	family
Nycticebus_pygmaeus	Nycticebus_coucang	1.873972603	1.334246575	5.9520781674	0.141218638158636	0.0599037861025927	0.840187448978948	0.840187450651807	1.98067826864203	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lorisidae	STR	Lorisidae	STR	family
Eulemur_albifrons	Eulemur_macaco	2.567123288	1.484931507	14.8274950179	0.283154121926632	0.149229070084195	0.925862903685964	0.92586290484474	1.75677498606491	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_flavifrons	2.567123288	1.578082192	14.8274950179	0.258781362050683	0.149229070084195	0.897332062027925	0.897332063405102	1.55608296086225	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_albifrons	Eulemur_coronatus	2.567123288	1.698630137	14.8274950179	0.227240143464645	0.149229070084195	0.84818045696417	0.848180458604544	1.29157575407862	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_albifrons	1.764383562	2.567123288	15.6477288182	0.210035842298783	0.157484188505926	0.802757169224733	0.802757171019498	1.07063305719202	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lemuridae	STR	Lemuridae	STR	family
Daubentonia_madagascariensis	Microcebus_murinus	4.219178082	0.589041096	92.496943882	0.949820788506083	0.930921433760546	0.983531142683474	0.983531143115498	1.00349856774723	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Daubentoniidae	STR	Cheirogaleidae	STR	superfamily
Daubentonia_madagascariensis	Galago_moholi	4.219178082	0.397260274	99.360634015	1	0.999999999941627	0.985161098078409	0.985161098478816	0.985161098135916	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Daubentoniidae	STR	Galagidae	STR	superfamily
Perodicticus_potto	Galago_moholi	2.156164384	0.397260274	43.154528579	0.46021505389736	0.434322194139443	0.911115075966496	0.911115077245612	0.965432758101227	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lorisidae	STR	Galagidae	STR	superfamily
Daubentonia_madagascariensis	Cheirogaleus_medius	4.219178082	0.794520548	92.496943882	0.896057347657122	0.930921433760546	0.976339633023266	0.976339633582512	0.939774582743562	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Daubentoniidae	STR	Cheirogaleidae	STR	superfamily
Daubentonia_madagascariensis	Otolemur_garnettii	4.219178082	0.591780822	99.360634015	0.949103942635074	0.999999999941627	0.979238275382413	0.979238275892535	0.929398907998871	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Daubentoniidae	STR	Galagidae	STR	superfamily
Perodicticus_potto	Otolemur_garnettii	2.156164384	0.591780822	43.154528579	0.409318996532434	0.434322194139443	0.869760537321882	0.869760538861251	0.819689887286312	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lorisidae	STR	Galagidae	STR	superfamily
Daubentonia_madagascariensis	Loris_tardigradus	4.219178082	0.994520548	99.3606340137	0.843727598550178	0.999999999928543	0.960175309924002	0.960175310718439	0.81012640848724	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Daubentoniidae	STR	Lorisidae	STR	superfamily
Nycticebus_pygmaeus	Loris_tardigradus	1.873972603	0.994520548	22.2897034077	0.23010752694868	0.224331332296389	0.763438667958737	0.763438669836525	0.78309606626362	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lorisidae	STR	Lorisidae	STR	family
Daubentonia_madagascariensis	Lemur_catta	4.219178082	1.315068493	92.496943884	0.759856630857196	0.930921433780674	0.944975748319995	0.94497574929332	0.771328344481282	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Daubentoniidae	STR	Lemuridae	STR	superfamily
Nycticebus_pygmaeus	Galago_moholi	1.873972603	0.397260274	43.154528579	0.386379928398502	0.434322194139443	0.84681110128951	0.846811102935628	0.753336617603867	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Lorisidae	STR	Galagidae	STR	superfamily
Daubentonia_madagascariensis	Eulemur_fulvus	4.219178082	1.394520548	92.4969438824	0.739068100336291	0.930921433764571	0.937985542651777	0.937985543697346	0.74467636903274	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Daubentoniidae	STR	Lemuridae	STR	superfamily
Daubentonia_madagascariensis	Eulemur_macaco	4.219178082	1.484931507	92.4969438831	0.71541218633135	0.930921433771617	0.929153440375719	0.929153441505155	0.714053485183334	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Daubentoniidae	STR	Lemuridae	STR	superfamily
Daubentonia_madagascariensis	Nycticebus_coucang	4.219178082	1.334246575	99.3606340134	0.754838709760134	0.999999999925524	0.934085373942209	0.934085375025771	0.705083798524861	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Daubentoniidae	STR	Lorisidae	STR	superfamily
Daubentonia_madagascariensis	Hapalemur_griseus	4.219178082	1.528767123	92.4969438858	0.703942652395208	0.93092143379879	0.924513733973226	0.924513735143754	0.699097288385752	49.2235978694057	51.2235978694056	-1.99999999999995	BM	Daubentoniidae	STR	Lemuridae	STR	superfamily
