Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_gorilla	Hylobates_lar	2729	1136	45.7765141047	0.592435568448064	0.377031228073906	0.998918570713369	0.998918570715607	1.5696177059315	546.385147484712	548.385147484712	-1.99999999999977	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Gorilla_gorilla	2018	2729	20.238906202	0.264420394957046	0.16669464264491	0.971759241083517	0.971759241111782	1.54145903103688	546.385147484712	548.385147484712	-1.99999999999977	BM	Hominidae	APE	Hominidae	APE	family
Cercopithecus_mitis	Gorilla_gorilla	617	2729	62.1515760318	0.785451299788017	0.511901910757166	0.999799902018161	0.999799902018689	1.53407150093765	546.385147484712	548.385147484712	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	81.8	2729	78.0653383507	0.984491799620663	0.642973170063805	0.9999680550658	0.999968055065904	1.53110642236784	546.385147484712	548.385147484712	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	90	2729	78.0653383503	0.981442225445349	0.64297317006051	0.999966204357827	0.999966204357936	1.5263608229294	546.385147484712	548.385147484712	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Macaca_mulatta	Gorilla_gorilla	639	2729	62.1515760327	0.777269515415225	0.511901910764579	0.99976690712066	0.999766907121262	1.51804149014641	546.385147484712	548.385147484712	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	107	2729	78.0653383502	0.975119937520919	0.642973170059687	0.999962038068712	0.999962038068834	1.51652194133441	546.385147484712	548.385147484712	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	120	2729	78.0653383511	0.970285246755179	0.642973170067099	0.999958527833212	0.999958527833344	1.50899765665547	546.385147484712	548.385147484712	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Gorilla_gorilla	138	2729	78.0653383533	0.963591059541076	0.642973170085219	0.999953156214861	0.999953156215008	1.49857873721358	546.385147484712	548.385147484712	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	168	2729	78.065338345	0.952434080850906	0.642973170016858	0.999942710635139	0.999942710635314	1.48121190886141	546.385147484712	548.385147484712	-1.99999999999977	BM	Cebidae	PLA	Hominidae	APE	order
Erythrocebus_patas	Gorilla_gorilla	693	2729	62.151576032	0.757186953772918	0.511901910758814	0.999663010849499	0.999663010850329	1.47866568589784	546.385147484712	548.385147484712	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_gorilla	694	2729	62.1515760317	0.756815054483246	0.511901910756343	0.999660729990064	0.999660729990898	1.47793605363646	546.385147484712	548.385147484712	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	723	2729	62.1515760308	0.746029975082748	0.51190191074893	0.999587950686651	0.999587950687637	1.45676849076957	546.385147484712	548.385147484712	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Aotus_trivirgatus	Gorilla_gorilla	243	2729	78.0653383541	0.924541634125479	0.642973170091808	0.999906113124911	0.999906113125183	1.43778134889915	546.385147484712	548.385147484712	-1.99999999999977	BM	Aotidae	PLA	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	814	2729	62.151576032	0.712187139722563	0.511901910758814	0.999253775554985	0.999253775556622	1.39021885504307	546.385147484712	548.385147484712	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	855	2729	62.151576031	0.696939268845996	0.511901910750577	0.999032507212364	0.999032507214402	1.36015312798709	546.385147484712	548.385147484712	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebus_albifrons	Gorilla_gorilla	390	2729	78.0653383462	0.869872438543642	0.642973170026741	0.99976206833802	0.999762068338634	1.35256883006869	546.385147484712	548.385147484712	-1.99999999999977	BM	Cebidae	PLA	Hominidae	APE	order
Macaca_mulatta	Papio_anubis	639	1309	22.4016461426	0.249172524080479	0.18450771801242	0.950595237689975	0.95059523773072	1.28375234004113	546.385147484712	548.385147484712	-1.99999999999977	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Alouatta_seniculus	Gorilla_gorilla	510	2729	78.0653383544	0.82524452378296	0.642973170094279	0.999510384295521	0.999510384296664	1.28285363910773	546.385147484712	548.385147484712	-1.99999999999977	BM	Atelidae	PLA	Hominidae	APE	order
Ateles_geoffroyi	Gorilla_gorilla	732	2729	78.065338351	0.742682881475696	0.642973170066276	0.998296509968377	0.998296509971644	1.15310834589571	546.385147484712	548.385147484712	-1.99999999999977	BM	Atelidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Pan_troglodytes	81.8	2018	78.0653383507	0.720071404663617	0.642973170063805	0.997650301898824	0.997650301903078	1.11727749725557	546.385147484712	548.385147484712	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Pan_troglodytes	90	2018	78.0653383503	0.717021830488304	0.64297317006051	0.997547737612604	0.99754773761701	1.11243133948364	546.385147484712	548.385147484712	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Pan_troglodytes	107	2018	78.0653383502	0.710699542563874	0.642973170059687	0.997321937273642	0.997321937278376	1.10237297233335	546.385147484712	548.385147484712	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_midas	Pan_troglodytes	120	2018	78.0653383511	0.705864851798133	0.642973170067099	0.997136617761895	0.997136617766892	1.09467039012769	546.385147484712	548.385147484712	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Pan_troglodytes	138	2018	78.0653383533	0.699170664584031	0.642973170085219	0.996860673530008	0.996860673535392	1.08398883816145	546.385147484712	548.385147484712	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Pan_troglodytes	168	2018	78.065338345	0.68801368589386	0.642973170016858	0.996346445238279	0.996346445244361	1.06614089386912	546.385147484712	548.385147484712	-1.99999999999977	BM	Cebidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Carlito_syrichta	2729	69	115.745494551	0.989252110528469	0.953319989695427	0.999401343258788	0.999401343260145	1.03707034235127	546.385147484712	548.385147484712	-1.99999999999977	BM	Hominidae	APE	Tarsiidae	TAR	order
Aotus_trivirgatus	Pan_troglodytes	243	2018	78.0653383541	0.660121239168433	0.642973170091808	0.994709383965555	0.994709383973718	1.02123824398777	546.385147484712	548.385147484712	-1.99999999999977	BM	Aotidae	PLA	Hominidae	APE	order
Papio_anubis	Gorilla_gorilla	1309	2729	62.1515760319	0.528096991334747	0.51190191075799	0.987594401550631	0.987594401566322	1.0188390024676	546.385147484712	548.385147484712	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Pan_troglodytes	617	2018	62.1515760318	0.521030904830972	0.511901910757167	0.98637252724649	0.986372527263312	1.0039629850404	546.385147484712	548.385147484712	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_gorilla	Microcebus_murinus	2729	40.1	121.41305731	1	0.99999999993658	0.999294842537219	0.99929484253878	0.999294842600594	546.385147484712	548.385147484712	-1.99999999999977	BM	Hominidae	APE	Cheirogaleidae	STR	order
Gorilla_gorilla	Cheirogaleus_medius	2729	65.3	121.41305731	0.990628137900257	0.99999999993658	0.99920869434842	0.99920869435014	0.989844248318898	546.385147484712	548.385147484712	-1.99999999999977	BM	Hominidae	APE	Cheirogaleidae	STR	order
