Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_gorilla	Hylobates_lar	1193	302	45.7765141047	0.756559395431774	0.377031228073906	0.999974344733948	0.999974344727923	2.00657115211396	497.699396175705	499.699396175705	-1.99999999999977	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Gorilla_gorilla	851	1193	20.238906202	0.290396535620277	0.16669464264491	0.984888216803028	0.984888215525966	1.71576075628346	497.699396175705	499.699396175705	-1.99999999999977	BM	Hominidae	APE	Hominidae	APE	family
Cercopithecus_mitis	Gorilla_gorilla	246	1193	62.1515760318	0.804109705357901	0.511901910757166	0.999876569796958	0.999876569772627	1.57063382073427	497.699396175705	499.699396175705	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_gorilla	251	1193	62.1515760317	0.79986414197164	0.511901910756343	0.999865974108551	0.999865974082395	1.56232458340568	497.699396175705	499.699396175705	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	29.2	1193	78.0653383507	0.988197333786193	0.642973170063805	0.999974446749375	0.999974446743372	1.53687918585156	497.699396175705	499.699396175705	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Macaca_mulatta	Gorilla_gorilla	271	1193	62.1515760327	0.782881888426594	0.511901910764579	0.999814406249442	0.999814406214664	1.52907534428144	497.699396175705	499.699396175705	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	40.9	1193	78.0653383511	0.978262715462342	0.642973170067099	0.999969208745434	0.999969208738339	1.52142054920262	497.699396175705	499.699396175705	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	49.8	1193	78.0653383503	0.970705612634797	0.64297317006051	0.999964557010779	0.999964557002732	1.50966051637097	497.699396175705	499.699396175705	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	288	1193	62.151576032	0.768446972913306	0.511901910758814	0.999756441763512	0.99975644171945	1.50079496711572	497.699396175705	499.699396175705	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_gorilla	Pongo_pygmaeus	1193	600	40.643277586	0.503523817610597	0.334752113849248	0.997049871695069	0.997049871334835	1.49973170287476	497.699396175705	499.699396175705	-1.99999999999977	BM	Hominidae	APE	Hominidae	APE	family
Pygathrix_nemaeus	Gorilla_gorilla	290	1193	62.1515760308	0.766748747558801	0.51190191074893	0.999748602272555	0.999748602227265	1.49746655085668	497.699396175705	499.699396175705	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	60.5	1193	78.0653383502	0.961620106988197	0.642973170059687	0.999958079954133	0.999958079944784	1.49552087179616	497.699396175705	499.699396175705	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Gorilla_gorilla	63.5	1193	78.0653383533	0.95907276895644	0.642973170085219	0.999956071431965	0.999956071422218	1.49155623108807	497.699396175705	499.699396175705	-1.99999999999977	BM	Callitrichidae	PLA	Hominidae	APE	order
Aotus_trivirgatus	Gorilla_gorilla	83.3	1193	78.0653383541	0.942260337946845	0.642973170091808	0.999940341863681	0.999940341850882	1.46538637734545	497.699396175705	499.699396175705	-1.99999999999977	BM	Aotidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	90.6	1193	78.065338345	0.936061815402904	0.642973170016858	0.999933297771554	0.999933297757423	1.45573629140593	497.699396175705	499.699396175705	-1.99999999999977	BM	Cebidae	PLA	Hominidae	APE	order
Erythrocebus_patas	Gorilla_gorilla	330	1193	62.151576032	0.73278424046871	0.511901910758814	0.999532412889028	0.999532412811682	1.4308241180757	497.699396175705	499.699396175705	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	333	1193	62.151576031	0.730236902436953	0.511901910750577	0.999510626526719	0.999510626446297	1.42581914335405	497.699396175705	499.699396175705	-1.99999999999977	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebus_albifrons	Gorilla_gorilla	174	1193	78.0653383462	0.865245818120065	0.642973170026741	0.999772253113219	0.999772253071654	1.34538858136602	497.699396175705	499.699396175705	-1.99999999999977	BM	Cebidae	PLA	Hominidae	APE	order
Alouatta_seniculus	Gorilla_gorilla	200	1193	78.0653383544	0.843168888511505	0.642973170094279	0.999671869936709	0.999671869879674	1.31092906929096	497.699396175705	499.699396175705	-1.99999999999977	BM	Atelidae	PLA	Hominidae	APE	order
Macaca_mulatta	Papio_anubis	271	559	22.4016461426	0.244544451048654	0.18450771801242	0.948198615354386	0.948198612402167	1.25673176371583	497.699396175705	499.699396175705	-1.99999999999977	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pan_troglodytes	Hylobates_lar	851	302	45.7765141047	0.466162859811497	0.377031228073906	0.990496713758163	0.990496712854585	1.2246539446565	497.699396175705	499.699396175705	-1.99999999999977	BM	Hominidae	APE	Hylobatidae	APE	superfamily
