Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Papio_anubis	Papio_ursinus	2.221	3.839	4.8778566851	0.374450358713261	0.0401757174461395	0.999999072909134	0.999985946995598	9.32018443883948	115.623907367035	109.292288525483	6.33161884155196	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Papio_ursinus	2.743	3.839	4.8778566851	0.253644989585744	0.0401757174461395	0.999111276237045	0.99673774052602	6.29279450091646	115.623907367035	109.292288525483	6.33161884155196	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_cynocephalus	Papio_ursinus	3.003	3.839	3.7904618637	0.193473732932192	0.031219557001654	0.995970848772658	0.988291135607245	6.1246344789453	115.623907367035	109.292288525483	6.33161884155196	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Mandrillus_leucophaeus	5.263	4.1	5.449018498	0.269150659569544	0.0448800039991228	0.99915249904549	0.997009665089059	5.97918415874419	115.623907367035	109.292288525483	6.33161884155196	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Cercocebus_torquatus	5.263	2.469	16.146299604	0.646609581115483	0.13298651694145	0.999996790285489	0.999994484973488	4.86219227270369	115.623907367035	109.292288525483	6.33161884155196	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Mandrillus_sphinx	2.221	5.263	18.5708053179	0.704003702846563	0.15295558589867	0.999997729594964	0.999997481840357	4.60265590116621	115.623907367035	109.292288525483	6.33161884155196	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Papio_cynocephalus	2.221	3.003	4.8778566854	0.180976625781069	0.0401757174486104	0.982278246596934	0.964186833790852	4.34330214576009	115.623907367035	109.292288525483	6.33161884155196	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Macaca_tonkeana	2.612	1.939	4.1677209	0.155750983568618	0.0343267931147382	0.972747141551556	0.947848114777466	4.3006719461617	115.623907367035	109.292288525483	6.33161884155196	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_tonkeana	Mandrillus_sphinx	1.939	5.263	22.401646142	0.769266373524647	0.184507718006263	0.999997443829921	0.999998634985066	4.16928533817999	115.623907367035	109.292288525483	6.33161884155196	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fuscata	Mandrillus_sphinx	2.04	5.263	22.4016461426	0.745892154593844	0.184507718011204	0.999994901134653	0.999997176860355	4.04259538232886	115.623907367035	109.292288525483	6.33161884155196	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Mandrillus_sphinx	2.072	5.263	22.4016461427	0.738486461467253	0.184507718012028	0.999993680172568	0.999996461316626	4.00245505258131	115.623907367035	109.292288525483	6.33161884155196	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
