Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Macaca_nemestrina	Macaca_nigra	141.666666666667	154.833333333333	7.6582823365	0.758989120126561	0.0630762663067973	0.999986090877753	0.99912405585703	12.0223395018942	200.547453260764	190.033924025872	10.5135292348922	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Leontopithecus_rosalia	Leontopithecus_chrysomelas	150.928571428571	148.25	1.4560128688	0.15440556241271	0.0119922263796461	0.95737365195284	0.829227640878595	10.6766964035416	200.547453260764	190.033924025872	10.5135292348922	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_mulatta	Macaca_nigra	145.860466955554	154.833333333333	10.9824679327	0.517238579019041	0.0904554104420027	0.986594285683724	0.956137399321283	5.46734736325134	200.547453260764	190.033924025872	10.5135292348922	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_nigra	146.214285714286	154.833333333333	10.9824679326	0.496842787496942	0.0904554104411791	0.982465188248137	0.947123725446054	5.20224925805966	200.547453260764	190.033924025872	10.5135292348922	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	147.350378787879	154.833333333333	10.9824679321	0.431352993903909	0.0904554104370609	0.960811777071367	0.907188784675411	4.32609388885662	200.547453260764	190.033924025872	10.5135292348922	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nemestrina	147.350378787879	141.666666666667	10.9824679326	0.327636126222653	0.0904554104411791	0.882734977577171	0.798264392441653	2.89137213534767	200.547453260764	190.033924025872	10.5135292348922	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Propithecus_tattersalli	Propithecus_coquereli	144.666666666667	149.263888888889	8.601073458	0.265005694896511	0.0708414205853214	0.847747503232108	0.735686280620531	2.75207713807577	200.547453260764	190.033924025872	10.5135292348922	OU	Indriidae	STR	Indriidae	STR	family
Eulemur_sanfordi	Eulemur_collaris	148.566666666667	143.86626984127	9.5384061272	0.270953168411691	0.0785616171597847	0.835461908237291	0.73000019020103	2.51771630507317	200.547453260764	190.033924025872	10.5135292348922	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Macaca_nemestrina	146.214285714286	141.666666666667	10.9824679331	0.262146332629619	0.0904554104452973	0.789890607075332	0.69295574444773	2.00823594948426	200.547453260764	190.033924025872	10.5135292348922	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Gorilla_gorilla	154.833333333333	137.485697751323	62.151576032	1	0.511901910758392	0.955532975118376	0.997771353497541	1.94914559318469	200.547453260764	190.033924025872	10.5135292348922	OU	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_mulatta	Macaca_nemestrina	145.860466955554	141.666666666667	10.9824679332	0.24175054110752	0.0904554104461209	0.752219369833067	0.653793159970435	1.74732334324426	200.547453260764	190.033924025872	10.5135292348922	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_macaco	Eulemur_flavifrons	147.415555555556	145.812121212121	3.030803714	0.0924295611269241	0.024962749320008	0.599744258751156	0.443024726583354	1.64038746379807	200.547453260764	190.033924025872	10.5135292348922	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_nigra	Pongo_pygmaeus	154.833333333333	140.145061728395	62.151576036	0.84670164619841	0.511901910791337	0.911166568542856	0.990379026623062	1.63811764426865	200.547453260764	190.033924025872	10.5135292348922	OU	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_nigra	Pan_paniscus	154.833333333333	140.333531746032	62.151576032	0.835837340411837	0.511901910758392	0.906994060736152	0.989409859915506	1.61551595825034	200.547453260764	190.033924025872	10.5135292348922	OU	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_nigra	Pan_troglodytes	154.833333333333	140.553424964034	62.151576032	0.823161652306534	0.511901910758392	0.90192861391307	0.988170110012349	1.58902266903554	200.547453260764	190.033924025872	10.5135292348922	OU	Cercopithecidae	OWM	Hominidae	APE	order
Eulemur_fulvus	Eulemur_collaris	146.75	143.86626984127	7.651134656	0.166231884748635	0.0630173955340987	0.658973554922892	0.534025736565855	1.40869205941057	200.547453260764	190.033924025872	10.5135292348922	OU	Lemuridae	STR	Lemuridae	STR	family
Saimiri_sciureus	Gorilla_gorilla	152.357142857143	137.485697751323	78.065338345	0.857260635636255	0.642973170016328	0.875757716359288	0.991126691002465	1.3214453366744	200.547453260764	190.033924025872	10.5135292348922	OU	Cebidae	PLA	Hominidae	APE	order
Eulemur_albifrons	Eulemur_collaris	147.108333333333	143.86626984127	9.5384061272	0.18688791776472	0.0785616171597847	0.662300762248724	0.553241049561597	1.31608884226815	200.547453260764	190.033924025872	10.5135292348922	OU	Lemuridae	STR	Lemuridae	STR	family
