Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Chlorocebus_pygerythrus	Colobus_guereza	21.69	188.91	38.5936741539	0.888758968907786	0.317870869960345	0.998159624668016	0.997574416061537	2.79082924124504	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Colobus_guereza	39.37	188.91	38.593674154	0.794791389848525	0.317870869961168	0.99465582933647	0.993309177700969	2.48699696551573	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Colobus_guereza	51.94	188.91	38.593674154	0.727982992293383	0.317870869961168	0.989270171551524	0.987004800440711	2.26561137785492	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Mandrillus_sphinx	51.94	121.34	18.570805318	0.368854637257507	0.152955585901384	0.93762125281402	0.908477244672564	2.26108739379172	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	39.37	121.34	22.401646142	0.435663034812649	0.184507718008542	0.954942020478273	0.934316706834059	2.25482675305987	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Chlorocebus_pygerythrus	121.34	21.69	29.8369393139	0.529630613871911	0.245747368308156	0.96523567811013	0.953640561657538	2.08025977347393	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Colobus_guereza	68.34	188.91	38.5936741541	0.640818495880946	0.317870869961992	0.975288914890922	0.971220430810555	1.96615429266762	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Semnopithecus_vetulus	Colobus_guereza	107.24	188.91	27.017026324	0.4340685623173	0.22252158804848	0.930972391616689	0.910552723630266	1.8160298563846	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Colobus_guereza	86.42	188.91	38.5936741539	0.544724953494552	0.317870869960345	0.943751909320507	0.936918786934056	1.61727689919854	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Colobus_guereza	0.76	188.91	78.0653383527	1	0.642973170083984	0.986269431294085	0.993772924556749	1.53392004080864	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Colobus_guereza	1.39	188.91	78.0653383523	0.996651607759766	0.64297317008069	0.9859500872886	0.993597425559582	1.52828887019306	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Colobus_guereza	2.35	188.91	78.0653383522	0.991549295774648	0.642973170079866	0.985450859692447	0.99332143232785	1.51969499104791	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Colobus_guereza	3.71	188.91	78.0653383537	0.984321020462397	0.642973170092221	0.984716863976329	0.99291212892537	1.5074929305008	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Sapajus_apella	Colobus_guereza	7.98	188.91	78.065338349	0.961626361945256	0.64297317005351	0.982196236985421	0.991476678501552	1.4689661063307	200.225426515027	201.528018115711	-1.30259160068329	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Theropithecus_gelada	Papio_hamadryas	51.94	86.42	12.5784127639	0.183258038798831	0.10360016493991	0.739420850298439	0.68075808964747	1.30795945113843	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Chlorocebus_pygerythrus	Semnopithecus_vetulus	21.69	107.24	38.5936741539	0.454690406590486	0.317870869960345	0.888965974379458	0.879198441271439	1.27159906280852	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Mandrillus_sphinx	68.34	121.34	22.4016461421	0.28169014084507	0.184507718009366	0.804960865121712	0.76598420465025	1.22894338468483	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	68.34	39.37	10.9824679321	0.153972893967579	0.0904554104376569	0.688267193314519	0.626636506072305	1.17156609057253	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Chlorocebus_pygerythrus	86.42	21.69	29.8369393138	0.344034015413234	0.245747368307332	0.829721679727525	0.804341219610379	1.16156882215352	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Papio_hamadryas	39.37	86.42	22.4016461419	0.250066436353973	0.184507718007719	0.749996826247966	0.709248638442011	1.01648340590702	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Colobus_guereza	Cheirogaleus_medius	188.91	1.31	121.413057312	0.997076800425193	0.999999999958818	0.951182993978789	0.987002675117015	0.948402496294283	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Colobus_guereza	Eulemur_fulvus	188.91	8.26	121.4130573124	0.960138187616264	0.999999999962113	0.942198074787268	0.983235115715277	0.904640351936055	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Macaca_nigra	Semnopithecus_vetulus	39.37	107.24	38.593674154	0.360722827531225	0.317870869961168	0.793853439107664	0.781601430541919	0.900872285765871	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Colobus_guereza	121.34	188.91	38.593674154	0.359128355035876	0.317870869961168	0.791841197091563	0.779559342178232	0.894616819074585	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Mandrillus_sphinx	0.76	121.34	78.0653383527	0.640871644964124	0.642973170083984	0.885723327213604	0.92042452930248	0.882828385545754	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Mandrillus_sphinx	1.39	121.34	78.0653383523	0.63752325272389	0.64297317008069	0.883819145371019	0.91884000814871	0.876327788772073	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Colobus_guereza	Eulemur_macaco	188.91	13.14	121.4130573131	0.934201435025246	0.999999999967878	0.935100110197155	0.980046026611731	0.873571864866509	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Saguinus_oedipus	Mandrillus_sphinx	2.35	121.34	78.0653383522	0.632420940738772	0.642973170079866	0.880869698241282	0.9163763446024	0.86641320221936	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Mandrillus_sphinx	3.71	121.34	78.0653383537	0.625192665426521	0.642973170092221	0.876591249915327	0.912782849163401	0.852350370926869	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Colobus_guereza	Lemur_catta	188.91	16.7	121.413057314	0.915280361413766	0.999999999975291	0.92948057303735	0.977396905156066	0.85073531483772	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Colobus_guereza	Nomascus_concolor	188.91	94.1	62.151576036	0.503906457613606	0.51190191079471	0.835976677874454	0.85788423869833	0.82291946467112	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Hylobatidae	APE	order
Sapajus_apella	Mandrillus_sphinx	7.98	121.34	78.065338349	0.602498006909381	0.64297317005351	0.862375960526132	0.900684367398329	0.808089391008829	200.225426515027	201.528018115711	-1.30259160068329	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Mandrillus_sphinx	86.42	121.34	18.5708053179	0.185596598458677	0.15295558590056	0.651603773190727	0.604151435588407	0.79065725605903	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Colobus_guereza	Varecia_rubra	188.91	29.29	121.413057315	0.848365665692267	0.999999999983527	0.906328153138477	0.965432138047035	0.768897686985633	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Cebuella_pygmaea	Semnopithecus_vetulus	0.76	107.24	78.0653383527	0.5659314376827	0.642973170083984	0.8368600649807	0.878413766932214	0.736586597621023	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Semnopithecus_vetulus	1.39	107.24	78.0653383523	0.562583045442466	0.64297317008069	0.834356089290912	0.876193266400915	0.730037599605969	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Semnopithecus_vetulus	2.35	107.24	78.0653383522	0.557480733457348	0.642973170079866	0.830485060994921	0.872748944027309	0.720060248970124	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Semnopithecus_vetulus	3.71	107.24	78.0653383537	0.550252458145097	0.642973170092221	0.824885525403337	0.867742428430123	0.705931925552033	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Macaca_arctoides	Chlorocebus_pygerythrus	68.34	21.69	29.836939314	0.24794047302684	0.245747368308979	0.676986353436435	0.648963881899529	0.683027931728261	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Sapajus_apella	Semnopithecus_vetulus	7.98	107.24	78.065338349	0.527557799627956	0.64297317005351	0.806408250442401	0.851029020140642	0.661655854426738	200.225426515027	201.528018115711	-1.30259160068329	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Theropithecus_gelada	Semnopithecus_vetulus	51.94	107.24	38.593674154	0.293914429976083	0.317870869961168	0.697031226190045	0.684064472989726	0.644499244445407	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Nomascus_concolor	0.76	94.1	78.0653383547	0.496093542386394	0.642973170100457	0.778478201164117	0.825251441279822	0.600644049308862	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Callithrix_jacchus	Nomascus_concolor	1.39	94.1	78.0653383543	0.49274515014616	0.642973170097163	0.77534403126162	0.822323277082459	0.594188107477646	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Saguinus_oedipus	Nomascus_concolor	2.35	94.1	78.0653383542	0.487642838161042	0.642973170096339	0.770507435048421	0.817791294806817	0.584367202125867	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Leontopithecus_chrysomelas	Nomascus_concolor	3.71	94.1	78.0653383557	0.480414562848791	0.642973170108693	0.763529471046263	0.811225024955215	0.570491420338504	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Chlorocebus_pygerythrus	Nomascus_concolor	21.69	94.1	62.1515760359	0.38485251129418	0.511901910793887	0.712158554035393	0.737769574693068	0.535407276630595	200.225426515027	201.528018115711	-1.30259160068329	BM	Cercopithecidae	OWM	Hylobatidae	APE	order
Sapajus_apella	Nomascus_concolor	7.98	94.1	78.065338351	0.45771990433165	0.642973170069983	0.740650452628498	0.789477019379951	0.527254433156846	200.225426515027	201.528018115711	-1.30259160068329	BM	Cebidae	PLA	Hylobatidae	APE	order
Cebuella_pygmaea	Papio_hamadryas	0.76	86.42	78.0653383526	0.455275046505448	0.642973170083161	0.738097225390524	0.787030153356768	0.522630281092056	200.225426515027	201.528018115711	-1.30259160068329	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
