Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Gorilla_beringei	Gorilla_gorilla	8900	10711.75	2.069936054	0.17038214314263	0.0170487104083346	0.997144699518861	0.982428383765365	9.96530804138009	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Hominidae	APE	family
Gorilla_gorilla	Hylobates_lar	10711.75	3226	45.7765141047	0.70398130428036	0.377031228073906	0.991227498554758	0.989307519047639	1.85079000176175	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_troglodytes	Gorilla_gorilla	7543.48	10711.75	20.238906202	0.297953157253761	0.16669464264491	0.904723686067234	0.852853879811798	1.61712022911387	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Hominidae	APE	family
Cercopithecus_ascanius	Gorilla_gorilla	1916	10711.75	62.1515760317	0.827177444761578	0.511901910756343	0.991777875437718	0.994112727712561	1.60260446686655	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	2164	10711.75	62.151576032	0.803854816639943	0.511901910758814	0.989779970487331	0.992556992965343	1.55428096666131	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	190	10711.75	78.0653383507	0.989495413059731	0.642973170063805	0.995210141104468	0.998231265578303	1.53156603650457	426.403627106249	425.77150640159	0.632120704658746	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	410	10711.75	78.0653383502	0.968805984887313	0.642973170059687	0.994252610207988	0.997795274781497	1.49809964725265	426.403627106249	425.77150640159	0.632120704658746	BM	Callitrichidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	731	10711.75	78.065338345	0.938618228326648	0.642973170016858	0.992544817458628	0.99698089981243	1.44892617848018	426.403627106249	425.77150640159	0.632120704658746	BM	Cebidae	PLA	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	3036	10711.75	62.151576031	0.721849446792904	0.511901910750577	0.978905540290413	0.983752899665485	1.38038637457918	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_beringei	Hylobates_lar	8900	3226	45.7765141047	0.53359916113773	0.377031228073906	0.953021397155297	0.946984751328617	1.34877797965502	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cebuella_pygmaea	Gorilla_beringei	190	8900	78.0653383507	0.819113269917101	0.642973170063805	0.980462540451171	0.990351608876811	1.24905659354416	426.403627106249	425.77150640159	0.632120704658746	BM	Callitrichidae	PLA	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_beringei	1916	8900	62.1515760317	0.656795301618948	0.511901910756343	0.964133995478546	0.971237498488731	1.23703128481352	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebus_albifrons	Gorilla_gorilla	2163	10711.75	78.0653383462	0.803948859495272	0.642973170026741	0.978087644001183	0.988923204228685	1.2229630761241	426.403627106249	425.77150640159	0.632120704658746	BM	Cebidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Gorilla_beringei	410	8900	78.0653383502	0.798423841744683	0.642973170059687	0.977161952964589	0.98835784256623	1.21340895207229	426.403627106249	425.77150640159	0.632120704658746	BM	Callitrichidae	PLA	Hominidae	APE	order
Piliocolobus_badius	Gorilla_beringei	2164	8900	62.151576032	0.633472673497313	0.511901910758814	0.957022452072597	0.965062007564042	1.18430417736225	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saimiri_sciureus	Gorilla_beringei	731	8900	78.065338345	0.768236085184018	0.642973170016858	0.971481152474324	0.984793517593457	1.16074342166931	426.403627106249	425.77150640159	0.632120704658746	BM	Cebidae	PLA	Hominidae	APE	order
Ateles_geoffroyi	Gorilla_gorilla	2930	10711.75	78.065338351	0.731817989457796	0.642973170066276	0.963044399838919	0.979241716082859	1.09611605780699	426.403627106249	425.77150640159	0.632120704658746	BM	Atelidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Pongo_pygmaeus	190	7666.67	78.0653383547	0.703127395153972	0.64297317009675	0.954979574943478	0.97369624067269	1.04432398144112	426.403627106249	425.77150640159	0.632120704658746	BM	Callitrichidae	PLA	Hominidae	APE	order
Cebuella_pygmaea	Pan_troglodytes	190	7543.48	78.0653383507	0.691542255805971	0.642973170063805	0.951326071264983	0.971117858349121	1.02318760402449	426.403627106249	425.77150640159	0.632120704658746	BM	Callitrichidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Carlito_syrichta	10711.75	175	115.745494551	0.990906055889669	0.953319989695427	0.979654996536146	0.996635794057893	1.01827935975661	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Tarsiidae	TAR	order
Papio_anubis	Gorilla_gorilla	4788	10711.75	62.1515760319	0.557086364256192	0.51190191075799	0.924903731057215	0.936369019130547	1.0065429450316	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Pongo_pygmaeus	410	7666.67	78.0653383542	0.682437966981553	0.642973170092632	0.948283066792336	0.968941648862903	1.00648735954497	426.403627106249	425.77150640159	0.632120704658746	BM	Callitrichidae	PLA	Hominidae	APE	order
Nasalis_larvatus	Gorilla_beringei	3036	8900	62.151576031	0.551467303650273	0.511901910750577	0.92191772156543	0.933649537607175	0.99317363233444	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Pan_troglodytes	410	7543.48	78.0653383502	0.670852827633552	0.642973170059687	0.944182241823246	0.965970192012155	0.985122484457186	426.403627106249	425.77150640159	0.632120704658746	BM	Callitrichidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Microcebus_murinus	10711.75	78.3	121.41305731	1	0.99999999993658	0.977740921499372	0.996740033445808	0.97774092156138	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Cheirogaleidae	STR	order
Pongo_pygmaeus	Hylobates_lar	7666.67	3226	45.7765141087	0.417613286374601	0.377031228106852	0.879982143269736	0.870034836146414	0.974699726192683	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_ascanius	Pongo_pygmaeus	1916	7666.67	62.1515760357	0.540809426855818	0.511901910789288	0.915988743277206	0.928228441498832	0.967715370498072	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_gorilla	Cheirogaleus_major	10711.75	271	121.41305731	0.981877941778068	0.99999999993658	0.975199242491396	0.996132619430376	0.957526625101709	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Cheirogaleidae	STR	order
Gorilla_gorilla	Lepilemur_ruficaudatus	10711.75	337	121.413057307	0.975671113326343	0.999999999911871	0.97427271813268	0.99590202872714	0.950569747667767	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Lepilemuridae	STR	order
Saimiri_sciureus	Pongo_pygmaeus	731	7666.67	78.065338349	0.652250210420889	0.642973170049803	0.937032904162096	0.960691133969588	0.950552740581202	426.403627106249	425.77150640159	0.632120704658746	BM	Cebidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Loris_tardigradus	10711.75	348	121.4130573117	0.974636641917722	0.999999999950582	0.974115421751796	0.995862405936043	0.949408583543353	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Lorisidae	STR	order
Gorilla_gorilla	Otolemur_crassicaudatus	10711.75	437	121.413057313	0.966266827793425	0.999999999961289	0.972811887933595	0.995528814172395	0.939995857029716	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Galagidae	STR	order
Cercopithecus_ascanius	Pan_troglodytes	1916	7543.48	62.1515760317	0.529224287507817	0.511901910756343	0.909135946959724	0.921929522171614	0.939900425584694	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pan_troglodytes	Hylobates_lar	7543.48	3226	45.7765141047	0.4060281470266	0.377031228073906	0.869356526344481	0.85904184069299	0.936217462145971	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Saimiri_sciureus	Pan_troglodytes	731	7543.48	78.065338345	0.640665071072888	0.642973170016858	0.932209523728153	0.957064094120871	0.928863144878132	426.403627106249	425.77150640159	0.632120704658746	BM	Cebidae	PLA	Hominidae	APE	order
Gorilla_gorilla	Perodicticus_potto	10711.75	587	121.413057312	0.952160399494049	0.999999999953053	0.970486605026692	0.994911059444043	0.924058913589221	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Lorisidae	STR	order
Cebus_albifrons	Gorilla_beringei	2163	8900	78.0653383462	0.633566716352642	0.642973170026741	0.929106833168658	0.95470494418948	0.915514352499322	426.403627106249	425.77150640159	0.632120704658746	BM	Cebidae	PLA	Hominidae	APE	order
Piliocolobus_badius	Pongo_pygmaeus	2164	7666.67	62.151576036	0.517486798734183	0.511901910791759	0.901741644663104	0.915095986735664	0.911579713113896	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Pan_troglodytes	2164	7543.48	62.151576032	0.505901659386182	0.511901910758814	0.893979645766493	0.907884587671029	0.883500875353888	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_gorilla	Eulemur_fulvus	10711.75	1028	121.4130573104	0.910687500293884	0.999999999939875	0.962635292393528	0.992623077780394	0.876659928177243	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Lemuridae	STR	order
Papio_anubis	Cercopithecus_ascanius	4788	1916	29.8369393136	0.270091080505386	0.245747368304268	0.787033703000902	0.741996970087647	0.86499719083249	426.403627106249	425.77150640159	0.632120704658746	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Gorilla_gorilla	Propithecus_verreauxi	10711.75	1341	121.413057311	0.881252086575853	0.999999999944817	0.956039754026118	0.99047825304342	0.842512028131474	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Indriidae	STR	order
Gorilla_beringei	Carlito_syrichta	8900	175	115.745494551	0.820523912747039	0.953319989695427	0.9452711379256	0.984823290916071	0.813596254228718	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Tarsiidae	TAR	order
Gorilla_beringei	Microcebus_murinus	8900	78.3	121.41305731	0.82961785685737	0.99999999993658	0.942097858954001	0.985345925830693	0.781581206744903	426.403627106249	425.77150640159	0.632120704658746	BM	Hominidae	APE	Cheirogaleidae	STR	order
