Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Papio_hamadryas	Papio_anubis	7700	10001	3.47880109	0.200639500258538	0.0286526109040897	0.996558473647039	0.988886988704344	6.97838653518356	779.851814560687	778.956427929182	0.895386631504607	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Pan_paniscus	Pan_troglodytes	11600	8847	4.786270704	0.240052387749568	0.0394213835788339	0.997153242093047	0.99076996522904	6.07206026236939	779.851814560687	778.956427929182	0.895386631504607	BM	Hominidae	APE	Hominidae	APE	family
Macaca_fascicularis	Papio_anubis	2800	10001	22.4016461425	0.627903103590497	0.184507718011597	0.999690950174106	0.999247113213714	3.4020747587708	779.851814560687	778.956427929182	0.895386631504607	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Papio_anubis	4301.5	10001	22.4016461426	0.496977327998061	0.18450771801242	0.995701255892875	0.992345986165557	2.68195257612283	779.851814560687	778.956427929182	0.895386631504607	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Papio_hamadryas	2800	7700	22.4016461425	0.427263603331959	0.184507718011597	0.985904761777147	0.9781435522824	2.28305474480241	779.851814560687	778.956427929182	0.895386631504607	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Cercopithecus_nictitans	10001	4140	29.8369393137	0.511059587577267	0.245747368305091	0.989048657366073	0.98544483727502	2.05683911251424	779.851814560687	778.956427929182	0.895386631504607	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Cercopithecus_mitis	10001	4232	29.8369393137	0.503037495433075	0.245747368305091	0.987730972345546	0.983823562120676	2.02185568829176	779.851814560687	778.956427929182	0.895386631504607	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Cercopithecus_ascanius	10001	4272	29.8369393136	0.499549629283427	0.245747368304268	0.987115529156552	0.983070512338049	2.00658586927177	779.851814560687	778.956427929182	0.895386631504607	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Piliocolobus_badius	10001	3053	38.5936741539	0.605842350193969	0.317870869958512	0.991997334856066	0.991445177618623	1.89068597828355	779.851814560687	778.956427929182	0.895386631504607	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_fascicularis	Macaca_mulatta	2800	4301.5	7.3270128521	0.130925775592436	0.0603478160749012	0.81159276079937	0.753620325494375	1.76076647978413	779.851814560687	778.956427929182	0.895386631504607	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
