Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Macaca_nigra	Papio_hamadryas	372.86	1314.48	22.4016461419	0.724105845169526	0.184507718007719	0.99759664193063	0.993536998982895	3.91509670892597	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Chlorocebus_pygerythrus	1314.48	286.62	29.8369393138	0.790424411138197	0.245747368307332	0.995906747067199	0.992800525241044	3.20324489951277	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Mandrillus_sphinx	372.86	1086.07	22.401646142	0.548458539361268	0.184507718008542	0.978494263744179	0.96086061119014	2.90862377172573	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Papio_hamadryas	895.41	1314.48	12.5784127639	0.322264859003837	0.10360016493991	0.92857056369512	0.872941316839265	2.88846704016242	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_nigra	732.28	372.86	10.9824679321	0.27639400487546	0.0904554104376569	0.902008341432261	0.834535478976484	2.75616125904776	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Chlorocebus_pygerythrus	1086.07	286.62	29.8369393139	0.614777105329939	0.245747368308156	0.974445735609984	0.963406099476581	2.43773486879505	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Semnopithecus_vetulus	1314.48	339.24	38.5936741539	0.749959627496366	0.317870869960345	0.983381331459763	0.981349738823437	2.32011287199878	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Papio_hamadryas	732.28	1314.48	22.401646142	0.447711840294066	0.184507718008542	0.939438551170222	0.907782834959059	2.27956731093568	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nigra	Theropithecus_gelada	372.86	895.41	22.401646142	0.401840986165689	0.184507718008542	0.907896744435253	0.869287693690717	1.97731632615818	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Theropithecus_gelada	Chlorocebus_pygerythrus	895.41	286.62	29.8369393139	0.46815955213436	0.245747368308156	0.910942919983951	0.88856152258282	1.73538635378135	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Mandrillus_sphinx	Semnopithecus_vetulus	1086.07	339.24	38.593674154	0.574312321688109	0.317870869961168	0.933360562782012	0.928373376455974	1.68634663455931	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Papio_hamadryas	25.26	1314.48	78.0653383526	0.991410269226924	0.642973170083161	0.973996670648734	0.991972545637616	1.50182052129655	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Papio_hamadryas	39.61	1314.48	78.0653383522	0.980375118233761	0.642973170079866	0.97229109024177	0.991243214562684	1.48250352722339	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Papio_hamadryas	48.15	1314.48	78.0653383521	0.973807857642707	0.642973170079043	0.97123094484405	0.990781586867868	1.47096701649093	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Papio_hamadryas	51.6	1314.48	78.0653383536	0.971154807403933	0.642973170091397	0.97079286371401	0.990589020849298	1.46629781839151	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Colobus_guereza	1314.48	669.6	38.5936741539	0.495912764632149	0.317870869960345	0.88674363339211	0.880187925529201	1.38341549450661	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Sapajus_apella	Papio_hamadryas	148.02	1314.48	78.0653383489	0.897007820730704	0.642973170052686	0.956009999351603	0.983537263461399	1.33372353008894	277.219350880173	277.340239907972	-0.120889027799365	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Mandrillus_sphinx	25.26	1086.07	78.0653383527	0.815762963418667	0.642973170083984	0.933012043783286	0.970835285872734	1.18374561358842	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Mandrillus_sphinx	39.61	1086.07	78.0653383523	0.804727812425503	0.64297317008069	0.929233970596106	0.968582654510922	1.16300408039643	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Mandrillus_sphinx	48.15	1086.07	78.0653383522	0.79816055183445	0.642973170079866	0.9269037880219	0.967172456119762	1.15062038879959	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Mandrillus_sphinx	51.6	1086.07	78.0653383537	0.795507501595675	0.642973170092221	0.925944804609398	0.966587579716063	1.14560929194708	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Theropithecus_gelada	Semnopithecus_vetulus	895.41	339.24	38.593674154	0.427694768492529	0.317870869961168	0.828019235036526	0.820267427854509	1.11409861205454	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Mandrillus_sphinx	732.28	1086.07	22.4016461421	0.272064534485808	0.184507718009366	0.745888224840397	0.693795109803981	1.09984414125889	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Chlorocebus_pygerythrus	732.28	286.62	29.836939314	0.342712570844131	0.245747368308979	0.786779762662788	0.756076563729965	1.09722157761332	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Sapajus_apella	Mandrillus_sphinx	148.02	1086.07	78.065338349	0.721360514922446	0.64297317005351	0.894720211544313	0.946248282080766	1.00379901148506	277.219350880173	277.340239907972	-0.120889027799365	BM	Cebidae	PLA	Cercopithecidae	OWM	order
Papio_hamadryas	Cheirogaleus_medius	1314.48	14.09	121.4130573119	1	0.999999999957995	0.928222632496544	0.989045165099844	0.928222632535534	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cheirogaleidae	STR	order
Cebuella_pygmaea	Theropithecus_gelada	25.26	895.41	78.0653383527	0.669145410223087	0.642973170083984	0.867040349462988	0.926419813678858	0.902333250150387	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Cebuella_pygmaea	Nomascus_concolor	25.26	892.02	78.0653383547	0.666538499988465	0.642973170100457	0.865523138875957	0.925290630799663	0.897245050834008	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Callithrix_jacchus	Theropithecus_gelada	39.61	895.41	78.0653383523	0.658110259229923	0.64297317008069	0.860526254023508	0.921542736972285	0.880785050546502	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Callithrix_jacchus	Nomascus_concolor	39.61	892.02	78.0653383543	0.655503348995301	0.642973170097163	0.858952089056346	0.920352979268539	0.875691237501964	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Saguinus_oedipus	Theropithecus_gelada	48.15	895.41	78.0653383522	0.65154299863887	0.642973170079866	0.856534572218974	0.918517504824972	0.867950840860268	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Saguinus_oedipus	Nomascus_concolor	48.15	892.02	78.0653383542	0.648936088404248	0.642973170096339	0.854925971589967	0.917290673388215	0.862854535276592	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Leontopithecus_chrysomelas	Theropithecus_gelada	51.6	895.41	78.0653383537	0.648889948400095	0.642973170092221	0.854897376865852	0.91726882546205	0.862764327603739	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Cercopithecidae	OWM	order
Leontopithecus_chrysomelas	Nomascus_concolor	51.6	892.02	78.0653383557	0.646283038165473	0.642973170108693	0.853274752235185	0.916026799933733	0.857667201216536	277.219350880173	277.340239907972	-0.120889027799365	BM	Callitrichidae	PLA	Hylobatidae	APE	order
Papio_hamadryas	Eulemur_fulvus	1314.48	134.97	121.4130573123	0.907043271633894	0.999999999961289	0.897563904776837	0.978980924271639	0.814129300720791	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Lemuridae	STR	order
Semnopithecus_vetulus	Colobus_guereza	339.24	669.6	27.017026324	0.254046862864218	0.22252158804848	0.667792985385983	0.628354952848425	0.76240114259421	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_hamadryas	Lemur_catta	1314.48	190.2	121.4130573139	0.864571397811426	0.999999999974467	0.880454631150638	0.972163819520994	0.761215891182886	277.219350880173	277.340239907972	-0.120889027799365	BM	Cercopithecidae	OWM	Lemuridae	STR	order
