Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_paniscus	Pan_troglodytes	5.78	10.18	4.786270704	0.235042735042735	0.0394213835788339	0.996684536742391	0.981041205765928	5.84927740376552	216.271499370662	212.953025528264	3.31847384239833	OU	Hominidae	APE	Hominidae	APE	family
Pan_paniscus	Gorilla_gorilla	5.78	18.98	20.238906202	0.705128205128205	0.16669464264491	0.999981693460459	0.999845637181728	4.22940622664783	216.271499370662	212.953025528264	3.31847384239833	OU	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Gorilla_gorilla	10.18	18.98	20.238906202	0.47008547008547	0.16669464264491	0.995715281708421	0.988351880344485	2.78719130327001	216.271499370662	212.953025528264	3.31847384239833	OU	Hominidae	APE	Hominidae	APE	family
Gorilla_gorilla	Hylobates_lar	18.98	3.92	45.7765141047	0.80448717948718	0.377031228073906	0.998847481904348	0.99914229802716	2.13191138928324	216.271499370662	212.953025528264	3.31847384239833	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Papio_anubis	Cercopithecus_ascanius	12.32	4.14	29.8369393136	0.436965811965812	0.245747368304268	0.971241889148757	0.959403575670046	1.70592493151954	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Cercopithecus_mitis	12.32	4.28	29.8369393137	0.429487179487179	0.245747368305091	0.968394116113516	0.955841526898041	1.67050285932056	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Erythrocebus_patas	12.32	4.66	29.8369393139	0.409188034188034	0.245747368306739	0.959417773530389	0.944820648797031	1.57319814492971	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cercopithecus_ascanius	Gorilla_gorilla	4.14	18.98	62.1515760317	0.792735042735043	0.511901910756343	0.99401802491968	0.997870042839841	1.54530884615351	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Gorilla_gorilla	4.28	18.98	62.1515760318	0.78525641025641	0.511901910757166	0.993527582182772	0.997653862297444	1.53039884033128	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Gorilla_gorilla	0.56	18.98	78.0653383507	0.983974358974359	0.642973170063805	0.997667953707957	0.999758845843695	1.52998152220002	216.271499370662	212.953025528264	3.31847384239833	OU	Callitrichidae	PLA	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	4.36	18.98	62.1515760308	0.780982905982906	0.51190191074893	0.993231361814962	0.997521487177942	1.52186818114597	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	4.46	18.98	62.151576032	0.775641025641026	0.511901910758814	0.992843981439044	0.997346418039307	1.51119341879521	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Hominidae	APE	order
Callithrix_jacchus	Gorilla_gorilla	0.94	18.98	78.0653383503	0.963675213675214	0.64297317006051	0.997131780846986	0.999676521695811	1.49829499971304	216.271499370662	212.953025528264	3.31847384239833	OU	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_midas	Gorilla_gorilla	1.04	18.98	78.0653383511	0.958333333333333	0.642973170067099	0.996973092839307	0.999650844039431	1.48995132322211	216.271499370662	212.953025528264	3.31847384239833	OU	Callitrichidae	PLA	Hominidae	APE	order
Erythrocebus_patas	Gorilla_gorilla	4.66	18.98	62.151576032	0.764957264957265	0.511901910758814	0.992008998288364	0.996961939208442	1.48980353902742	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Hominidae	APE	order
Saguinus_oedipus	Gorilla_gorilla	1.08	18.98	78.0653383502	0.956196581196581	0.642973170059687	0.996907405566985	0.99964004887718	1.48661319270105	216.271499370662	212.953025528264	3.31847384239833	OU	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Gorilla_gorilla	1.1	18.98	78.0653383533	0.955128205128205	0.642973170085219	0.996874076840547	0.999634535001908	1.48494398152569	216.271499370662	212.953025528264	3.31847384239833	OU	Callitrichidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Gorilla_gorilla	1.52	18.98	78.065338345	0.932692307692308	0.642973170016858	0.996094076151499	0.999498826255834	1.44986588907258	216.271499370662	212.953025528264	3.31847384239833	OU	Cebidae	PLA	Hominidae	APE	order
Aotus_trivirgatus	Gorilla_gorilla	1.72	18.98	78.0653383541	0.922008547008547	0.642973170091808	0.995663774164266	0.999418853569594	1.4331433532461	216.271499370662	212.953025528264	3.31847384239833	OU	Aotidae	PLA	Hominidae	APE	order
Plecturocebus_moloch	Gorilla_gorilla	2	18.98	78.0653383522	0.907051282051282	0.642973170076159	0.994989070162472	0.999286802020037	1.40970792731808	216.271499370662	212.953025528264	3.31847384239833	OU	Pitheciidae	PLA	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	5.64	18.98	62.151576031	0.712606837606838	0.511901910750577	0.986523681336744	0.994237997698048	1.38405577414103	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Hominidae	APE	order
Ateles_geoffroyi	Gorilla_gorilla	3.6	18.98	78.065338351	0.821581196581197	0.642973170066276	0.988974639410354	0.997827245452264	1.27500825923341	216.271499370662	212.953025528264	3.31847384239833	OU	Atelidae	PLA	Hominidae	APE	order
Papio_anubis	Pygathrix_nemaeus	12.32	4.36	38.5936741527	0.425213675213675	0.317870869948629	0.93866175023444	0.934747029299764	1.25040466837321	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Papio_anubis	Piliocolobus_badius	12.32	4.46	38.5936741539	0.419871794871795	0.317870869958512	0.935331611008638	0.931295989207078	1.23013762977499	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebus_albifrons	Gorilla_gorilla	4.32	18.98	78.0653383462	0.783119658119658	0.642973170026741	0.984602736295288	0.996522443151479	1.21373076104699	216.271499370662	212.953025528264	3.31847384239833	OU	Cebidae	PLA	Hominidae	APE	order
Alouatta_seniculus	Gorilla_gorilla	4.52	18.98	78.0653383544	0.772435897435898	0.642973170094279	0.983144429007444	0.996050510280124	1.19660540374787	216.271499370662	212.953025528264	3.31847384239833	OU	Atelidae	PLA	Hominidae	APE	order
Pongo_pygmaeus	Hylobates_lar	12.62	3.92	45.7765141087	0.46474358974359	0.377031228106852	0.939578913812828	0.945859310817616	1.16590356111616	216.271499370662	212.953025528264	3.31847384239833	OU	Hominidae	APE	Hylobatidae	APE	superfamily
Macaca_mulatta	Gorilla_gorilla	7.68	18.98	62.1515760327	0.603632478632479	0.511901910764579	0.963656594968113	0.980654236681919	1.15638315685441	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Hominidae	APE	order
Macaca_mulatta	Papio_anubis	7.68	12.32	22.4016461426	0.247863247863248	0.18450771801242	0.847728971893071	0.799937628321501	1.07461704464007	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Gorilla_gorilla	Carlito_syrichta	18.98	0.72	115.745494551	0.97542735042735	0.953319989695427	0.98680428349317	0.999523600794234	1.02270241697524	216.271499370662	212.953025528264	3.31847384239833	OU	Hominidae	APE	Tarsiidae	TAR	order
Gorilla_gorilla	Microcebus_murinus	18.98	0.26	121.41305731	1	0.99999999993658	0.986893649805792	0.999643821699727	0.999643821763124	216.271499370662	212.953025528264	3.31847384239833	OU	Hominidae	APE	Cheirogaleidae	STR	order
Papio_anubis	Nasalis_larvatus	12.32	5.64	38.5936741529	0.356837606837607	0.317870869950276	0.88362607049734	0.878154948643905	0.985805054598778	216.271499370662	212.953025528264	3.31847384239833	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
