Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Leontopithecus_rosalia	Leontopithecus_chrysomelas	9.01428571428571	7.47222222222222	1.4560128688	0.167644586887045	0.0119922263796461	0.962341666380929	0.839502485802138	11.7357730722809	174.709786526147	164.012703148471	10.6970833776759	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Varecia_rubra	Varecia_variegata	6.85754901960784	9.53383333333333	3.814273482	0.290950781518349	0.0314156777389774	0.974171748001563	0.885927002381795	8.20485732801452	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Propithecus_tattersalli	Propithecus_coquereli	10.7	6.46078431372549	8.601073458	0.460864008588635	0.0708414205853214	0.981276499017691	0.932880482979545	6.06892176028918	174.709786526147	164.012703148471	10.6970833776759	OU	Indriidae	STR	Indriidae	STR	family
Eulemur_fulvus	Eulemur_collaris	5.325	8.42936507936508	7.651134656	0.337489347199524	0.0630173955340987	0.932055222323471	0.837306276422721	4.48418958354227	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Macaca_fascicularis	Macaca_mulatta	11.0612903225806	8.28783629409859	7.3270128521	0.301514533771177	0.0603478160748515	0.904381478093471	0.79471086222751	3.9705972923728	174.709786526147	164.012703148471	10.6970833776759	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_nemestrina	Macaca_nigra	8.83101500917827	11.3833333333333	7.6582823365	0.277473886943941	0.0630762663067973	0.866403152146257	0.748795489542962	3.29396787690312	174.709786526147	164.012703148471	10.6970833776759	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_mulatta	Macaca_nigra	8.28783629409859	11.3833333333333	10.9824679327	0.336525263079898	0.0904554104420027	0.871294174929022	0.783730861259556	2.91574857690036	174.709786526147	164.012703148471	10.6970833776759	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Macaca_arctoides	Macaca_mulatta	11.125	8.28783629409859	10.2479298856	0.308440696414059	0.0844055006273002	0.850550343097236	0.752962646124653	2.75153066113493	174.709786526147	164.012703148471	10.6970833776759	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Nycticebus_pygmaeus	Galago_moholi	11.6583333333333	3.125	43.154528579	0.927696653736231	0.355435646975288	0.965377470849693	0.993036422490586	2.59185192600213	174.709786526147	164.012703148471	10.6970833776759	OU	Lorisidae	STR	Galagidae	STR	superfamily
Nycticebus_pygmaeus	Loris_tardigradus	11.6583333333333	7	22.2897034077	0.506428153748585	0.183585718868412	0.891461547982593	0.884811630018246	2.44078636926326	174.709786526147	164.012703148471	10.6970833776759	OU	Lorisidae	STR	Lorisidae	STR	family
Eulemur_albifrons	Eulemur_fulvus	7.64375	5.325	9.5384061272	0.252081634670027	0.0785616171597847	0.777958780272523	0.666868851904854	2.139790350252	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Callithrix_jacchus	Saguinus_oedipus	6.85196850393701	11.1107156862745	26.3249190819	0.462987364472239	0.216821153041178	0.822990296213076	0.840019454239252	1.79372901475982	174.709786526147	164.012703148471	10.6970833776759	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Macaca_arctoides	Macaca_nemestrina	11.125	8.83101500917827	10.9824679326	0.249389320278102	0.0904554104411791	0.739772956057764	0.640512605197795	1.76591983233228	174.709786526147	164.012703148471	10.6970833776759	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Cebuella_pygmaea	Callithrix_jacchus	8.68055555555556	6.85196850393701	8.0860732424	0.198793838537336	0.0665997004031833	0.70439098403501	0.580098071260366	1.7315381543134	174.709786526147	164.012703148471	10.6970833776759	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Pan_paniscus	Gorilla_gorilla	12.3234090909091	8.87050925925926	20.238906202	0.37538011166109	0.166694642644773	0.788092695368904	0.764987923853943	1.72267835198291	174.709786526147	164.012703148471	10.6970833776759	OU	Hominidae	APE	Hominidae	APE	family
Macaca_fascicularis	Macaca_nemestrina	11.0612903225806	8.83101500917827	10.9824679331	0.24246315763522	0.0904554104452973	0.726302329701913	0.627013520521549	1.68069192674294	174.709786526147	164.012703148471	10.6970833776759	OU	Cercopithecidae	OWM	Cercopithecidae	OWM	family
Eulemur_mongoz	Eulemur_collaris	5.61006666666667	8.42936507936508	15.6477288174	0.306498480860648	0.128880115228809	0.753623966663163	0.694041178421712	1.65054606339643	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Leontopithecus_chrysomelas	Saguinus_oedipus	7.47222222222222	11.1107156862745	26.3249190833	0.395556821629976	0.216821153052709	0.751253604529912	0.770050756346484	1.4048390822833	174.709786526147	164.012703148471	10.6970833776759	OU	Callitrichidae	PLA	Callitrichidae	PLA	family
Eulemur_fulvus	Eulemur_macaco	5.325	7.64239583333333	14.8274950171	0.251934417183472	0.122124385504014	0.672336891487523	0.606073110924596	1.25028818234129	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Daubentonia_madagascariensis	Galago_moholi	12.1352777777778	3.125	99.360634015	0.979547407462315	0.818368602274156	0.858489026477122	0.995118769624585	1.19110875978634	174.709786526147	164.012703148471	10.6970833776759	OU	Daubentoniidae	STR	Galagidae	STR	superfamily
Eulemur_sanfordi	Eulemur_collaris	6.81166666666667	8.42936507936508	9.5384061272	0.175867195806414	0.0785616171597847	0.605744302181744	0.500459786067394	1.12032392371124	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_collaris	Eulemur_coronatus	8.42936507936508	6.27857142857143	14.8274950171	0.233822352271689	0.122124385504014	0.636365614468023	0.571189275531297	1.0936130359706	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_rubriventer	Eulemur_fulvus	8.094	5.325	22.8374257184	0.301030316507301	0.188096949561387	0.654018591193245	0.649023589789587	1.0386972096605	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Pan_troglodytes	Gorilla_gorilla	11.4294061547275	8.87050925925926	20.238906202	0.278189072716632	0.166694642644773	0.645099752870946	0.621181092518895	1.0366607431121	174.709786526147	164.012703148471	10.6970833776759	OU	Hominidae	APE	Hominidae	APE	family
Eulemur_fulvus	Eulemur_flavifrons	5.325	7.39521739130435	14.8274950171	0.225062548408547	0.122124385504014	0.618114492505058	0.553692991972024	1.02039863123881	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Pan_paniscus	Galago_moholi	12.3234090909091	3.125	121.413057313	1	0.999999999960466	0.825458900356378	0.995937979684892	0.995937979724266	174.709786526147	164.012703148471	10.6970833776759	OU	Hominidae	APE	Galagidae	STR	order
Propithecus_tattersalli	Galago_moholi	10.7	3.125	99.360634018	0.823511970943591	0.818368602298865	0.783540080641354	0.982037726197986	0.988209739682712	174.709786526147	164.012703148471	10.6970833776759	OU	Indriidae	STR	Galagidae	STR	superfamily
Pongo_pygmaeus	Galago_moholi	11.9942372134039	3.125	121.413057317	0.964214259851682	0.999999999993411	0.809522469834125	0.99440265107609	0.9588172162082	174.709786526147	164.012703148471	10.6970833776759	OU	Hominidae	APE	Galagidae	STR	order
Eulemur_sanfordi	Eulemur_fulvus	6.81166666666667	5.325	9.5384061272	0.16162215139311	0.0785616171597847	0.566325951037677	0.465085725574999	0.956805094742056	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Daubentonia_madagascariensis	Eulemur_fulvus	12.1352777777778	5.325	92.4969438824	0.740375613920942	0.761836872621437	0.750559439432822	0.966635091368643	0.939404582436389	174.709786526147	164.012703148471	10.6970833776759	OU	Daubentoniidae	STR	Lemuridae	STR	superfamily
Eulemur_mongoz	Eulemur_albifrons	5.61006666666667	7.64375	15.6477288182	0.22109076833115	0.128880115235398	0.59694594834156	0.539769505369537	0.925961731535596	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Eulemur_mongoz	Eulemur_macaco	5.61006666666667	7.64239583333333	15.6477288181	0.220943550844595	0.128880115234574	0.596632691262261	0.539470746224631	0.924832989408115	174.709786526147	164.012703148471	10.6970833776759	OU	Lemuridae	STR	Lemuridae	STR	family
Loris_tardigradus	Galago_moholi	7	3.125	43.1545285787	0.421268499987646	0.355435646972817	0.662643318331081	0.779586705260509	0.923979698526191	174.709786526147	164.012703148471	10.6970833776759	OU	Lorisidae	STR	Galagidae	STR	superfamily
Pan_paniscus	Pan_troglodytes	12.3234090909091	11.4294061547275	4.786270704	0.0971910389444577	0.0394213835788014	0.493714884507735	0.369162767308502	0.910148493966564	174.709786526147	164.012703148471	10.6970833776759	OU	Hominidae	APE	Hominidae	APE	family
Pan_troglodytes	Galago_moholi	11.4294061547275	3.125	121.413057313	0.902808961055542	0.999999999960466	0.779723923823041	0.99051460135422	0.894245458194302	174.709786526147	164.012703148471	10.6970833776759	OU	Hominidae	APE	Galagidae	STR	order
