Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel	family_1	superfamily_1	family_2	superfamily_2	taxonomic_level
Pan_paniscus	Pan_troglodytes	8.18	15.68	4.786270704	0.316188870151771	0.0394213835788339	0.999884616172826	0.998308236854509	8.01981966050454	237.157973846263	235.450750937682	1.70722290858106	BM	Hominidae	APE	Hominidae	APE	family
Pan_paniscus	Gorilla_gorilla	8.18	20.4	20.238906202	0.515177065767285	0.16669464264491	0.997749958571957	0.993271257983124	3.08358977751602	237.157973846263	235.450750937682	1.70722290858106	BM	Hominidae	APE	Hominidae	APE	family
Pongo_pygmaeus	Hylobates_lar	24.22	4.88	45.7765141087	0.815345699831366	0.377031228106852	0.998695499023229	0.998834615710752	2.15972052144911	237.157973846263	235.450750937682	1.70722290858106	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Pan_paniscus	Pongo_pygmaeus	8.18	24.22	40.643277586	0.676222596964587	0.334752113849248	0.995342143780296	0.994691893468633	2.01066049022329	237.157973846263	235.450750937682	1.70722290858106	BM	Hominidae	APE	Hominidae	APE	family
Piliocolobus_badius	Pongo_pygmaeus	3.02	24.22	62.151576036	0.893760539629005	0.511901910791759	0.997509578691252	0.999018068717637	1.74161236858299	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Pongo_pygmaeus	3.14	24.22	62.1515760348	0.888701517706577	0.511901910781876	0.997364924761074	0.998950831165691	1.73150305492834	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
Gorilla_gorilla	Hylobates_lar	20.4	4.88	45.7765141047	0.654300168634064	0.377031228073906	0.990119095032667	0.990834939222995	1.7182531382273	237.157973846263	235.450750937682	1.70722290858106	BM	Hominidae	APE	Hylobatidae	APE	superfamily
Cercopithecus_ascanius	Pongo_pygmaeus	3.98	24.22	62.1515760357	0.853288364249578	0.511901910789288	0.996117379786481	0.998347153415138	1.66042624902108	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_mitis	Pongo_pygmaeus	4.14	24.22	62.1515760358	0.84654300168634	0.511901910790112	0.995826189669052	0.998200941949776	1.6468188025693	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
Nasalis_larvatus	Pongo_pygmaeus	4.36	24.22	62.151576035	0.837268128161889	0.511901910783523	0.995393440407444	0.997980456469985	1.62806816125952	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
Erythrocebus_patas	Pongo_pygmaeus	4.8	24.22	62.151576036	0.818718381112985	0.511901910791759	0.994403979376541	0.997463415385475	1.59041566168066	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebuella_pygmaea	Pongo_pygmaeus	0.56	24.22	78.0653383547	0.997470489038786	0.64297317009675	0.997403182917979	0.999559467038404	1.5473122159737	237.157973846263	235.450750937682	1.70722290858106	BM	Callitrichidae	PLA	Hominidae	APE	order
Callithrix_jacchus	Pongo_pygmaeus	0.88	24.22	78.0653383543	0.98397976391231	0.642973170093456	0.997032560550402	0.999473690618183	1.52581773108927	237.157973846263	235.450750937682	1.70722290858106	BM	Callitrichidae	PLA	Hominidae	APE	order
Callimico_goeldii	Pongo_pygmaeus	1.08	24.22	78.0653383573	0.975548060708263	0.642973170118165	0.99677704060623	0.999412428545018	1.51235534251487	237.157973846263	235.450750937682	1.70722290858106	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_midas	Pongo_pygmaeus	1.12	24.22	78.0653383551	0.973861720067454	0.642973170100045	0.996723591209575	0.999399405589229	1.50966011663618	237.157973846263	235.450750937682	1.70722290858106	BM	Callitrichidae	PLA	Hominidae	APE	order
Saguinus_oedipus	Pongo_pygmaeus	1.24	24.22	78.0653383542	0.968802698145025	0.642973170092632	0.996558362127244	0.999358707026226	1.50156876677882	237.157973846263	235.450750937682	1.70722290858106	BM	Callitrichidae	PLA	Hominidae	APE	order
Saimiri_sciureus	Pongo_pygmaeus	1.64	24.22	78.065338349	0.951939291736931	0.642973170049803	0.995951346566785	0.999203773998715	1.47453309658596	237.157973846263	235.450750937682	1.70722290858106	BM	Cebidae	PLA	Hominidae	APE	order
Aotus_trivirgatus	Pongo_pygmaeus	1.74	24.22	78.0653383581	0.947723440134907	0.642973170124754	0.995785130954674	0.999159948016148	1.46775783779663	237.157973846263	235.450750937682	1.70722290858106	BM	Aotidae	PLA	Hominidae	APE	order
Plecturocebus_moloch	Pongo_pygmaeus	1.96	24.22	78.0653383562	0.938448566610455	0.642973170109105	0.995397469469599	0.999055541208618	1.45282785014639	237.157973846263	235.450750937682	1.70722290858106	BM	Pitheciidae	PLA	Hominidae	APE	order
Piliocolobus_badius	Gorilla_gorilla	3.02	20.4	62.151576032	0.732715008431703	0.511901910758814	0.986844126448723	0.993103763979166	1.41252745347211	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
Pygathrix_nemaeus	Gorilla_gorilla	3.14	20.4	62.1515760308	0.727655986509275	0.51190191074893	0.986199005664741	0.992706973790194	1.401857651423	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
Alouatta_seniculus	Pongo_pygmaeus	3.24	24.22	78.0653383584	0.884485666104553	0.642973170127225	0.992430044575201	0.998169476194351	1.36520494138905	237.157973846263	235.450750937682	1.70722290858106	BM	Atelidae	PLA	Hominidae	APE	order
Ateles_geoffroyi	Pongo_pygmaeus	3.56	24.22	78.065338355	0.870994940978078	0.642973170099221	0.991459939553832	0.997851519660234	1.34306784745086	237.157973846263	235.450750937682	1.70722290858106	BM	Atelidae	PLA	Hominidae	APE	order
Macaca_mulatta	Pongo_pygmaeus	7.7	24.22	62.1515760367	0.6964586846543	0.511901910797525	0.981568296212175	0.989774891310043	1.33545460577249	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cercopithecus_ascanius	Gorilla_gorilla	3.98	20.4	62.1515760317	0.692242833052277	0.511901910756343	0.980848202317792	0.989307064333469	1.32639696023695	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
Cebus_albifrons	Pongo_pygmaeus	3.96	24.22	78.0653383502	0.854131534569983	0.642973170059687	0.990091863817037	0.997383076184101	1.31524723330026	237.157973846263	235.450750937682	1.70722290858106	BM	Cebidae	PLA	Hominidae	APE	order
Cercopithecus_mitis	Gorilla_gorilla	4.14	20.4	62.1515760318	0.685497470489039	0.511901910757166	0.979644870165748	0.988518885392101	1.31186085920814	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
Nasalis_larvatus	Gorilla_gorilla	4.36	20.4	62.151576031	0.676222596964587	0.511901910750577	0.977882868470283	0.987351073090414	1.29178359946844	237.157973846263	235.450750937682	1.70722290858106	BM	Cercopithecidae	OWM	Hominidae	APE	order
