trait	observations	unique_numeric_values	unique_ratio	redundancy	status	reason
GroupName	526	0	0.000000	1.000000	EXCLUDED	non_numeric
LitterSz	166	36	0.216867	0.783133	EXCLUDED	redundancy_at_or_above_threshold
Body_mass	192	187	0.973958	0.026042	INCLUDED	passes_all_filters
Brain_mass	192	191	0.994792	0.005208	INCLUDED	passes_all_filters
Colour_vision	396	0	0.000000	1.000000	EXCLUDED	non_numeric
Social_organization	354	0	0.000000	1.000000	EXCLUDED	non_numeric
Coenspecific_violence	148	111	0.750000	0.250000	EXCLUDED	redundancy_at_or_above_threshold
Paternal_care	200	0	0.000000	1.000000	EXCLUDED	non_numeric
Female_Ranging_patterns	192	0	0.000000	1.000000	EXCLUDED	non_numeric
Infanticide	169	0	0.000000	1.000000	EXCLUDED	non_numeric
Mating_system	197	0	0.000000	1.000000	EXCLUDED	non_numeric
Gestation_length	136	74	0.544118	0.455882	EXCLUDED	redundancy_at_or_above_threshold
Weaning_age	114	73	0.640351	0.359649	EXCLUDED	redundancy_at_or_above_threshold
Weaning_prop	106	43	0.405660	0.594340	EXCLUDED	redundancy_at_or_above_threshold
Seasonal_breeders	139	0	0.000000	1.000000	EXCLUDED	non_numeric
BodyMass_kg	465	331	0.711828	0.288172	EXCLUDED	redundancy_at_or_above_threshold
BodyMassMale_kg	372	310	0.833333	0.166667	EXCLUDED	redundancy_at_or_above_threshold
BodyMassFemale_kg	362	303	0.837017	0.162983	EXCLUDED	redundancy_at_or_above_threshold
DielActivity	504	0	0.000000	1.000000	EXCLUDED	non_numeric
TrophicGuild	425	0	0.000000	1.000000	EXCLUDED	non_numeric
Locomotion	497	0	0.000000	1.000000	EXCLUDED	non_numeric
IUCN_ER	456	5	0.010965	0.989035	EXCLUDED	redundancy_at_or_above_threshold
IUCN_Pop_Trend	395	3	0.007595	0.992405	EXCLUDED	redundancy_at_or_above_threshold
Habitat	480	0	0.000000	1.000000	EXCLUDED	non_numeric
BrainSizeSpeciesMean	171	170	0.994152	0.005848	INCLUDED	passes_all_filters
BrainSizeFemaleMean	165	162	0.981818	0.018182	INCLUDED	passes_all_filters
Body.MassMaleMean	195	185	0.948718	0.051282	INCLUDED	passes_all_filters
BodyMassFemaleMean	195	190	0.974359	0.025641	INCLUDED	passes_all_filters
MassDimorphism	195	171	0.876923	0.123077	EXCLUDED	redundancy_at_or_above_threshold
