species	trait_value
Allenopithecus_nigroviridis	1517.8
Allocebus_trichotis	1388.2
Allochrocebus_lhoesti	1418.5
Allochrocebus_preussi	1255.2
Allochrocebus_solatus	1278.5999999999999
Alouatta_belzebul	1286.5999999999999
Alouatta_caraya	1193.0999999999999
Alouatta_guariba	1225.7
Alouatta_palliata	1300
Alouatta_pigra	1373.8
Alouatta_seniculus	1449.8
Aotus_azarae	1186.2
Aotus_nancymaae	1531.3
Aotus_nigriceps	1432.2
Aotus_trivirgatus	1488.0999999999999
Aotus_vociferans	1476.4000000000001
Arctocebus_calabarensis	1218
Ateles_belzebuth	1493.3
Ateles_geoffroyi	1344.0999999999999
Ateles_paniscus	1456.5999999999999
Avahi_laniger	1334.0999999999999
Avahi_occidentalis	981.5
Brachyteles_arachnoides	1243.5
Cacajao_calvus	1516
Cacajao_melanocephalus	1581
Callicebus_personatus	1204.5
Callimico_goeldii	1476.2
Callithrix_aurita	1243.8
Callithrix_jacchus	912.70000000000005
Callithrix_penicillata	1085
Carlito_syrichta	1565.2
Cebuella_pygmaea	1483.2
Cebus_albifrons	1466.7
Cebus_capucinus	1382.2
Cebus_olivaceus	1476.5999999999999
Tarsius_bancanus	1702.8
Cercocebus_atys	1275.4000000000001
Cercocebus_galeritus	848.70000000000005
Cercocebus_torquatus	1238.3
Cercopithecus_ascanius	1302.5
Cercopithecus_campbelli	1144.2
Cercopithecus_cephus	1299.9000000000001
Cercopithecus_diana	1328.4000000000001
Cercopithecus_mitis	1116.2
Cercopithecus_neglectus	1329.5
Cercopithecus_nictitans	1267.2
Cercopithecus_petaurista	1205.3
Cercopithecus_pogonias	1269.5999999999999
Cheirogaleus_major	1320.2
Cheirogaleus_medius	899.70000000000005
Colobus_angolensis	1225.3
Colobus_guereza	1126.5
Colobus_polykomos	1090.5
Colobus_satanas	1329.5
Colobus_vellerosus	1173.0999999999999
Daubentonia_madagascariensis	1216.3
Erythrocebus_patas	760.39999999999998
Eulemur_coronatus	1253.3
Eulemur_fulvus	1179.3
Eulemur_macaco	1188.5999999999999
Eulemur_mongoz	932.20000000000005
Eulemur_rubriventer	1344
Eulemur_rufus	1004.1
Eulemur_sanfordi	1193
Euoticus_elegantulus	1298.2
Galago_matschiei	1391.5999999999999
Galago_moholi	852.20000000000005
Galago_senegalensis	836.60000000000002
Galagoides_demidovii	1291.4000000000001
Galagoides_zanzibaricus	888.60000000000002
Gorilla_gorilla	1291.0999999999999
Hapalemur_aureus	1321.4000000000001
Hapalemur_griseus	1338.7
Hoolock_hoolock	1095.2
Hylobates_agilis	1743.5999999999999
Hylobates_lar	1278.0999999999999
Hylobates_moloch	1601.0999999999999
Hylobates_muelleri	1679.4000000000001
Hylobates_pileatus	1202.4000000000001
Indri_indri	1342.5999999999999
Lagothrix_lagotricha	1516.9000000000001
Lemur_catta	839.10000000000002
Leontocebus_fuscicolis	1450.0999999999999
Leontopithecus_chrysomelas	1385.5
Leontopithecus_chrysopygus	1229.4000000000001
Leontopithecus_rosalia	1231.5
Lepilemur_dorsalis	1240.4000000000001
Lepilemur_edwardsi	963.20000000000005
Lepilemur_leucopus	803.20000000000005
Lepilemur_microdon	1311.0999999999999
Lepilemur_mustelinus	1388.5
Lepilemur_ruficaudatus	789.10000000000002
Lophocebus_albigena	1349.5
Lophocebus_aterrimus	1520.0999999999999
Loris_tardigradus	1550.5
Macaca_assamensis	1020.6
Macaca_fascicularis	1553.0999999999999
Macaca_fuscata	792.60000000000002
Macaca_mulatta	902.20000000000005
Macaca_nemestrina	1680.5
Macaca_radiata	844.89999999999998
Macaca_silenus	953
Macaca_sinica	1536.7
Macaca_sylvanus	453.10000000000002
Macaca_thibetana	961.20000000000005
Mandrillus_leucophaeus	1219.9000000000001
Mandrillus_sphinx	1259
Mico_argentatus	1412.8
Mico_humeralifer	1433.7
Microcebus_murinus	897.10000000000002
Microcebus_myoxinus	930
Microcebus_rufus	1319.5999999999999
Miopithecus_talapoin	1091.5999999999999
Mirza_coquereli	937.10000000000002
Nasalis_larvatus	1684
Nomascus_concolor	1062.3
Nomascus_leucogenys	1050.9000000000001
Nycticebus_coucang	1664.9000000000001
Nycticebus_pygmaeus	1172.5
Otolemur_crassicaudatus	912.79999999999995
Otolemur_garnettii	868.70000000000005
Pan_paniscus	1538.7
Pan_troglodytes	1297.0999999999999
Papio_anubis	1020.2
Papio_cynocephalus	876.60000000000002
Papio_hamadryas	572.39999999999998
Papio_ursinus	581.79999999999995
Perodicticus_potto	1255.9000000000001
Phaner_furcifer	1471
Piliocolobus_badius	1122.4000000000001
Piliocolobus_preussi	1239.5999999999999
Piliocolobus_rufomitratus	930.70000000000005
Pithecia_irrorata	1388.5
Pithecia_pithecia	1467.7
Plecturocebus_donacophilus	1238.2
Plecturocebus_hoffmansi	1417.5999999999999
Plecturocebus_moloch	1330.5
